NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
2,1,154380,19-May,7,33,274636.316,206.0,1333.186,MEDJEZ EL BAB
2,2,154380,18-Nov,7,33,91587.999,57.0,1606.807,MEDJEZ EL BAB
1,3,154380,18-Oct,7,33,11918.584,8.0,1489.823,MEDJEZ EL BAB
3,2,154380,18-Jun,7,33,8960.166,6.0,1493.3609999999999,MEDJEZ EL BAB
2,6,154380,19-Jun,7,33,52946.738,34.0,1557.2569999999998,MEDJEZ EL BAB
2,3,154380,19-Apr,7,33,40488.682,26.0,1557.257,MEDJEZ EL BAB
2,2,154380,18-Mar,7,33,110302.144,76.0,1451.344,MEDJEZ EL BAB
3,3,154380,18-Apr,7,33,46592.036,34.0,1370.354,MEDJEZ EL BAB
2,2,154380,19-Jan,7,33,94712.346,59.0,1605.294,MEDJEZ EL BAB
2,1,154380,19-Feb,7,33,209636.77,167.0,1255.31,MEDJEZ EL BAB
2,6,154380,19-Oct,7,33,65311.848,42.0,1555.0439999999999,MEDJEZ EL BAB
2,6,154380,19-Aug,7,33,66866.892,43.0,1555.044,MEDJEZ EL BAB
3,1,154380,19-Jun,7,33,21330.976,16.0,1333.186,MEDJEZ EL BAB
3,1,154380,19-Mar,7,33,15063.72,12.0,1255.31,MEDJEZ EL BAB
2,2,154380,19-Jul,7,33,141947.865,85.0,1669.974882352941,MEDJEZ EL BAB
3,1,154380,18-Oct,7,33,45248.508,36.0,1256.903,MEDJEZ EL BAB
3,2,154380,18-Nov,7,33,20888.491,13.0,1606.8070000000002,MEDJEZ EL BAB
1,1,154380,19-Mar,7,33,15063.72,12.0,1255.31,MEDJEZ EL BAB
2,6,154380,19-Jul,7,33,65362.747,42.0,1556.255880952381,MEDJEZ EL BAB
3,1,154380,18-May,7,33,58456.268,52.0,1124.1589999999999,MEDJEZ EL BAB
3,2,154380,18-Dec,7,33,16068.07,10.0,1606.807,MEDJEZ EL BAB
1,2,154380,19-Jan,7,33,19263.528,12.0,1605.2939999999999,MEDJEZ EL BAB
3,1,154380,18-Jun,7,33,25855.657,23.0,1124.1589999999999,MEDJEZ EL BAB
1,2,154380,19-Mar,7,33,9631.764,6.0,1605.2939999999999,MEDJEZ EL BAB
2,2,154380,19-Nov,7,33,138505.337,83.0,1668.739,MEDJEZ EL BAB
3,3,154380,18-Dec,7,33,47653.627,32.0,1489.17584375,MEDJEZ EL BAB
3,3,154380,18-Nov,7,33,55123.451,37.0,1489.823,MEDJEZ EL BAB
3,3,154380,18-Aug,7,33,60342.492,42.0,1436.7259999999999,MEDJEZ EL BAB
3,2,154380,18-Aug,7,33,54473.51,35.0,1556.386,MEDJEZ EL BAB
1,1,154380,19-Jan,7,33,5021.24,4.0,1255.31,MEDJEZ EL BAB
2,2,154380,19-Mar,7,33,112370.58,70.0,1605.294,MEDJEZ EL BAB
3,2,154380,19-Sep,7,33,26699.824,16.0,1668.739,MEDJEZ EL BAB
3,3,154380,18-Jul,7,33,54595.588,38.0,1436.726,MEDJEZ EL BAB
2,2,154380,18-Aug,7,33,105834.248,68.0,1556.3860000000002,MEDJEZ EL BAB
2,2,154380,18-Oct,7,33,112476.49,70.0,1606.807,MEDJEZ EL BAB
2,2,154380,19-Aug,7,33,158530.205,95.0,1668.7389999999998,MEDJEZ EL BAB
2,6,154380,19-Nov,7,33,66866.892,43.0,1555.044,MEDJEZ EL BAB
2,2,154380,18-Jul,7,33,132292.81,85.0,1556.386,MEDJEZ EL BAB
2,1,154380,19-Jan,7,33,200849.6,160.0,1255.31,MEDJEZ EL BAB
3,2,154380,18-Sep,7,33,28922.526,18.0,1606.807,MEDJEZ EL BAB
3,2,154380,18-Oct,7,33,11247.649,7.0,1606.807,MEDJEZ EL BAB
2,1,154380,19-Jul,7,33,347718.116,261.0,1332.2533180076628,MEDJEZ EL BAB
2,6,154380,19-Dec,7,33,68421.936,44.0,1555.044,MEDJEZ EL BAB
2,2,154380,18-Sep,7,33,97712.701,61.0,1601.8475573770493,MEDJEZ EL BAB
3,6,154380,19-Mar,7,33,43158.67,29.0,1488.23,MEDJEZ EL BAB
2,6,154380,19-May,7,33,6229.028,4.0,1557.257,MEDJEZ EL BAB
2,1,154380,18-Jul,7,33,298823.281,251.0,1190.5310000000002,MEDJEZ EL BAB
2,1,154380,18-Sep,7,33,208177.129,167.0,1246.5696347305388,MEDJEZ EL BAB
3,3,154380,18-Sep,7,33,52143.805,35.0,1489.823,MEDJEZ EL BAB
3,1,154380,18-Dec,7,33,28908.769,23.0,1256.903,MEDJEZ EL BAB
3,1,154380,19-Feb,7,33,2510.62,2.0,1255.31,MEDJEZ EL BAB
2,2,154380,19-Apr,7,33,101921.24,61.0,1670.8400000000001,MEDJEZ EL BAB
2,2,154380,19-Sep,7,33,116811.73,70.0,1668.739,MEDJEZ EL BAB
3,3,154380,18-Feb,7,33,14587.166,11.0,1326.106,MEDJEZ EL BAB
