NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
4,1,155160,18-Mar,22,14,115550.477,107.0,1079.911,MEDNINE
3,3,155160,18-Jan,22,14,14587.166,11.0,1326.106,MEDNINE
1,1,155160,18-Nov,22,14,103066.046,82.0,1256.903,MEDNINE
2,1,155160,18-Aug,22,14,21429.558,18.0,1190.531,MEDNINE
2,2,155160,18-Nov,22,14,3213.614,2.0,1606.807,MEDNINE
4,2,155160,19-Jan,22,14,4815.882,3.0,1605.2939999999999,MEDNINE
4,2,155160,19-Jun,22,14,58479.4,35.0,1670.8400000000001,MEDNINE
4,2,155160,18-Mar,22,14,33380.912,23.0,1451.3439999999998,MEDNINE
4,1,155160,18-Apr,22,14,94429.356,84.0,1124.159,MEDNINE
4,3,155160,18-May,22,14,61665.93,45.0,1370.354,MEDNINE
4,2,155160,18-Apr,22,14,22400.415,15.0,1493.361,MEDNINE
1,3,155160,19-Jan,22,14,35717.52,24.0,1488.2299999999998,MEDNINE
4,1,155160,19-Feb,22,14,106701.35,85.0,1255.3100000000002,MEDNINE
2,1,155160,19-Jan,22,14,17574.34,14.0,1255.31,MEDNINE
1,1,155160,18-Aug,22,14,34525.399,29.0,1190.531,MEDNINE
3,2,155160,18-Aug,22,14,24902.176,16.0,1556.386,MEDNINE
4,2,155160,18-Sep,22,14,65626.982,41.0,1600.6580975609756,MEDNINE
1,6,155160,19-Jun,22,14,42045.939,27.0,1557.2569999999998,MEDNINE
1,1,155160,19-Jul,22,14,110557.066,83.0,1332.012843373494,MEDNINE
4,2,155160,19-Aug,22,14,11681.173,7.0,1668.739,MEDNINE
4,6,155160,19-Aug,22,14,6220.176,4.0,1555.044,MEDNINE
1,3,155160,18-Nov,22,14,31286.283,21.0,1489.8229999999999,MEDNINE
2,2,155160,18-Aug,22,14,6225.544,4.0,1556.386,MEDNINE
1,3,155160,18-Oct,22,14,17877.876,12.0,1489.823,MEDNINE
4,1,155160,18-Jun,22,14,40673.005,35.0,1162.085857142857,MEDNINE
1,2,155160,19-Nov,22,14,68418.299,41.0,1668.739,MEDNINE
4,1,155160,18-Jan,22,14,123109.854,114.0,1079.911,MEDNINE
1,3,155160,18-Feb,22,14,10608.848,8.0,1326.106,MEDNINE
4,3,155160,19-Feb,22,14,63993.89,43.0,1488.23,MEDNINE
1,1,155160,19-Jan,22,14,53978.33,43.0,1255.31,MEDNINE
4,1,155160,18-Aug,22,14,61907.612,52.0,1190.531,MEDNINE
1,2,155160,19-Jun,22,14,58479.4,35.0,1670.8400000000001,MEDNINE
4,2,155160,19-Mar,22,14,62606.466,39.0,1605.294,MEDNINE
1,2,155160,19-Mar,22,14,35316.468,22.0,1605.294,MEDNINE
1,6,155160,19-Mar,22,14,26788.14,18.0,1488.23,MEDNINE
4,2,155160,19-Jul,22,14,66825.196,40.0,1670.6299,MEDNINE
4,3,155160,18-Mar,22,14,76914.148,58.0,1326.106,MEDNINE
1,2,155160,19-Jan,22,14,57790.584,36.0,1605.294,MEDNINE
1,2,155160,18-Aug,22,14,289840.743,186.0,1558.2835645161292,MEDNINE
1,3,155160,18-Jun,22,14,27407.08,20.0,1370.354,MEDNINE
2,1,155160,18-Oct,22,14,11312.127,9.0,1256.903,MEDNINE
4,3,155160,18-Nov,22,14,37245.575,25.0,1489.8229999999999,MEDNINE
1,1,155160,19-Feb,22,14,7531.86,6.0,1255.31,MEDNINE
4,6,155160,19-Oct,22,14,83972.376,54.0,1555.044,MEDNINE
1,1,155160,19-Oct,22,14,42591.136,32.0,1330.973,MEDNINE
1,6,155160,19-Oct,22,14,9330.264,6.0,1555.0439999999999,MEDNINE
1,2,155160,18-Sep,22,14,-352.947,0.0,-inf,MEDNINE
1,2,155160,18-Oct,22,14,9640.842,6.0,1606.807,MEDNINE
1,1,155160,18-Dec,22,14,51494.791,41.0,1255.970512195122,MEDNINE
4,2,155160,19-May,22,14,35087.64,21.0,1670.84,MEDNINE
1,6,155160,19-Sep,22,14,41986.188,27.0,1555.044,MEDNINE
1,2,155160,19-Jul,22,14,66749.56,40.0,1668.739,MEDNINE
1,2,155160,19-Oct,22,14,8343.695,5.0,1668.739,MEDNINE
4,3,155160,18-Jan,22,14,31826.544,24.0,1326.106,MEDNINE
4,2,155160,18-Jan,22,14,46443.008,32.0,1451.344,MEDNINE
3,3,155160,18-Feb,22,14,6630.53,5.0,1326.106,MEDNINE
4,3,155160,18-Aug,22,14,63215.944,44.0,1436.726,MEDNINE
4,1,155160,18-Sep,22,14,108819.585,87.0,1250.799827586207,MEDNINE
1,1,155160,18-Oct,22,14,96781.531,77.0,1256.903,MEDNINE
4,2,155160,18-Oct,22,14,38563.368,24.0,1606.807,MEDNINE
4,1,155160,18-Oct,22,14,16339.739,13.0,1256.903,MEDNINE
1,2,155160,18-Jun,22,14,33106.042,22.0,1504.820090909091,MEDNINE
1,1,155160,19-Apr,22,14,141317.716,106.0,1333.186,MEDNINE
4,2,155160,19-Oct,22,14,106799.296,64.0,1668.739,MEDNINE
1,2,155160,19-Aug,22,14,205254.897,123.0,1668.739,MEDNINE
1,6,155160,19-Jul,22,14,60646.716,39.0,1555.044,MEDNINE
1,1,155160,18-May,22,14,7869.113,7.0,1124.159,MEDNINE
4,3,155160,19-Jan,22,14,25299.91,17.0,1488.23,MEDNINE
3,3,155160,19-Jan,22,14,16370.53,11.0,1488.23,MEDNINE
4,3,155160,19-May,22,14,32702.397,21.0,1557.257,MEDNINE
1,6,155160,19-Apr,22,14,87206.392,56.0,1557.257,MEDNINE
1,2,155160,19-Sep,22,14,38380.997,23.0,1668.739,MEDNINE
4,3,155160,18-Feb,22,14,30500.438,23.0,1326.106,MEDNINE
4,3,155160,18-Apr,22,14,60295.576,44.0,1370.354,MEDNINE
4,3,155160,18-Sep,22,14,63903.098,43.0,1486.1185581395348,MEDNINE
1,1,155160,18-Jun,22,14,46090.519,41.0,1124.159,MEDNINE
2,1,155160,18-Nov,22,14,3770.709,3.0,1256.903,MEDNINE
1,2,155160,19-May,22,14,60150.24,36.0,1670.84,MEDNINE
4,1,155160,19-Oct,22,14,118456.597,89.0,1330.973,MEDNINE
1,6,155160,19-May,22,14,51389.481,33.0,1557.257,MEDNINE
1,1,155160,19-Dec,22,14,146407.03,110.0,1330.973,MEDNINE
4,1,155160,18-May,22,14,88808.561,79.0,1124.159,MEDNINE
4,2,155160,19-Feb,22,14,72238.23,45.0,1605.2939999999999,MEDNINE
4,2,155160,19-Apr,22,14,6683.36,4.0,1670.84,MEDNINE
1,6,155160,19-Aug,22,14,136843.872,88.0,1555.044,MEDNINE
4,6,155160,19-Jul,22,14,45160.453,29.0,1557.257,MEDNINE
4,6,155160,19-Sep,22,14,60646.716,39.0,1555.044,MEDNINE
4,2,155160,19-Nov,22,14,36712.258,22.0,1668.739,MEDNINE
4,2,155160,18-Feb,22,14,31929.568,22.0,1451.344,MEDNINE
4,2,155160,18-May,22,14,16426.971,11.0,1493.361,MEDNINE
