NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,2,154560,18-Mar,13,43,65310.48,45.0,1451.344,MEKNASSY
1,2,154560,18-Sep,13,43,73711.438,46.0,1602.4225652173911,MEKNASSY
1,1,154560,19-Sep,13,43,122449.516,92.0,1330.973,MEKNASSY
1,1,154560,19-Apr,13,43,143984.088,108.0,1333.186,MEKNASSY
1,6,154560,19-Dec,13,43,41986.188,27.0,1555.044,MEKNASSY
3,3,154560,18-Jan,13,43,6630.53,5.0,1326.106,MEKNASSY
1,1,154560,19-Jan,13,43,90382.32,72.0,1255.3100000000002,MEKNASSY
1,6,154560,19-Jul,13,43,45129.471,29.0,1556.1886551724137,MEKNASSY
1,3,154560,18-Oct,13,43,34265.929,23.0,1489.8229999999999,MEKNASSY
1,1,154560,19-Aug,13,43,146407.03,110.0,1330.973,MEKNASSY
1,2,154560,19-Oct,13,43,81768.211,49.0,1668.7389999999998,MEKNASSY
1,1,154560,18-Jan,13,43,201943.357,187.0,1079.9109999999998,MEKNASSY
1,3,154560,18-Mar,13,43,30500.438,23.0,1326.106,MEKNASSY
4,1,154560,18-Jul,13,43,4762.124,4.0,1190.531,MEKNASSY
3,2,154560,18-Aug,13,43,20233.018,13.0,1556.386,MEKNASSY
1,3,154560,18-Dec,13,43,16376.902,11.0,1488.8092727272726,MEKNASSY
1,3,154560,19-Feb,13,43,31252.83,21.0,1488.23,MEKNASSY
1,6,154560,19-Apr,13,43,31145.14,20.0,1557.257,MEKNASSY
2,1,154560,19-Sep,13,43,9316.811,7.0,1330.973,MEKNASSY
1,3,154560,18-Feb,13,43,29174.332,22.0,1326.106,MEKNASSY
1,2,154560,18-Feb,13,43,63859.136,44.0,1451.344,MEKNASSY
4,3,154560,18-Apr,13,43,5481.416,4.0,1370.354,MEKNASSY
1,1,154560,18-Oct,13,43,137002.427,109.0,1256.903,MEKNASSY
1,1,154560,19-Jun,13,43,74658.416,56.0,1333.186,MEKNASSY
1,1,154560,19-May,13,43,117320.368,88.0,1333.186,MEKNASSY
1,1,154560,19-Oct,13,43,122449.516,92.0,1330.973,MEKNASSY
1,6,154560,19-Oct,13,43,32655.924,21.0,1555.0439999999999,MEKNASSY
1,1,154560,19-Dec,13,43,208962.761,157.0,1330.973,MEKNASSY
1,3,154560,18-Jan,13,43,34478.756,26.0,1326.106,MEKNASSY
1,1,154560,18-Nov,13,43,128204.106,102.0,1256.903,MEKNASSY
1,2,154560,18-Jul,13,43,73150.142,47.0,1556.3860000000002,MEKNASSY
2,2,154560,19-Jan,13,43,8026.47,5.0,1605.294,MEKNASSY
1,2,154560,18-Aug,13,43,129180.038,83.0,1556.386,MEKNASSY
1,1,154560,18-Jun,13,43,136558.38,120.0,1137.9865,MEKNASSY
1,6,154560,19-Jun,13,43,37374.168,24.0,1557.2569999999998,MEKNASSY
1,2,154560,19-May,13,43,80200.32,48.0,1670.8400000000001,MEKNASSY
1,6,154560,19-Aug,13,43,48206.364,31.0,1555.044,MEKNASSY
1,1,154560,19-Jul,13,43,127877.419,96.0,1332.0564479166667,MEKNASSY
1,6,154560,19-Nov,13,43,37321.056,24.0,1555.0439999999999,MEKNASSY
2,1,154560,18-Jul,13,43,7143.186,6.0,1190.531,MEKNASSY
2,1,154560,18-Oct,13,43,8798.321,7.0,1256.903,MEKNASSY
1,2,154560,18-Nov,13,43,32136.14,20.0,1606.807,MEKNASSY
1,2,154560,19-Jun,13,43,98579.56,59.0,1670.84,MEKNASSY
1,3,154560,18-Apr,13,43,27407.08,20.0,1370.354,MEKNASSY
3,3,154560,19-Jan,13,43,4464.69,3.0,1488.2299999999998,MEKNASSY
3,3,154560,18-Aug,13,43,5746.904,4.0,1436.726,MEKNASSY
1,1,154560,19-Feb,13,43,126786.31,101.0,1255.31,MEKNASSY
1,2,154560,19-Sep,13,43,96786.862,58.0,1668.7389999999998,MEKNASSY
1,2,154560,18-May,13,43,50774.274,34.0,1493.3609999999999,MEKNASSY
1,2,154560,19-Jan,13,43,49764.114,31.0,1605.294,MEKNASSY
1,1,154560,18-Aug,13,43,117862.569,99.0,1190.531,MEKNASSY
1,2,154560,19-Feb,13,43,56185.29,35.0,1605.294,MEKNASSY
1,6,154560,19-Sep,13,43,34210.968,22.0,1555.044,MEKNASSY
2,1,154560,19-Jun,13,43,10665.488,8.0,1333.186,MEKNASSY
1,2,154560,19-Nov,13,43,95118.123,57.0,1668.739,MEKNASSY
1,2,154560,19-Dec,13,43,75093.255,45.0,1668.739,MEKNASSY
2,1,154560,19-Jan,13,43,17574.34,14.0,1255.31,MEKNASSY
1,3,154560,18-Aug,13,43,31607.972,22.0,1436.726,MEKNASSY
2,1,154560,18-Aug,13,43,20239.027,17.0,1190.531,MEKNASSY
1,3,154560,18-Jun,13,43,36027.436,26.0,1385.6706153846155,MEKNASSY
1,2,154560,19-Apr,13,43,106933.76,64.0,1670.84,MEKNASSY
1,6,154560,19-May,13,43,31145.14,20.0,1557.257,MEKNASSY
1,1,154560,19-Mar,13,43,128041.62,102.0,1255.31,MEKNASSY
1,2,154560,19-Jul,13,43,103514.343,62.0,1669.5861774193547,MEKNASSY
1,1,154560,18-Mar,13,43,200863.446,186.0,1079.911,MEKNASSY
1,1,154560,18-Feb,13,43,176025.493,163.0,1079.9109999999998,MEKNASSY
1,1,154560,18-Jul,13,43,120243.631,101.0,1190.531,MEKNASSY
1,3,154560,18-Nov,13,43,20857.522,14.0,1489.823,MEKNASSY
1,2,154560,18-Dec,13,43,46564.117,29.0,1605.6592068965517,MEKNASSY
1,6,154560,19-Mar,13,43,34229.29,23.0,1488.23,MEKNASSY
1,1,154560,18-Apr,13,43,185486.235,165.0,1124.1589999999999,MEKNASSY
1,1,154560,18-May,13,43,161878.896,144.0,1124.159,MEKNASSY
1,3,154560,18-Sep,13,43,31286.283,21.0,1489.8229999999999,MEKNASSY
