NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,1,154240,18-Mar,16,25,186824.603,173.0,1079.911,MELLOULECH
1,1,154240,18-Feb,16,25,140388.43,130.0,1079.911,MELLOULECH
1,1,154240,19-Feb,16,25,151892.51,121.0,1255.3100000000002,MELLOULECH
1,6,154240,19-Aug,16,25,32655.924,21.0,1555.0439999999999,MELLOULECH
2,2,154240,19-Sep,16,25,8343.695,5.0,1668.739,MELLOULECH
1,1,154240,19-Oct,16,25,194322.058,146.0,1330.973,MELLOULECH
2,1,154240,18-Oct,16,25,33936.381,27.0,1256.903,MELLOULECH
2,2,154240,18-Oct,16,25,8034.035,5.0,1606.807,MELLOULECH
1,1,154240,19-Aug,16,25,171695.517,129.0,1330.973,MELLOULECH
1,3,154240,18-Jan,16,25,13261.06,10.0,1326.106,MELLOULECH
1,2,154240,18-Nov,16,25,33742.947,21.0,1606.807,MELLOULECH
2,2,154240,19-Jan,16,25,8026.47,5.0,1605.294,MELLOULECH
1,1,154240,18-Sep,16,25,160020.748,128.0,1250.16209375,MELLOULECH
1,3,154240,18-Sep,16,25,17718.585,12.0,1476.54875,MELLOULECH
1,1,154240,18-Oct,16,25,150828.36,120.0,1256.9029999999998,MELLOULECH
1,2,154240,19-Apr,16,25,65162.76,39.0,1670.8400000000001,MELLOULECH
1,1,154240,19-Jul,16,25,125197.769,94.0,1331.891159574468,MELLOULECH
1,1,154240,18-Nov,16,25,197333.771,157.0,1256.903,MELLOULECH
3,3,154240,18-Aug,16,25,5746.904,4.0,1436.726,MELLOULECH
1,2,154240,18-Sep,16,25,51216.14,32.0,1600.504375,MELLOULECH
1,2,154240,18-Oct,16,25,43383.789,27.0,1606.8069999999998,MELLOULECH
1,6,154240,19-Jun,16,25,15572.57,10.0,1557.257,MELLOULECH
1,1,154240,19-Jun,16,25,13331.86,10.0,1333.1860000000001,MELLOULECH
1,6,154240,19-Nov,16,25,13995.396,9.0,1555.044,MELLOULECH
1,2,154240,18-Mar,16,25,42088.976,29.0,1451.344,MELLOULECH
1,1,154240,18-May,16,25,145016.511,129.0,1124.1589999999999,MELLOULECH
1,3,154240,18-Nov,16,25,17877.876,12.0,1489.823,MELLOULECH
1,2,154240,19-Mar,16,25,61001.172,38.0,1605.2939999999999,MELLOULECH
1,2,154240,19-Aug,16,25,116811.73,70.0,1668.739,MELLOULECH
1,3,154240,18-Apr,16,25,19184.956,14.0,1370.3539999999998,MELLOULECH
1,3,154240,18-Dec,16,25,17873.097,12.0,1489.4247500000001,MELLOULECH
1,2,154240,19-Feb,16,25,43342.938,27.0,1605.294,MELLOULECH
1,3,154240,18-Jul,16,25,21550.89,15.0,1436.7259999999999,MELLOULECH
1,2,154240,18-Aug,16,25,108947.02,70.0,1556.386,MELLOULECH
1,3,154240,18-Aug,16,25,21550.89,15.0,1436.7259999999999,MELLOULECH
1,3,154240,18-Jun,16,25,12532.302,9.0,1392.478,MELLOULECH
2,1,154240,19-Jun,16,25,102655.322,77.0,1333.186,MELLOULECH
1,2,154240,19-May,16,25,61821.08,37.0,1670.8400000000001,MELLOULECH
1,6,154240,19-Mar,16,25,17858.76,12.0,1488.2299999999998,MELLOULECH
1,6,154240,19-Jul,16,25,18676.019,12.0,1556.3349166666667,MELLOULECH
2,2,154240,19-Jun,16,25,11695.88,7.0,1670.84,MELLOULECH
1,1,154240,18-Jan,16,25,199783.535,185.0,1079.911,MELLOULECH
1,2,154240,18-Apr,16,25,38827.386,26.0,1493.3609999999999,MELLOULECH
1,6,154240,19-Sep,16,25,13995.396,9.0,1555.044,MELLOULECH
1,3,154240,18-May,16,25,16444.248,12.0,1370.354,MELLOULECH
1,2,154240,18-Dec,16,25,51398.155,32.0,1606.19234375,MELLOULECH
2,1,154240,19-Jan,16,25,12553.1,10.0,1255.31,MELLOULECH
1,3,154240,18-Oct,16,25,13408.407,9.0,1489.8229999999999,MELLOULECH
1,1,154240,19-Apr,16,25,182646.482,137.0,1333.186,MELLOULECH
1,3,154240,18-Mar,16,25,15913.272,12.0,1326.106,MELLOULECH
1,2,154240,18-May,16,25,37334.025,25.0,1493.361,MELLOULECH
2,1,154240,18-Dec,16,25,49019.217,39.0,1256.903,MELLOULECH
1,2,154240,19-Sep,16,25,63412.082,38.0,1668.739,MELLOULECH
1,1,154240,19-May,16,25,151983.204,114.0,1333.186,MELLOULECH
2,1,154240,19-Sep,16,25,7985.838,6.0,1330.973,MELLOULECH
1,1,154240,19-Nov,16,25,157054.814,118.0,1330.9730000000002,MELLOULECH
1,1,154240,18-Dec,16,25,116844.189,93.0,1256.389129032258,MELLOULECH
1,1,154240,18-Aug,16,25,132148.941,111.0,1190.531,MELLOULECH
2,1,154240,18-Aug,16,25,8333.717,7.0,1190.5310000000002,MELLOULECH
1,1,154240,18-Jun,16,25,130344.402,114.0,1143.3719473684212,MELLOULECH
2,1,154240,19-Jul,16,25,42661.952,32.0,1333.186,MELLOULECH
1,1,154240,19-Dec,16,25,218279.572,164.0,1330.973,MELLOULECH
2,1,154240,18-Feb,16,25,8639.288,8.0,1079.911,MELLOULECH
1,1,154240,18-Jul,16,25,135720.534,114.0,1190.5310000000002,MELLOULECH
1,2,154240,19-Jan,16,25,48158.82,30.0,1605.294,MELLOULECH
1,6,154240,19-Apr,16,25,18687.084,12.0,1557.2569999999998,MELLOULECH
1,2,154240,18-Feb,16,25,36283.6,25.0,1451.344,MELLOULECH
2,2,154240,18-Aug,16,25,9338.316,6.0,1556.3860000000002,MELLOULECH
1,1,154240,19-Sep,16,25,151730.922,114.0,1330.973,MELLOULECH
1,2,154240,19-Jun,16,25,53466.88,32.0,1670.84,MELLOULECH
1,2,154240,19-Oct,16,25,71755.777,43.0,1668.739,MELLOULECH
1,6,154240,19-Dec,16,25,26435.748,17.0,1555.0439999999999,MELLOULECH
1,3,154240,18-Feb,16,25,14587.166,11.0,1326.106,MELLOULECH
3,2,154240,18-Aug,16,25,17120.246,11.0,1556.386,MELLOULECH
1,3,154240,19-Feb,16,25,13394.07,9.0,1488.23,MELLOULECH
1,1,154240,19-Mar,16,25,182019.95,145.0,1255.3100000000002,MELLOULECH
1,2,154240,18-Jan,16,25,42088.976,29.0,1451.344,MELLOULECH
1,3,154240,19-Jan,16,25,14882.3,10.0,1488.23,MELLOULECH
1,2,154240,19-Jul,16,25,98512.328,59.0,1669.700474576271,MELLOULECH
1,2,154240,19-Nov,16,25,51730.909,31.0,1668.739,MELLOULECH
1,1,154240,18-Apr,16,25,160754.737,143.0,1124.1589999999999,MELLOULECH
1,2,154240,18-Jul,16,25,56029.896,36.0,1556.386,MELLOULECH
3,1,154240,18-Aug,16,25,19048.496,16.0,1190.531,MELLOULECH
1,2,154240,18-Jun,16,25,45431.08,30.0,1514.3693333333333,MELLOULECH
1,1,154240,19-Jan,16,25,96658.87,77.0,1255.31,MELLOULECH
1,6,154240,19-May,16,25,18687.084,12.0,1557.2569999999998,MELLOULECH
1,6,154240,19-Oct,16,25,18660.528,12.0,1555.0439999999999,MELLOULECH
1,2,154240,19-Dec,16,25,60074.604,36.0,1668.739,MELLOULECH
