NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,2,153970,18-Apr,11,29,14933.61,10.0,1493.361,MENZEL M'HIRI
1,3,153970,18-Apr,11,29,2740.708,2.0,1370.354,MENZEL M'HIRI
1,1,153970,18-Aug,11,29,54764.426,46.0,1190.531,MENZEL M'HIRI
1,2,153970,19-Jun,11,29,23391.76,14.0,1670.84,MENZEL M'HIRI
1,1,153970,19-Sep,11,29,113132.705,85.0,1330.973,MENZEL M'HIRI
1,1,153970,18-May,11,29,85436.084,76.0,1124.159,MENZEL M'HIRI
1,1,153970,18-Jul,11,29,66669.736,56.0,1190.5310000000002,MENZEL M'HIRI
2,1,153970,18-Nov,11,29,8798.321,7.0,1256.903,MENZEL M'HIRI
1,2,153970,19-Jan,11,29,14447.646,9.0,1605.294,MENZEL M'HIRI
1,3,153970,19-Jan,11,29,5952.92,4.0,1488.23,MENZEL M'HIRI
1,1,153970,19-Mar,11,29,86616.39,69.0,1255.31,MENZEL M'HIRI
1,2,153970,19-Jul,11,29,28387.472,17.0,1669.851294117647,MENZEL M'HIRI
1,1,153970,18-Jan,11,29,107991.1,100.0,1079.911,MENZEL M'HIRI
1,2,153970,18-May,11,29,16426.971,11.0,1493.361,MENZEL M'HIRI
1,1,153970,18-Dec,11,29,64082.937,51.0,1256.5281764705883,MENZEL M'HIRI
2,1,153970,18-Oct,11,29,6284.515,5.0,1256.903,MENZEL M'HIRI
1,3,153970,18-Nov,11,29,4469.469,3.0,1489.823,MENZEL M'HIRI
1,1,153970,19-Feb,11,29,91637.63,73.0,1255.3100000000002,MENZEL M'HIRI
1,1,153970,19-Jun,11,29,43995.138,33.0,1333.186,MENZEL M'HIRI
1,2,153970,19-Oct,11,29,25031.085,15.0,1668.739,MENZEL M'HIRI
1,3,153970,18-Jan,11,29,2652.212,2.0,1326.106,MENZEL M'HIRI
3,3,153970,18-Jan,11,29,2652.212,2.0,1326.106,MENZEL M'HIRI
2,1,153970,18-Dec,11,29,31422.575,25.0,1256.903,MENZEL M'HIRI
1,3,153970,18-May,11,29,2740.708,2.0,1370.354,MENZEL M'HIRI
1,2,153970,18-Dec,11,29,27306.641,17.0,1606.273,MENZEL M'HIRI
3,1,153970,18-Aug,11,29,11905.31,10.0,1190.531,MENZEL M'HIRI
1,3,153970,18-Oct,11,29,2979.646,2.0,1489.823,MENZEL M'HIRI
1,6,153970,19-Jul,11,29,3110.088,2.0,1555.044,MENZEL M'HIRI
1,1,153970,18-Apr,11,29,89932.72,80.0,1124.159,MENZEL M'HIRI
1,1,153970,18-Oct,11,29,95524.628,76.0,1256.903,MENZEL M'HIRI
1,2,153970,18-Oct,11,29,14461.263,9.0,1606.807,MENZEL M'HIRI
1,1,153970,18-Nov,11,29,80441.792,64.0,1256.903,MENZEL M'HIRI
2,2,153970,18-Oct,11,29,4820.421,3.0,1606.807,MENZEL M'HIRI
1,3,153970,18-Dec,11,29,2979.646,2.0,1489.823,MENZEL M'HIRI
1,2,153970,19-May,11,29,21720.92,13.0,1670.84,MENZEL M'HIRI
1,6,153970,19-Jun,11,29,3114.514,2.0,1557.257,MENZEL M'HIRI
1,6,153970,19-Dec,11,29,7775.22,5.0,1555.044,MENZEL M'HIRI
1,3,153970,18-Jul,11,29,5746.904,4.0,1436.726,MENZEL M'HIRI
2,2,153970,19-Jan,11,29,6421.176,4.0,1605.294,MENZEL M'HIRI
1,1,153970,19-Jul,11,29,82588.929,62.0,1332.0795,MENZEL M'HIRI
1,1,153970,18-Feb,11,29,95032.168,88.0,1079.911,MENZEL M'HIRI
1,1,153970,18-Jun,11,29,76446.977,67.0,1140.9996567164178,MENZEL M'HIRI
