NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
3,2,150990,18-Nov,18,42,4820.421,3.0,1606.807,METLAOUI
1,1,150990,18-May,18,42,156258.101,139.0,1124.1589999999999,METLAOUI
1,1,150990,18-Dec,18,42,123098.437,98.0,1256.1065,METLAOUI
3,1,150990,18-Aug,18,42,23810.62,20.0,1190.531,METLAOUI
3,2,150990,18-Aug,18,42,63811.826,41.0,1556.386,METLAOUI
1,6,150990,19-Jun,18,42,54503.995,35.0,1557.257,METLAOUI
1,1,150990,19-May,18,42,117320.368,88.0,1333.186,METLAOUI
1,6,150990,19-May,18,42,43603.196,28.0,1557.257,METLAOUI
4,2,150990,19-Sep,18,42,11681.173,7.0,1668.739,METLAOUI
4,6,150990,19-Sep,18,42,6220.176,4.0,1555.044,METLAOUI
1,2,150990,18-May,18,42,138882.573,93.0,1493.361,METLAOUI
1,2,150990,18-Dec,18,42,173465.558,108.0,1606.162574074074,METLAOUI
1,3,150990,19-Jan,18,42,38693.98,26.0,1488.23,METLAOUI
1,2,150990,19-Feb,18,42,152502.93,95.0,1605.2939999999999,METLAOUI
1,2,150990,19-Dec,18,42,133499.12,80.0,1668.739,METLAOUI
1,2,150990,19-Jan,18,42,146081.754,91.0,1605.2939999999999,METLAOUI
1,2,150990,18-Aug,18,42,189879.092,122.0,1556.386,METLAOUI
1,2,150990,19-May,18,42,145363.08,87.0,1670.84,METLAOUI
1,2,150990,19-Apr,18,42,185463.24,111.0,1670.84,METLAOUI
1,2,150990,19-Mar,18,42,183003.516,114.0,1605.294,METLAOUI
1,2,150990,18-Apr,18,42,134402.49,90.0,1493.3609999999999,METLAOUI
2,2,150990,19-Jan,18,42,14447.646,9.0,1605.294,METLAOUI
1,3,150990,18-Oct,18,42,46184.513,31.0,1489.8229999999999,METLAOUI
3,3,150990,18-Nov,18,42,5959.292,4.0,1489.823,METLAOUI
1,1,150990,19-Feb,18,42,153147.82,122.0,1255.31,METLAOUI
1,1,150990,19-Jun,18,42,85323.904,64.0,1333.186,METLAOUI
2,1,150990,19-Jun,18,42,49327.882,37.0,1333.186,METLAOUI
2,1,150990,19-Sep,18,42,9316.811,7.0,1330.973,METLAOUI
1,1,150990,18-Apr,18,42,170872.168,152.0,1124.159,METLAOUI
1,3,150990,19-Feb,18,42,44646.9,30.0,1488.23,METLAOUI
1,6,150990,19-Mar,18,42,53576.28,36.0,1488.23,METLAOUI
1,2,150990,18-Jan,18,42,142231.712,98.0,1451.344,METLAOUI
1,6,150990,19-Dec,18,42,51316.452,33.0,1555.0439999999999,METLAOUI
2,1,150990,19-Jul,18,42,21330.976,16.0,1333.186,METLAOUI
1,1,150990,19-Oct,18,42,127773.408,96.0,1330.973,METLAOUI
4,1,150990,18-Dec,18,42,20110.448,16.0,1256.903,METLAOUI
1,1,150990,18-Aug,18,42,146435.313,123.0,1190.531,METLAOUI
1,3,150990,18-Sep,18,42,50653.982,34.0,1489.823,METLAOUI
1,1,150990,19-Mar,18,42,164445.61,131.0,1255.31,METLAOUI
1,1,150990,19-Aug,18,42,146407.03,110.0,1330.973,METLAOUI
1,2,150990,19-Jul,18,42,146960.385,88.0,1670.0043750000002,METLAOUI
3,3,150990,18-Jan,18,42,11934.954,9.0,1326.106,METLAOUI
3,1,150990,18-Nov,18,42,7541.418,6.0,1256.903,METLAOUI
1,3,150990,18-Apr,18,42,43851.328,32.0,1370.354,METLAOUI
1,3,150990,18-Dec,18,42,58074.423,39.0,1489.0877692307693,METLAOUI
1,1,150990,18-Nov,18,42,170938.808,136.0,1256.903,METLAOUI
1,2,150990,18-Oct,18,42,144612.63,90.0,1606.807,METLAOUI
