NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
2,2,152510,18-Jan,2,91,194480.096,134.0,1451.3439999999998,MNIHLA
2,1,152510,18-May,2,91,192231.189,171.0,1124.159,MNIHLA
1,3,152510,18-Aug,2,91,11493.808,8.0,1436.726,MNIHLA
1,2,152510,18-Aug,2,91,45135.194,29.0,1556.3860000000002,MNIHLA
3,2,152510,18-Aug,2,91,10894.702,7.0,1556.386,MNIHLA
3,1,152510,18-Oct,2,91,52789.926,42.0,1256.903,MNIHLA
2,2,152510,19-May,2,91,274017.76,164.0,1670.8400000000001,MNIHLA
2,3,152510,19-May,2,91,80977.364,52.0,1557.257,MNIHLA
3,1,152510,18-Dec,2,91,6284.515,5.0,1256.903,MNIHLA
3,3,152510,18-Aug,2,91,54595.588,38.0,1436.726,MNIHLA
1,3,152510,18-Oct,2,91,14898.23,10.0,1489.8229999999999,MNIHLA
2,6,152510,19-Sep,2,91,63756.804,41.0,1555.0439999999999,MNIHLA
2,1,152510,18-Jun,2,91,199585.986,174.0,1147.0458965517241,MNIHLA
2,6,152510,19-Jul,2,91,84034.34,54.0,1556.1914814814813,MNIHLA
2,1,152510,18-Dec,2,91,234946.874,187.0,1256.4003957219252,MNIHLA
3,1,152510,19-Apr,2,91,11998.674,9.0,1333.1860000000001,MNIHLA
2,2,152510,19-Sep,2,91,181892.551,109.0,1668.739,MNIHLA
3,6,152510,19-Nov,2,91,27990.792,18.0,1555.044,MNIHLA
2,6,152510,19-Dec,2,91,57536.628,37.0,1555.0439999999999,MNIHLA
2,2,152510,18-Feb,2,91,187223.376,129.0,1451.3439999999998,MNIHLA
1,3,152510,18-Feb,2,91,27848.226,21.0,1326.106,MNIHLA
3,3,152510,18-May,2,91,49332.744,36.0,1370.354,MNIHLA
1,1,152510,18-May,2,91,7869.113,7.0,1124.159,MNIHLA
3,3,152510,19-Feb,2,91,49111.59,33.0,1488.2299999999998,MNIHLA
2,1,152510,18-Aug,2,91,195247.084,164.0,1190.531,MNIHLA
3,3,152510,18-Jun,2,91,51300.446,37.0,1386.4985405405407,MNIHLA
3,3,152510,18-Oct,2,91,49164.159,33.0,1489.823,MNIHLA
3,1,152510,18-Nov,2,91,18853.545,15.0,1256.9029999999998,MNIHLA
3,1,152510,18-Jun,2,91,4496.636,4.0,1124.159,MNIHLA
2,2,152510,19-Feb,2,91,194240.574,121.0,1605.2939999999999,MNIHLA
2,2,152510,19-Jun,2,91,243942.64,146.0,1670.8400000000001,MNIHLA
2,2,152510,19-Oct,2,91,223611.026,134.0,1668.739,MNIHLA
2,2,152510,19-Aug,2,91,236960.938,142.0,1668.739,MNIHLA
3,2,152510,19-Sep,2,91,20024.868,12.0,1668.7389999999998,MNIHLA
2,6,152510,19-Nov,2,91,27990.792,18.0,1555.044,MNIHLA
2,1,152510,18-Jan,2,91,203023.268,188.0,1079.911,MNIHLA
2,2,152510,18-Mar,2,91,220604.288,152.0,1451.344,MNIHLA
3,3,152510,18-Apr,2,91,27407.08,20.0,1370.354,MNIHLA
3,2,152510,19-Jan,2,91,19263.528,12.0,1605.2939999999999,MNIHLA
3,2,152510,18-Oct,2,91,19281.684,12.0,1606.807,MNIHLA
3,2,152510,18-Jun,2,91,5973.444,4.0,1493.361,MNIHLA
1,2,152510,19-Feb,2,91,35316.468,22.0,1605.294,MNIHLA
2,2,152510,19-Mar,2,91,125212.932,78.0,1605.294,MNIHLA
2,6,152510,19-May,2,91,10900.799,7.0,1557.257,MNIHLA
2,1,152510,18-Feb,2,91,170625.938,158.0,1079.911,MNIHLA
3,2,152510,18-Jan,2,91,8708.064,6.0,1451.344,MNIHLA
2,2,152510,18-May,2,91,221017.428,148.0,1493.361,MNIHLA
2,2,152510,18-Nov,2,91,213705.331,133.0,1606.807,MNIHLA
2,2,152510,18-Aug,2,91,152525.828,98.0,1556.3860000000002,MNIHLA
3,3,152510,18-Sep,2,91,65180.533,44.0,1481.3757500000002,MNIHLA
1,2,152510,19-Jan,2,91,28895.292,18.0,1605.294,MNIHLA
2,1,152510,19-Jun,2,91,237307.108,178.0,1333.1860000000001,MNIHLA
3,3,152510,18-Mar,2,91,58348.664,44.0,1326.106,MNIHLA
3,1,152510,18-Aug,2,91,8333.717,7.0,1190.5310000000002,MNIHLA
2,2,152510,18-Sep,2,91,232432.384,145.0,1602.9819586206895,MNIHLA
1,1,152510,19-Jan,2,91,5021.24,4.0,1255.31,MNIHLA
1,2,152510,19-Mar,2,91,72238.23,45.0,1605.2939999999999,MNIHLA
3,6,152510,19-Mar,2,91,49111.59,33.0,1488.2299999999998,MNIHLA
2,1,152510,19-Aug,2,91,239575.14,180.0,1330.9730000000002,MNIHLA
2,2,152510,19-Dec,2,91,195242.463,117.0,1668.7389999999998,MNIHLA
2,1,152510,18-Mar,2,91,201943.357,187.0,1079.9109999999998,MNIHLA
1,1,152510,18-Apr,2,91,59580.427,53.0,1124.159,MNIHLA
1,2,152510,18-Dec,2,91,49811.017,31.0,1606.807,MNIHLA
3,3,152510,18-Nov,2,91,71511.504,48.0,1489.823,MNIHLA
