NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
2,6,155850,19-Nov,2,91,60646.716,39.0,1555.044,MNIHLA 2
2,1,155850,19-Dec,2,91,251553.897,189.0,1330.973,MNIHLA 2
2,2,155850,19-Dec,2,91,218604.809,131.0,1668.739,MNIHLA 2
2,6,155850,19-Sep,2,91,10885.308,7.0,1555.044,MNIHLA 2
2,4,155850,19-Oct,2,91,5464.536,3.0,1821.512,MNIHLA 2
3,6,155850,19-Nov,2,91,24880.704,16.0,1555.044,MNIHLA 2
2,4,155850,19-Dec,2,91,5464.536,3.0,1821.512,MNIHLA 2
2,1,155850,19-Nov,2,91,219610.545,165.0,1330.9730000000002,MNIHLA 2
3,6,155850,19-Oct,2,91,9330.264,6.0,1555.0439999999999,MNIHLA 2
2,1,155850,19-Oct,2,91,177019.409,133.0,1330.9730000000002,MNIHLA 2
2,2,155850,19-Nov,2,91,208592.375,125.0,1668.739,MNIHLA 2
2,1,155850,19-Sep,2,91,15971.676,12.0,1330.973,MNIHLA 2
2,2,155850,19-Sep,2,91,16687.39,10.0,1668.739,MNIHLA 2
2,6,155850,19-Dec,2,91,94857.684,61.0,1555.0439999999999,MNIHLA 2
2,6,155850,19-Oct,2,91,63756.804,41.0,1555.0439999999999,MNIHLA 2
2,4,155850,19-Sep,2,91,3643.024,2.0,1821.512,MNIHLA 2
2,4,155850,19-Nov,2,91,5464.536,3.0,1821.512,MNIHLA 2
2,2,155850,19-Oct,2,91,170211.378,102.0,1668.739,MNIHLA 2
