NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
3,3,154920,18-Dec,15,28,35739.822,24.0,1489.15925,MOKNINE
1,2,154920,18-Jul,15,28,146300.284,94.0,1556.3860000000002,MOKNINE
2,1,154920,19-Jan,15,28,227211.11,181.0,1255.31,MOKNINE
1,3,154920,18-Jun,15,28,9592.478,7.0,1370.3539999999998,MOKNINE
1,2,154920,18-Jun,15,28,57586.282,37.0,1556.386,MOKNINE
1,3,154920,18-Oct,15,28,20857.522,14.0,1489.823,MOKNINE
1,1,154920,19-Dec,15,28,15971.676,12.0,1330.973,MOKNINE
1,1,154920,19-Jun,15,28,30663.278,23.0,1333.186,MOKNINE
1,1,154920,18-Apr,15,28,274294.796,244.0,1124.1589999999999,MOKNINE
1,3,154920,18-Dec,15,28,29788.495,20.0,1489.42475,MOKNINE
2,2,154920,18-Dec,15,28,149366.479,93.0,1606.0911720430106,MOKNINE
2,2,154920,19-Feb,15,28,110765.286,69.0,1605.2939999999999,MOKNINE
3,3,154920,18-Jun,15,28,8620.356,6.0,1436.7259999999999,MOKNINE
3,1,154920,18-Nov,15,28,38963.993,31.0,1256.903,MOKNINE
3,2,154920,19-Jun,15,28,23391.76,14.0,1670.84,MOKNINE
2,2,154920,19-Aug,15,28,223611.026,134.0,1668.739,MOKNINE
3,2,154920,19-Aug,15,28,10012.434,6.0,1668.7389999999998,MOKNINE
2,2,154920,19-Nov,15,28,225279.765,135.0,1668.739,MOKNINE
2,1,154920,19-Dec,15,28,388644.116,292.0,1330.973,MOKNINE
1,1,154920,18-Mar,15,28,314254.101,291.0,1079.911,MOKNINE
1,3,154920,18-Mar,15,28,41109.286,31.0,1326.106,MOKNINE
1,3,154920,18-May,15,28,32888.496,24.0,1370.354,MOKNINE
1,3,154920,18-Jul,15,28,33044.698,23.0,1436.7259999999999,MOKNINE
1,1,154920,18-Jun,15,28,178741.281,159.0,1124.1589999999999,MOKNINE
2,6,154920,19-Oct,15,28,60646.716,39.0,1555.044,MOKNINE
1,2,154920,19-Jun,15,28,106933.76,64.0,1670.84,MOKNINE
2,1,154920,19-May,15,28,169314.622,127.0,1333.186,MOKNINE
2,6,154920,19-May,15,28,6229.028,4.0,1557.257,MOKNINE
2,6,154920,19-Jun,15,28,21801.598,14.0,1557.257,MOKNINE
2,6,154920,19-Aug,15,28,69976.98,45.0,1555.0439999999999,MOKNINE
1,2,154920,18-Apr,15,28,122455.602,82.0,1493.3609999999999,MOKNINE
1,2,154920,18-Aug,15,28,222563.198,143.0,1556.386,MOKNINE
2,1,154920,18-Jun,15,28,10117.431,9.0,1124.159,MOKNINE
3,3,154920,19-Jan,15,28,22323.45,15.0,1488.23,MOKNINE
2,1,154920,19-Apr,15,28,253305.34,190.0,1333.186,MOKNINE
2,2,154920,19-Apr,15,28,187134.08,112.0,1670.84,MOKNINE
1,2,154920,19-Dec,15,28,11681.173,7.0,1668.739,MOKNINE
2,1,154920,19-Sep,15,28,302130.871,227.0,1330.973,MOKNINE
2,1,154920,19-Nov,15,28,356700.764,268.0,1330.9730000000002,MOKNINE
1,3,154920,19-Jan,15,28,23811.68,16.0,1488.23,MOKNINE
1,1,154920,18-Oct,15,28,227499.443,181.0,1256.903,MOKNINE
1,2,154920,18-Oct,15,28,107656.069,67.0,1606.807,MOKNINE
3,1,154920,18-Jun,15,28,5620.795,5.0,1124.159,MOKNINE
2,3,154920,19-May,15,28,35816.911,23.0,1557.257,MOKNINE
2,6,154920,19-Dec,15,28,62201.76,40.0,1555.044,MOKNINE
1,2,154920,19-Jan,15,28,64211.76,40.0,1605.294,MOKNINE
3,3,154920,18-Nov,15,28,59592.92,40.0,1489.8229999999999,MOKNINE
1,3,154920,18-Aug,15,28,48848.684,34.0,1436.726,MOKNINE
1,3,154920,18-Jun,15,28,10057.082,7.0,1436.726,MOKNINE
1,2,154920,19-Feb,15,28,77054.112,48.0,1605.2939999999999,MOKNINE
1,1,154920,18-Jan,15,28,313174.19,290.0,1079.911,MOKNINE
1,2,154920,18-Jan,15,28,142231.712,98.0,1451.344,MOKNINE
2,2,154920,18-Jan,15,28,14513.44,10.0,1451.344,MOKNINE
1,1,154920,18-Feb,15,28,251619.263,233.0,1079.911,MOKNINE
1,1,154920,18-Dec,15,28,38963.993,31.0,1256.903,MOKNINE
2,1,154920,19-Feb,15,28,174488.09,139.0,1255.31,MOKNINE
1,1,154920,18-Aug,15,28,184532.305,155.0,1190.531,MOKNINE
1,1,154920,18-Sep,15,28,290539.544,232.0,1252.3256206896551,MOKNINE
2,2,154920,18-Jun,15,28,8960.166,6.0,1493.3609999999999,MOKNINE
3,1,154920,19-Feb,15,28,8787.17,7.0,1255.31,MOKNINE
2,1,154920,19-Mar,15,28,196918.624,156.0,1262.298871794872,MOKNINE
2,2,154920,19-Oct,15,28,235292.199,141.0,1668.739,MOKNINE
1,2,154920,19-Mar,15,28,86685.876,54.0,1605.294,MOKNINE
1,1,154920,19-Sep,15,28,25288.487,19.0,1330.973,MOKNINE
1,2,154920,19-Jul,15,28,46783.52,28.0,1670.84,MOKNINE
2,1,154920,18-Jan,15,28,15118.754,14.0,1079.911,MOKNINE
3,3,154920,18-May,15,28,19184.956,14.0,1370.3539999999998,MOKNINE
2,1,154920,18-Dec,15,28,280187.417,223.0,1256.4458161434977,MOKNINE
2,2,154920,18-Jul,15,28,46691.58,30.0,1556.386,MOKNINE
3,3,154920,18-Aug,15,28,21550.89,15.0,1436.7259999999999,MOKNINE
1,2,154920,19-Apr,15,28,35087.64,21.0,1670.84,MOKNINE
3,6,154920,19-Mar,15,28,43158.67,29.0,1488.23,MOKNINE
2,1,154920,19-Aug,15,28,328750.331,247.0,1330.973,MOKNINE
1,6,154920,19-Aug,15,28,7775.22,5.0,1555.044,MOKNINE
2,2,154920,18-Aug,15,28,60699.054,39.0,1556.386,MOKNINE
1,2,154920,18-Jun,15,28,109015.353,73.0,1493.361,MOKNINE
2,1,154920,18-Oct,15,28,106836.755,85.0,1256.903,MOKNINE
3,1,154920,18-Dec,15,28,21356.2,17.0,1256.2470588235294,MOKNINE
1,1,154920,19-Mar,15,28,102935.42,82.0,1255.31,MOKNINE
2,2,154920,19-May,15,28,175438.2,105.0,1670.8400000000001,MOKNINE
2,1,154920,18-Feb,15,28,29157.597,27.0,1079.911,MOKNINE
3,3,154920,18-Mar,15,28,18565.484,14.0,1326.106,MOKNINE
2,1,154920,18-Apr,15,28,20234.862,18.0,1124.159,MOKNINE
