NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
2,2,155930,19-Jun,15,1,233917.6,140.0,1670.8400000000001,MONASTIR
2,2,155930,19-Sep,15,1,460571.964,276.0,1668.739,MONASTIR
1,6,155930,19-Aug,15,1,9330.264,6.0,1555.0439999999999,MONASTIR
2,5,155930,19-Dec,15,1,15363.72,9.0,1707.08,MONASTIR
2,3,155930,19-May,15,1,113679.761,73.0,1557.257,MONASTIR
2,1,155930,19-Jun,15,1,279969.06,210.0,1333.186,MONASTIR
1,1,155930,19-Dec,15,1,13309.73,10.0,1330.973,MONASTIR
2,2,155930,19-Oct,15,1,657483.166,394.0,1668.739,MONASTIR
2,1,155930,19-Sep,15,1,318102.547,239.0,1330.9730000000002,MONASTIR
2,1,155930,19-Mar,15,1,80339.84,64.0,1255.31,MONASTIR
1,6,155930,19-Jul,15,1,34259.654,22.0,1557.257,MONASTIR
2,1,155930,19-Dec,15,1,315440.601,237.0,1330.9730000000002,MONASTIR
3,3,155930,19-Feb,15,1,11905.84,8.0,1488.23,MONASTIR
3,5,155930,19-Feb,15,1,4894.248,3.0,1631.416,MONASTIR
2,2,155930,19-Feb,15,1,33711.174,21.0,1605.2939999999999,MONASTIR
1,6,155930,19-Apr,15,1,7786.285,5.0,1557.257,MONASTIR
2,6,155930,19-Aug,15,1,146174.136,94.0,1555.044,MONASTIR
2,2,155930,19-Mar,15,1,142871.166,89.0,1605.2939999999999,MONASTIR
2,4,155930,19-Mar,15,1,10497.984,6.0,1749.664,MONASTIR
2,5,155930,19-Aug,15,1,20484.96,12.0,1707.08,MONASTIR
1,2,155930,19-Dec,15,1,18356.129,11.0,1668.739,MONASTIR
1,1,155930,19-Jun,15,1,9332.302,7.0,1333.186,MONASTIR
2,1,155930,19-Jul,15,1,368973.85,277.0,1332.035559566787,MONASTIR
2,6,155930,19-Jul,15,1,107346.722,69.0,1555.7495942028984,MONASTIR
2,4,155930,19-Jul,15,1,10935.375,6.0,1822.5625,MONASTIR
3,6,155930,19-Nov,15,1,34210.968,22.0,1555.044,MONASTIR
1,2,155930,19-Apr,15,1,101921.24,61.0,1670.8400000000001,MONASTIR
3,6,155930,19-Apr,15,1,46717.71,30.0,1557.257,MONASTIR
2,6,155930,19-Sep,15,1,127513.608,82.0,1555.0439999999999,MONASTIR
2,6,155930,19-Dec,15,1,121293.432,78.0,1555.044,MONASTIR
2,4,155930,19-May,15,1,16412.517,9.0,1823.613,MONASTIR
2,4,155930,19-Apr,15,1,7294.452,4.0,1823.613,MONASTIR
1,2,155930,19-Jun,15,1,312447.08,187.0,1670.8400000000001,MONASTIR
