NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
2,2,155510,18-Mar,3,21,261241.92,180.0,1451.344,MORNAG
1,3,155510,18-Dec,3,21,7449.115,5.0,1489.8229999999999,MORNAG
2,2,155510,19-Jan,3,21,199056.456,124.0,1605.294,MORNAG
2,2,155510,18-Sep,3,21,247448.278,154.0,1606.807,MORNAG
2,2,155510,19-Jul,3,21,365684.951,219.0,1669.794296803653,MORNAG
2,1,155510,18-Sep,3,21,332548.319,265.0,1254.8993169811322,MORNAG
2,2,155510,19-May,3,21,302422.04,181.0,1670.84,MORNAG
2,3,155510,19-May,3,21,115237.018,74.0,1557.257,MORNAG
2,2,155510,19-Oct,3,21,288691.847,173.0,1668.739,MORNAG
2,2,155510,18-Jan,3,21,214798.912,148.0,1451.344,MORNAG
3,1,155510,18-Oct,3,21,25138.06,20.0,1256.903,MORNAG
2,1,155510,19-Apr,3,21,323964.198,243.0,1333.186,MORNAG
3,6,155510,19-Nov,3,21,32655.924,21.0,1555.0439999999999,MORNAG
2,2,155510,19-Nov,3,21,312054.193,187.0,1668.7390000000003,MORNAG
2,1,155510,18-Feb,3,21,308854.546,286.0,1079.9109999999998,MORNAG
3,3,155510,18-Dec,3,21,120635.838,81.0,1489.3313333333333,MORNAG
2,2,155510,18-Oct,3,21,265123.155,165.0,1606.8070000000002,MORNAG
2,6,155510,19-Jul,3,21,154055.58,99.0,1556.1169696969696,MORNAG
2,2,155510,18-Apr,3,21,255364.731,171.0,1493.361,MORNAG
2,2,155510,18-May,3,21,258351.453,173.0,1493.361,MORNAG
2,2,155510,19-Feb,3,21,213504.102,133.0,1605.294,MORNAG
3,3,155510,18-Jun,3,21,114028.328,82.0,1390.5893658536584,MORNAG
1,1,155510,18-Dec,3,21,36450.187,29.0,1256.903,MORNAG
3,1,155510,18-Nov,3,21,40220.896,32.0,1256.903,MORNAG
1,2,155510,19-Feb,3,21,51369.408,32.0,1605.294,MORNAG
1,1,155510,19-May,3,21,13331.86,10.0,1333.1860000000001,MORNAG
3,3,155510,18-May,3,21,112369.028,82.0,1370.354,MORNAG
1,1,155510,18-Apr,3,21,47214.678,42.0,1124.159,MORNAG
3,3,155510,18-Aug,3,21,119248.258,83.0,1436.726,MORNAG
2,1,155510,18-Oct,3,21,314225.75,250.0,1256.903,MORNAG
2,1,155510,19-Sep,3,21,385982.17,290.0,1330.973,MORNAG
2,6,155510,19-Nov,3,21,107298.036,69.0,1555.0439999999999,MORNAG
3,3,155510,18-Jan,3,21,118023.434,89.0,1326.106,MORNAG
2,1,155510,18-Jan,3,21,342331.787,317.0,1079.911,MORNAG
3,3,155510,18-Mar,3,21,122134.496,92.0,1327.5488695652173,MORNAG
2,1,155510,18-Nov,3,21,319253.362,254.0,1256.903,MORNAG
2,2,155510,18-Nov,3,21,212098.524,132.0,1606.807,MORNAG
1,3,155510,18-Aug,3,21,18677.438,13.0,1436.7259999999999,MORNAG
3,2,155510,18-Aug,3,21,63811.826,41.0,1556.386,MORNAG
3,3,155510,18-Oct,3,21,84919.911,57.0,1489.8229999999999,MORNAG
2,1,155510,19-Oct,3,21,374003.413,281.0,1330.973,MORNAG
2,3,155510,19-Apr,3,21,126137.817,81.0,1557.2569999999998,MORNAG
2,6,155510,19-May,3,21,17129.827,11.0,1557.257,MORNAG
2,1,155510,19-Nov,3,21,480481.253,361.0,1330.9730000000002,MORNAG
2,1,155510,18-Apr,3,21,308019.566,274.0,1124.1589999999999,MORNAG
1,1,155510,18-May,3,21,20234.862,18.0,1124.159,MORNAG
2,1,155510,18-Jun,3,21,266181.02,232.0,1147.3319827586208,MORNAG
2,1,155510,19-May,3,21,294634.106,221.0,1333.1860000000001,MORNAG
1,1,155510,19-Mar,3,21,28872.13,23.0,1255.31,MORNAG
2,2,155510,19-Aug,3,21,345428.973,207.0,1668.739,MORNAG
3,1,155510,19-Aug,3,21,23957.514,18.0,1330.973,MORNAG
3,2,155510,19-Sep,3,21,18356.129,11.0,1668.739,MORNAG
2,2,155510,19-Dec,3,21,298704.281,179.0,1668.739,MORNAG
2,2,155510,18-Feb,3,21,216250.256,149.0,1451.344,MORNAG
3,3,155510,18-Apr,3,21,112369.028,82.0,1370.354,MORNAG
2,2,155510,18-Aug,3,21,225675.97,145.0,1556.386,MORNAG
3,1,155510,18-May,3,21,11241.59,10.0,1124.159,MORNAG
2,1,155510,18-Aug,3,21,304775.936,256.0,1190.531,MORNAG
3,3,155510,18-Sep,3,21,124932.744,84.0,1487.2945714285715,MORNAG
3,2,155510,18-Sep,3,21,17674.877,11.0,1606.807,MORNAG
1,2,155510,18-Dec,3,21,38563.368,24.0,1606.807,MORNAG
3,1,155510,19-May,3,21,47994.696,36.0,1333.1860000000001,MORNAG
2,6,155510,19-Dec,3,21,132178.74,85.0,1555.0439999999999,MORNAG
2,1,155510,18-May,3,21,313640.361,279.0,1124.1589999999999,MORNAG
1,2,155510,19-Jan,3,21,57790.584,36.0,1605.294,MORNAG
2,1,155510,19-Jan,3,21,297508.47,237.0,1255.31,MORNAG
3,1,155510,18-Sep,3,21,12569.03,10.0,1256.903,MORNAG
2,2,155510,19-Jun,3,21,305763.72,183.0,1670.84,MORNAG
2,1,155510,19-Jul,3,21,346365.013,260.0,1332.1731269230768,MORNAG
1,2,155510,19-Sep,3,21,50062.17,30.0,1668.739,MORNAG
3,2,155510,18-Jan,3,21,43540.32,30.0,1451.344,MORNAG
1,1,155510,18-Mar,3,21,21598.22,20.0,1079.911,MORNAG
3,3,155510,19-Jan,3,21,110129.02,74.0,1488.23,MORNAG
2,1,155510,18-Jul,3,21,310728.591,261.0,1190.531,MORNAG
3,3,155510,18-Jul,3,21,135052.244,94.0,1436.726,MORNAG
1,2,155510,18-Aug,3,21,51360.738,33.0,1556.386,MORNAG
1,3,155510,18-Oct,3,21,29796.46,20.0,1489.8229999999999,MORNAG
3,2,155510,18-Nov,3,21,51417.824,32.0,1606.807,MORNAG
2,6,155510,19-Jun,3,21,127695.074,82.0,1557.2569999999998,MORNAG
3,3,155510,18-Feb,3,21,42435.392,32.0,1326.106,MORNAG
2,1,155510,18-Dec,3,21,344240.087,274.0,1256.3506824817518,MORNAG
1,1,155510,19-Jan,3,21,28872.13,23.0,1255.31,MORNAG
1,3,155510,18-Feb,3,21,58348.664,44.0,1326.106,MORNAG
2,1,155510,18-Mar,3,21,321813.478,298.0,1079.911,MORNAG
3,3,155510,18-Nov,3,21,120675.663,81.0,1489.823,MORNAG
2,2,155510,18-Jul,3,21,314389.972,202.0,1556.386,MORNAG
1,3,155510,19-Jan,3,21,8929.38,6.0,1488.2299999999998,MORNAG
3,3,155510,19-Feb,3,21,110129.02,74.0,1488.23,MORNAG
