NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,1,153840,18-Feb,18,37,116630.388,108.0,1079.911,MOULARES
1,2,153840,18-Apr,18,37,74668.05,50.0,1493.361,MOULARES
3,3,153840,18-Feb,18,37,5304.424,4.0,1326.106,MOULARES
1,1,153840,18-May,18,37,119160.854,106.0,1124.159,MOULARES
1,2,153840,19-Jan,18,37,85080.582,53.0,1605.2939999999999,MOULARES
1,3,153840,19-Jan,18,37,22323.45,15.0,1488.23,MOULARES
1,2,153840,19-Aug,18,37,86774.428,52.0,1668.739,MOULARES
1,2,153840,19-Oct,18,37,78430.733,47.0,1668.7389999999998,MOULARES
1,3,153840,18-May,18,37,24666.372,18.0,1370.354,MOULARES
1,1,153840,18-Dec,18,37,97997.016,78.0,1256.372,MOULARES
1,2,153840,18-Jan,18,37,65310.48,45.0,1451.344,MOULARES
1,1,153840,19-Jan,18,37,110467.28,88.0,1255.31,MOULARES
1,3,153840,18-Sep,18,37,31286.283,21.0,1489.8229999999999,MOULARES
1,3,153840,18-Oct,18,37,23837.168,16.0,1489.823,MOULARES
1,2,153840,19-Sep,18,37,66749.56,40.0,1668.739,MOULARES
1,2,153840,19-Apr,18,37,80200.32,48.0,1670.8400000000001,MOULARES
1,6,153840,19-Sep,18,37,23325.66,15.0,1555.044,MOULARES
1,2,153840,19-Jul,18,37,63443.597,38.0,1669.5683421052631,MOULARES
1,2,153840,19-Nov,18,37,81768.211,49.0,1668.7389999999998,MOULARES
1,2,153840,18-Feb,18,37,81275.264,56.0,1451.3439999999998,MOULARES
1,3,153840,18-Feb,18,37,21217.696,16.0,1326.106,MOULARES
1,1,153840,18-Oct,18,37,119405.785,95.0,1256.903,MOULARES
1,6,153840,19-Aug,18,37,38876.1,25.0,1555.0439999999999,MOULARES
1,1,153840,19-Oct,18,37,101153.948,76.0,1330.973,MOULARES
1,1,153840,19-Dec,18,37,111801.732,84.0,1330.973,MOULARES
1,2,153840,18-Dec,18,37,77096.476,48.0,1606.1765833333332,MOULARES
1,1,153840,19-Sep,18,37,83851.299,63.0,1330.973,MOULARES
1,3,153840,18-Jan,18,37,19891.59,15.0,1326.106,MOULARES
1,2,153840,18-Jul,18,37,73150.142,47.0,1556.3860000000002,MOULARES
1,1,153840,18-Jul,18,37,138101.596,116.0,1190.531,MOULARES
2,1,153840,18-Aug,18,37,13095.841,11.0,1190.531,MOULARES
1,2,153840,18-Jun,18,37,73741.914,49.0,1504.9370204081633,MOULARES
1,3,153840,18-Nov,18,37,22347.345,15.0,1489.823,MOULARES
1,2,153840,19-Feb,18,37,64211.76,40.0,1605.294,MOULARES
1,1,153840,19-Apr,18,37,125319.484,94.0,1333.186,MOULARES
1,6,153840,19-Apr,18,37,24916.112,16.0,1557.257,MOULARES
1,6,153840,19-Jun,18,37,24916.112,16.0,1557.257,MOULARES
1,6,153840,19-Jul,18,37,23336.725,15.0,1555.7816666666665,MOULARES
1,2,153840,19-Dec,18,37,66749.56,40.0,1668.739,MOULARES
1,1,153840,18-Jan,18,37,97191.99,90.0,1079.911,MOULARES
1,2,153840,18-Oct,18,37,80340.35,50.0,1606.807,MOULARES
1,1,153840,18-Nov,18,37,115635.076,92.0,1256.903,MOULARES
1,2,153840,18-Nov,18,37,75519.929,47.0,1606.807,MOULARES
1,1,153840,19-Feb,18,37,100424.8,80.0,1255.31,MOULARES
1,1,153840,19-Aug,18,37,107808.813,81.0,1330.973,MOULARES
1,1,153840,18-Jun,18,37,96814.583,85.0,1138.995094117647,MOULARES
4,1,153840,18-Dec,18,37,12569.03,10.0,1256.903,MOULARES
1,2,153840,19-Jun,18,37,78529.48,47.0,1670.84,MOULARES
1,2,153840,19-Mar,18,37,80264.7,50.0,1605.2939999999999,MOULARES
1,2,153840,18-Aug,18,37,164976.916,106.0,1556.386,MOULARES
1,1,153840,18-Aug,18,37,138101.596,116.0,1190.531,MOULARES
1,2,153840,19-May,18,37,56808.56,34.0,1670.84,MOULARES
1,6,153840,19-Mar,18,37,17858.76,12.0,1488.2299999999998,MOULARES
1,6,153840,19-Oct,18,37,26435.748,17.0,1555.0439999999999,MOULARES
1,6,153840,19-Dec,18,37,32655.924,21.0,1555.0439999999999,MOULARES
1,3,153840,19-Feb,18,37,22323.45,15.0,1488.23,MOULARES
1,6,153840,19-May,18,37,15572.57,10.0,1557.257,MOULARES
1,1,153840,19-Jul,18,37,81240.252,61.0,1331.8074098360655,MOULARES
1,2,153840,18-Mar,18,37,91434.672,63.0,1451.344,MOULARES
4,3,153840,18-Apr,18,37,6851.77,5.0,1370.354,MOULARES
2,2,153840,18-Aug,18,37,15563.86,10.0,1556.386,MOULARES
1,3,153840,18-Jun,18,37,20754.426,15.0,1383.6284,MOULARES
1,1,153840,19-Jun,18,37,41328.766,31.0,1333.1860000000001,MOULARES
1,1,153840,18-Apr,18,37,118036.695,105.0,1124.159,MOULARES
1,3,153840,18-Apr,18,37,20555.31,15.0,1370.354,MOULARES
1,1,153840,18-Sep,18,37,128204.106,102.0,1256.903,MOULARES
1,2,153840,18-May,18,37,82134.855,55.0,1493.3609999999999,MOULARES
1,3,153840,18-Dec,18,37,26805.663,18.0,1489.2035,MOULARES
1,3,153840,18-Jul,18,37,48848.684,34.0,1436.726,MOULARES
1,3,153840,18-Aug,18,37,45975.232,32.0,1436.726,MOULARES
1,2,153840,18-Sep,18,37,86767.578,54.0,1606.8069999999998,MOULARES
1,1,153840,19-May,18,37,73325.23,55.0,1333.186,MOULARES
2,1,153840,19-Jul,18,37,21330.976,16.0,1333.186,MOULARES
1,1,153840,19-Nov,18,37,89175.191,67.0,1330.9730000000002,MOULARES
1,6,153840,19-Nov,18,37,23325.66,15.0,1555.044,MOULARES
1,1,153840,18-Mar,18,37,126349.587,117.0,1079.911,MOULARES
1,3,153840,18-Mar,18,37,22543.802,17.0,1326.106,MOULARES
2,1,153840,19-Jun,18,37,34662.836,26.0,1333.1860000000001,MOULARES
1,1,153840,19-Mar,18,37,94148.25,75.0,1255.31,MOULARES
