NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,2,152860,18-Jan,14,25,79823.92,55.0,1451.344,MSAKEN
1,2,152860,18-Apr,14,25,100055.187,67.0,1493.361,MSAKEN
3,3,152860,18-May,14,25,52073.452,38.0,1370.354,MSAKEN
2,1,152860,18-Dec,14,25,517627.388,412.0,1256.3771553398058,MSAKEN
2,1,152860,18-Jun,14,25,31746.105,27.0,1175.7816666666668,MSAKEN
2,1,152860,19-Jun,14,25,407954.916,306.0,1333.1860000000001,MSAKEN
1,6,152860,19-May,14,25,6229.028,4.0,1557.257,MSAKEN
2,2,152860,19-Mar,14,25,93107.052,58.0,1605.2939999999999,MSAKEN
2,2,152860,19-Aug,14,25,171880.117,103.0,1668.739,MSAKEN
1,1,152860,18-Jan,14,25,249459.441,231.0,1079.911,MSAKEN
2,1,152860,18-Mar,14,25,126349.587,117.0,1079.911,MSAKEN
2,1,152860,18-Apr,14,25,103422.628,92.0,1124.1589999999999,MSAKEN
3,3,152860,18-Sep,14,25,49164.159,33.0,1489.823,MSAKEN
2,3,152860,19-May,14,25,43603.196,28.0,1557.257,MSAKEN
3,2,152860,19-Jul,14,25,6674.956,4.0,1668.739,MSAKEN
2,2,152860,18-Oct,14,25,35349.754,22.0,1606.807,MSAKEN
3,1,152860,18-Jun,14,25,6744.954,6.0,1124.1589999999999,MSAKEN
1,2,152860,19-Jun,14,25,36758.48,22.0,1670.8400000000001,MSAKEN
1,1,152860,19-May,14,25,62659.742,47.0,1333.186,MSAKEN
2,2,152860,19-Sep,14,25,166873.9,100.0,1668.739,MSAKEN
2,2,152860,18-Apr,14,25,41814.108,28.0,1493.361,MSAKEN
1,1,152860,19-Feb,14,25,153147.82,122.0,1255.31,MSAKEN
2,3,152860,19-Apr,14,25,52946.738,34.0,1557.2569999999998,MSAKEN
1,1,152860,19-Apr,14,25,42661.952,32.0,1333.186,MSAKEN
1,2,152860,19-Mar,14,25,69027.642,43.0,1605.294,MSAKEN
2,6,152860,19-Sep,14,25,60646.716,39.0,1555.044,MSAKEN
1,2,152860,19-Aug,14,25,31706.041,19.0,1668.739,MSAKEN
2,1,152860,19-Jul,14,25,466218.973,350.0,1332.0542085714285,MSAKEN
2,6,152860,19-Jul,14,25,68459.557,44.0,1555.8990227272727,MSAKEN
1,2,152860,18-Feb,14,25,85629.296,59.0,1451.344,MSAKEN
1,1,152860,18-Apr,14,25,297902.135,265.0,1124.159,MSAKEN
1,1,152860,18-May,14,25,311392.043,277.0,1124.159,MSAKEN
3,1,152860,18-May,14,25,5620.795,5.0,1124.159,MSAKEN
2,1,152860,18-Aug,14,25,264297.882,222.0,1190.531,MSAKEN
1,2,152860,19-Feb,14,25,56185.29,35.0,1605.294,MSAKEN
2,1,152860,19-May,14,25,382624.382,287.0,1333.186,MSAKEN
2,6,152860,19-Jun,14,25,38931.425,25.0,1557.257,MSAKEN
2,2,152860,19-Oct,14,25,163536.422,98.0,1668.7389999999998,MSAKEN
1,6,152860,19-Jun,14,25,15572.57,10.0,1557.257,MSAKEN
2,1,152860,19-Sep,14,25,445875.955,335.0,1330.973,MSAKEN
2,6,152860,19-Aug,14,25,73087.068,47.0,1555.044,MSAKEN
1,2,152860,19-Sep,14,25,11681.173,7.0,1668.739,MSAKEN
2,1,152860,18-Feb,14,25,169546.027,157.0,1079.911,MSAKEN
1,3,152860,18-Feb,14,25,27848.226,21.0,1326.106,MSAKEN
3,3,152860,18-Mar,14,25,17239.378,13.0,1326.106,MSAKEN
2,2,152860,18-Mar,14,25,27575.536,19.0,1451.344,MSAKEN
3,1,152860,18-Nov,14,25,28908.769,23.0,1256.903,MSAKEN
1,3,152860,18-Jun,14,25,9592.478,7.0,1370.3539999999998,MSAKEN
1,1,152860,19-Mar,14,25,52723.02,42.0,1255.31,MSAKEN
1,3,152860,18-Dec,14,25,25317.433,17.0,1489.2607647058824,MSAKEN
1,1,152860,18-Jul,14,25,196437.615,165.0,1190.531,MSAKEN
1,1,152860,18-Jun,14,25,308500.83,270.0,1142.5956666666668,MSAKEN
1,3,152860,18-Sep,14,25,20857.522,14.0,1489.823,MSAKEN
1,1,152860,18-Oct,14,25,351932.84,280.0,1256.903,MSAKEN
1,3,152860,18-Oct,14,25,31286.283,21.0,1489.8229999999999,MSAKEN
1,1,152860,18-Dec,14,25,59074.441,47.0,1256.903,MSAKEN
2,1,152860,19-Nov,14,25,480481.253,361.0,1330.9730000000002,MSAKEN
2,2,152860,19-Nov,14,25,165205.161,99.0,1668.739,MSAKEN
2,1,152860,19-Dec,14,25,503107.794,378.0,1330.973,MSAKEN
3,1,152860,18-Apr,14,25,11241.59,10.0,1124.159,MSAKEN
2,2,152860,18-Aug,14,25,51360.738,33.0,1556.386,MSAKEN
2,2,152860,18-Dec,14,25,115641.688,72.0,1606.1345555555554,MSAKEN
3,3,152860,19-Jan,14,25,63993.89,43.0,1488.23,MSAKEN
1,2,152860,19-Jan,14,25,59395.878,37.0,1605.2939999999999,MSAKEN
3,3,152860,19-Feb,14,25,61017.43,41.0,1488.23,MSAKEN
2,6,152860,19-May,14,25,6229.028,4.0,1557.257,MSAKEN
2,2,152860,19-Dec,14,25,175217.595,105.0,1668.739,MSAKEN
3,3,152860,18-Feb,14,25,19891.59,15.0,1326.106,MSAKEN
2,1,152860,18-Jul,14,25,183341.774,154.0,1190.531,MSAKEN
3,1,152860,18-Jul,14,25,7143.186,6.0,1190.531,MSAKEN
2,2,152860,18-Nov,14,25,139792.209,87.0,1606.807,MSAKEN
1,1,152860,18-Sep,14,25,211553.771,169.0,1251.7974615384617,MSAKEN
3,1,152860,18-Oct,14,25,6284.515,5.0,1256.903,MSAKEN
2,2,152860,19-Feb,14,25,86685.876,54.0,1605.294,MSAKEN
1,2,152860,19-Apr,14,25,20050.08,12.0,1670.8400000000001,MSAKEN
2,2,152860,18-Feb,14,25,42088.976,29.0,1451.344,MSAKEN
1,3,152860,18-Jan,14,25,29174.332,22.0,1326.106,MSAKEN
