NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
3,1,153660,18-Jan,6,15,82073.236,76.0,1079.911,M. BOURGUIBA
3,1,153660,18-Feb,6,15,44276.351,41.0,1079.911,M. BOURGUIBA
3,2,153660,18-Jan,6,15,15964.784,11.0,1451.344,M. BOURGUIBA
3,3,153660,18-Feb,6,15,7956.636,6.0,1326.106,M. BOURGUIBA
3,1,153660,18-Nov,6,15,30165.672,24.0,1256.903,M. BOURGUIBA
3,2,153660,18-Oct,6,15,8034.035,5.0,1606.807,M. BOURGUIBA
3,1,153660,18-Oct,6,15,8798.321,7.0,1256.903,M. BOURGUIBA
3,3,153660,18-Mar,6,15,21217.696,16.0,1326.106,M. BOURGUIBA
3,3,153660,18-Apr,6,15,13703.54,10.0,1370.354,M. BOURGUIBA
3,1,153660,18-Feb,6,15,21598.22,20.0,1079.911,M. BOURGUIBA
3,1,153660,18-Apr,6,15,55083.791,49.0,1124.1589999999999,M. BOURGUIBA
3,2,153660,18-Nov,6,15,40170.175,25.0,1606.807,M. BOURGUIBA
1,3,153660,18-Oct,6,15,5959.292,4.0,1489.823,M. BOURGUIBA
3,3,153660,18-Nov,6,15,14898.23,10.0,1489.8229999999999,M. BOURGUIBA
3,3,153660,18-Feb,6,15,10608.848,8.0,1326.106,M. BOURGUIBA
3,1,153660,18-Mar,6,15,65874.571,61.0,1079.9109999999998,M. BOURGUIBA
3,3,153660,18-Jan,6,15,18565.484,14.0,1326.106,M. BOURGUIBA
3,1,155890,19-Jul,6,15,50287.584,36.0,1396.8773333333334,M. BOURGUIBA
3,1,155890,19-Feb,6,15,59256.45,45.0,1316.81,M. BOURGUIBA
3,1,155890,19-Apr,6,15,103354.764,74.0,1396.686,M. BOURGUIBA
3,6,155890,19-Jun,6,15,25960.912,16.0,1622.557,M. BOURGUIBA
3,2,155890,19-Jan,6,15,83999.7,50.0,1679.994,M. BOURGUIBA
3,2,155890,19-Feb,6,15,90719.676,54.0,1679.9940000000001,M. BOURGUIBA
3,1,155890,19-Mar,6,15,75058.17,57.0,1316.81,M. BOURGUIBA
3,1,155890,18-Dec,6,15,78202.269,60.0,1303.37115,M. BOURGUIBA
2,2,155890,19-May,6,15,17475.4,10.0,1747.5400000000002,M. BOURGUIBA
3,2,155890,19-Jun,6,15,97862.24,56.0,1747.5400000000002,M. BOURGUIBA
3,1,155890,19-Oct,6,15,71245.623,51.0,1396.9730000000002,M. BOURGUIBA
3,1,155890,19-Sep,6,15,69848.65,50.0,1396.973,M. BOURGUIBA
3,2,155890,19-Sep,6,15,90892.828,52.0,1747.9389999999999,M. BOURGUIBA
3,6,155890,19-Dec,6,15,37325.412,23.0,1622.8439999999998,M. BOURGUIBA
3,2,155890,18-Dec,6,15,111650.857,67.0,1666.4307014925373,M. BOURGUIBA
3,2,155890,19-Apr,6,15,106599.94,61.0,1747.54,M. BOURGUIBA
3,6,155890,19-Mar,6,15,34133.66,22.0,1551.5300000000002,M. BOURGUIBA
3,1,155890,19-Jun,6,15,72627.672,52.0,1396.6860000000001,M. BOURGUIBA
3,2,155890,18-Nov,6,15,55430.331,33.0,1679.7069999999999,M. BOURGUIBA
3,2,155890,19-Mar,6,15,105839.622,63.0,1679.9940000000001,M. BOURGUIBA
3,6,155890,19-Aug,6,15,47062.476,29.0,1622.844,M. BOURGUIBA
3,3,155890,19-Jan,6,15,29479.07,19.0,1551.53,M. BOURGUIBA
3,2,155890,19-Oct,6,15,92640.767,53.0,1747.939,M. BOURGUIBA
2,1,155890,19-Jul,6,15,20950.29,15.0,1396.6860000000001,M. BOURGUIBA
3,6,155890,19-Sep,6,15,35702.568,22.0,1622.844,M. BOURGUIBA
3,3,155890,19-Feb,6,15,31030.6,20.0,1551.53,M. BOURGUIBA
3,3,155890,18-Nov,6,15,17064.553,11.0,1551.323,M. BOURGUIBA
3,6,155890,19-Oct,6,15,32456.88,20.0,1622.844,M. BOURGUIBA
3,6,155890,19-Jul,6,15,30832.027,19.0,1622.7382631578946,M. BOURGUIBA
3,2,155890,19-Nov,6,15,97884.584,56.0,1747.939,M. BOURGUIBA
3,1,155890,18-Nov,6,15,65830.15,50.0,1316.6029999999998,M. BOURGUIBA
3,2,155890,19-Aug,6,15,124103.669,71.0,1747.9389999999999,M. BOURGUIBA
3,6,155890,19-Apr,6,15,38941.368,24.0,1622.557,M. BOURGUIBA
3,1,155890,19-May,6,15,81007.788,58.0,1396.686,M. BOURGUIBA
3,2,155890,19-Jul,6,15,73407.054,42.0,1747.787,M. BOURGUIBA
2,6,155890,19-Jul,6,15,8112.785,5.0,1622.557,M. BOURGUIBA
3,6,155890,19-Nov,6,15,35702.568,22.0,1622.844,M. BOURGUIBA
3,1,155890,19-Dec,6,15,71245.623,51.0,1396.9730000000002,M. BOURGUIBA
3,1,155890,19-Jan,6,15,61890.07,47.0,1316.81,M. BOURGUIBA
3,3,155890,18-Dec,6,15,35302.492,23.0,1534.890956521739,M. BOURGUIBA
3,2,155890,19-May,6,15,94367.16,54.0,1747.54,M. BOURGUIBA
3,1,155890,19-Aug,6,15,81024.434,58.0,1396.973,M. BOURGUIBA
3,1,155890,19-Nov,6,15,78230.488,56.0,1396.973,M. BOURGUIBA
3,2,155890,19-Dec,6,15,111868.096,64.0,1747.939,M. BOURGUIBA
3,6,155890,19-May,6,15,40563.925,25.0,1622.557,M. BOURGUIBA
2,1,155890,19-May,6,15,13966.86,10.0,1396.6860000000001,M. BOURGUIBA
2,2,155890,19-Jul,6,15,20970.48,12.0,1747.54,M. BOURGUIBA
