NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,2,152370,18-Feb,17,18,26124.192,18.0,1451.344,M. CHAKER
1,2,152370,18-Apr,17,18,29867.22,20.0,1493.361,M. CHAKER
1,1,152370,19-Feb,17,18,164445.61,131.0,1255.31,M. CHAKER
1,2,152370,18-Dec,17,18,33727.817,21.0,1606.086523809524,M. CHAKER
1,1,152370,19-Jun,17,18,70658.858,53.0,1333.186,M. CHAKER
1,1,152370,19-Sep,17,18,126442.435,95.0,1330.973,M. CHAKER
1,2,152370,18-Jul,17,18,28014.948,18.0,1556.386,M. CHAKER
2,1,152370,18-Nov,17,18,6284.515,5.0,1256.903,M. CHAKER
1,2,152370,19-Nov,17,18,26699.824,16.0,1668.739,M. CHAKER
1,1,152370,18-Feb,17,18,212742.467,197.0,1079.911,M. CHAKER
1,3,152370,18-Mar,17,18,19891.59,15.0,1326.106,M. CHAKER
1,1,152370,18-Oct,17,18,183507.838,146.0,1256.903,M. CHAKER
1,2,152370,19-May,17,18,38429.32,23.0,1670.84,M. CHAKER
1,1,152370,19-Mar,17,18,182019.95,145.0,1255.3100000000002,M. CHAKER
1,3,152370,18-Feb,17,18,18565.484,14.0,1326.106,M. CHAKER
1,1,152370,19-Aug,17,18,121118.543,91.0,1330.973,M. CHAKER
1,2,152370,19-Aug,17,18,41718.475,25.0,1668.739,M. CHAKER
1,2,152370,18-Jan,17,18,33380.912,23.0,1451.3439999999998,M. CHAKER
2,2,152370,19-Jan,17,18,6421.176,4.0,1605.294,M. CHAKER
1,2,152370,18-Jun,17,18,31675.706,21.0,1508.3669523809524,M. CHAKER
1,6,152370,19-Jul,17,18,6229.028,4.0,1557.257,M. CHAKER
1,2,152370,19-Sep,17,18,30037.302,18.0,1668.739,M. CHAKER
1,2,152370,19-Jan,17,18,24079.41,15.0,1605.294,M. CHAKER
4,1,152370,18-Jul,17,18,4762.124,4.0,1190.531,M. CHAKER
2,1,152370,18-Aug,17,18,14286.372,12.0,1190.531,M. CHAKER
2,2,152370,18-Oct,17,18,3213.614,2.0,1606.807,M. CHAKER
1,2,152370,18-Nov,17,18,24102.105,15.0,1606.807,M. CHAKER
1,2,152370,19-Oct,17,18,25031.085,15.0,1668.739,M. CHAKER
2,2,152370,18-Jul,17,18,4669.158,3.0,1556.3860000000002,M. CHAKER
2,1,152370,18-Jul,17,18,13095.841,11.0,1190.531,M. CHAKER
2,1,152370,18-Dec,17,18,45248.508,36.0,1256.903,M. CHAKER
1,2,152370,19-Jun,17,18,25062.6,15.0,1670.84,M. CHAKER
1,2,152370,19-Mar,17,18,38527.056,24.0,1605.2939999999999,M. CHAKER
1,2,152370,19-Dec,17,18,25031.085,15.0,1668.739,M. CHAKER
1,1,152370,18-Nov,17,18,158369.778,126.0,1256.903,M. CHAKER
1,2,152370,19-Apr,17,18,36758.48,22.0,1670.8400000000001,M. CHAKER
1,1,152370,19-Dec,17,18,130435.354,98.0,1330.973,M. CHAKER
1,1,152370,19-Jul,17,18,137207.508,103.0,1332.1117281553397,M. CHAKER
1,2,152370,18-May,17,18,23893.776,16.0,1493.361,M. CHAKER
1,1,152370,18-Sep,17,18,243374.578,194.0,1254.5081340206186,M. CHAKER
1,3,152370,18-Sep,17,18,22347.345,15.0,1489.823,M. CHAKER
4,3,152370,18-Jul,17,18,2873.452,2.0,1436.726,M. CHAKER
1,1,152370,18-Jun,17,18,179873.77,158.0,1138.4415822784808,M. CHAKER
1,3,152370,18-Jun,17,18,20754.426,15.0,1383.6284,M. CHAKER
1,3,152370,18-Oct,17,18,19367.699,13.0,1489.823,M. CHAKER
1,1,152370,18-Jan,17,18,234340.687,217.0,1079.911,M. CHAKER
1,3,152370,18-Apr,17,18,19184.956,14.0,1370.3539999999998,M. CHAKER
1,3,152370,18-May,17,18,16444.248,12.0,1370.354,M. CHAKER
1,2,152370,19-Feb,17,18,32105.88,20.0,1605.294,M. CHAKER
1,3,152370,19-Jan,17,18,2976.46,2.0,1488.23,M. CHAKER
1,1,152370,18-Mar,17,18,248379.53,230.0,1079.911,M. CHAKER
2,1,152370,19-Jan,17,18,13808.41,11.0,1255.31,M. CHAKER
2,1,152370,18-Oct,17,18,11312.127,9.0,1256.903,M. CHAKER
1,3,152370,18-Nov,17,18,20857.522,14.0,1489.823,M. CHAKER
1,6,152370,19-Jun,17,18,4671.771,3.0,1557.2569999999998,M. CHAKER
1,1,152370,19-Apr,17,18,174647.366,131.0,1333.1860000000001,M. CHAKER
1,1,152370,19-Nov,17,18,125111.462,94.0,1330.973,M. CHAKER
1,3,152370,18-Jan,17,18,23869.908,18.0,1326.106,M. CHAKER
1,2,152370,18-Mar,17,18,34832.256,24.0,1451.344,M. CHAKER
1,1,152370,18-Dec,17,18,116831.445,93.0,1256.2520967741937,M. CHAKER
1,1,152370,18-Jul,17,18,165483.809,139.0,1190.531,M. CHAKER
1,3,152370,18-Aug,17,18,22987.616,16.0,1436.726,M. CHAKER
2,2,152370,18-Aug,17,18,4669.158,3.0,1556.3860000000002,M. CHAKER
1,2,152370,18-Sep,17,18,38412.105,24.0,1600.5043750000002,M. CHAKER
1,3,152370,19-Feb,17,18,2976.46,2.0,1488.23,M. CHAKER
2,1,152370,19-Jun,17,18,27996.906,21.0,1333.186,M. CHAKER
1,2,152370,19-Jul,17,18,38404.108,23.0,1669.7438260869565,M. CHAKER
1,1,152370,19-Oct,17,18,129104.381,97.0,1330.973,M. CHAKER
1,1,152370,18-Apr,17,18,234949.231,209.0,1124.159,M. CHAKER
1,1,152370,18-Aug,17,18,185722.836,156.0,1190.5310000000002,M. CHAKER
1,1,152370,19-May,17,18,155982.762,117.0,1333.186,M. CHAKER
2,2,152370,19-Jun,17,18,5012.52,3.0,1670.8400000000001,M. CHAKER
1,1,152370,18-May,17,18,188858.712,168.0,1124.159,M. CHAKER
1,3,152370,18-Dec,17,18,11918.584,8.0,1489.823,M. CHAKER
1,1,152370,19-Jan,17,18,165700.92,132.0,1255.3100000000002,M. CHAKER
1,3,152370,18-Jul,17,18,20114.164,14.0,1436.726,M. CHAKER
1,2,152370,18-Aug,17,18,52917.124,34.0,1556.3860000000002,M. CHAKER
1,2,152370,18-Oct,17,18,25708.912,16.0,1606.807,M. CHAKER
