NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,1,153060,18-Jan,21,68,100431.723,93.0,1079.911,M. EL HABIB
2,1,153060,18-Aug,21,68,20239.027,17.0,1190.531,M. EL HABIB
1,2,153060,19-Feb,21,68,20868.822,13.0,1605.294,M. EL HABIB
2,1,153060,19-Jun,21,68,33329.65,25.0,1333.1860000000001,M. EL HABIB
1,6,153060,19-Jul,21,68,21788.32,14.0,1556.3085714285714,M. EL HABIB
1,6,153060,19-Nov,21,68,18660.528,12.0,1555.0439999999999,M. EL HABIB
1,3,153060,18-Jan,21,68,15913.272,12.0,1326.106,M. EL HABIB
1,2,153060,18-Dec,21,68,22484.707,14.0,1606.0504999999998,M. EL HABIB
1,1,153060,18-Aug,21,68,77384.515,65.0,1190.531,M. EL HABIB
1,2,153060,18-Oct,21,68,12854.456,8.0,1606.807,M. EL HABIB
1,3,153060,18-Jun,21,68,12532.302,9.0,1392.478,M. EL HABIB
1,2,153060,19-May,21,68,23391.76,14.0,1670.84,M. EL HABIB
1,2,153060,19-Oct,21,68,28368.563,17.0,1668.7389999999998,M. EL HABIB
1,3,153060,18-Apr,21,68,17814.602,13.0,1370.3539999999998,M. EL HABIB
1,2,153060,18-May,21,68,17920.332,12.0,1493.3609999999999,M. EL HABIB
2,2,153060,19-Jan,21,68,6421.176,4.0,1605.294,M. EL HABIB
2,2,153060,18-Jul,21,68,6225.544,4.0,1556.386,M. EL HABIB
1,3,153060,19-Feb,21,68,13394.07,9.0,1488.23,M. EL HABIB
1,1,153060,19-May,21,68,66659.3,50.0,1333.1860000000001,M. EL HABIB
1,1,153060,19-Jul,21,68,86590.7,65.0,1332.1646153846154,M. EL HABIB
1,3,153060,18-Nov,21,68,20857.522,14.0,1489.823,M. EL HABIB
1,2,153060,19-Jun,21,68,23391.76,14.0,1670.84,M. EL HABIB
1,2,153060,19-Aug,21,68,48393.431,29.0,1668.7389999999998,M. EL HABIB
1,6,153060,19-Aug,21,68,24880.704,16.0,1555.044,M. EL HABIB
1,2,153060,19-Jan,21,68,11237.058,7.0,1605.294,M. EL HABIB
