NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,1,153290,18-Dec,16,51,64067.007,51.0,1256.2158235294116,M. HACHED
3,3,153290,18-Aug,16,51,4310.178,3.0,1436.7259999999999,M. HACHED
1,2,153290,18-Sep,16,51,14461.263,9.0,1606.807,M. HACHED
1,1,153290,18-Nov,16,51,81698.695,65.0,1256.903,M. HACHED
1,6,153290,19-May,16,51,15572.57,10.0,1557.257,M. HACHED
1,2,153290,19-Mar,16,51,27289.998,17.0,1605.2939999999999,M. HACHED
1,2,153290,19-Aug,16,51,38380.997,23.0,1668.739,M. HACHED
1,1,153290,19-Dec,16,51,110470.759,83.0,1330.973,M. HACHED
1,2,153290,18-Aug,16,51,26458.562,17.0,1556.3860000000002,M. HACHED
1,2,153290,19-Oct,16,51,31706.041,19.0,1668.739,M. HACHED
1,1,153290,18-Feb,16,51,22678.131,21.0,1079.911,M. HACHED
1,3,153290,18-Jul,16,51,5746.904,4.0,1436.726,M. HACHED
1,6,153290,19-Jul,16,51,10894.16,7.0,1556.3085714285714,M. HACHED
1,1,153290,19-Nov,16,51,66548.65,50.0,1330.973,M. HACHED
1,3,153290,18-Dec,16,51,14893.451,10.0,1489.3451,M. HACHED
1,2,153290,19-Jun,16,51,25062.6,15.0,1670.84,M. HACHED
1,1,153290,19-Sep,16,51,69210.596,52.0,1330.9730000000002,M. HACHED
1,2,153290,19-Sep,16,51,28368.563,17.0,1668.7389999999998,M. HACHED
1,3,153290,18-Jan,16,51,14587.166,11.0,1326.106,M. HACHED
1,2,153290,19-Jan,16,51,19263.528,12.0,1605.2939999999999,M. HACHED
1,1,153290,18-Jul,16,51,35715.93,30.0,1190.531,M. HACHED
1,3,153290,18-Nov,16,51,4469.469,3.0,1489.823,M. HACHED
1,1,153290,19-Jun,16,51,49327.882,37.0,1333.186,M. HACHED
2,1,153290,19-Jun,16,51,13331.86,10.0,1333.1860000000001,M. HACHED
1,2,153290,19-May,16,51,28404.28,17.0,1670.84,M. HACHED
1,1,153290,19-Jul,16,51,81260.169,61.0,1332.1339180327868,M. HACHED
3,2,153290,18-Aug,16,51,10894.702,7.0,1556.386,M. HACHED
1,6,153290,19-Sep,16,51,17105.484,11.0,1555.044,M. HACHED
1,6,153290,19-Dec,16,51,15550.44,10.0,1555.044,M. HACHED
1,1,153290,19-Jan,16,51,58999.57,47.0,1255.31,M. HACHED
