NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,2,155640,18-Apr,15,16,134402.49,90.0,1493.3609999999999,M. HAYET PK156
2,1,155640,19-Jan,15,16,176998.71,141.0,1255.31,M. HAYET PK156
3,3,155640,18-Aug,15,16,94823.916,66.0,1436.7259999999999,M. HAYET PK156
3,1,155640,18-Jun,15,16,17857.965,15.0,1190.531,M. HAYET PK156
1,3,155640,18-Sep,15,16,51878.32,35.0,1482.2377142857142,M. HAYET PK156
1,3,155640,18-Jun,15,16,25861.068,18.0,1436.7259999999999,M. HAYET PK156
2,1,155640,18-Jun,15,16,25855.657,23.0,1124.1589999999999,M. HAYET PK156
3,5,155640,19-Feb,15,16,8157.08,5.0,1631.416,M. HAYET PK156
3,2,155640,19-Feb,15,16,9631.764,6.0,1605.2939999999999,M. HAYET PK156
3,2,155640,19-Mar,15,16,9631.764,6.0,1605.2939999999999,M. HAYET PK156
1,6,155640,19-Nov,15,16,9330.264,6.0,1555.0439999999999,M. HAYET PK156
3,3,155640,18-Dec,15,16,75937.962,51.0,1488.9796470588235,M. HAYET PK156
2,2,155640,18-Dec,15,16,128450.754,80.0,1605.634425,M. HAYET PK156
2,1,155640,18-Jul,15,16,98814.073,83.0,1190.531,M. HAYET PK156
2,2,155640,18-Jun,15,16,10894.702,7.0,1556.386,M. HAYET PK156
1,6,155640,19-Apr,15,16,20244.341,13.0,1557.257,M. HAYET PK156
2,6,155640,19-Jun,15,16,62290.28,40.0,1557.257,M. HAYET PK156
1,2,155640,19-Dec,15,16,33374.78,20.0,1668.739,M. HAYET PK156
1,2,155640,18-Mar,15,16,181418.0,125.0,1451.344,M. HAYET PK156
3,3,155640,18-Apr,15,16,115109.736,84.0,1370.354,M. HAYET PK156
2,2,155640,18-Mar,15,16,14513.44,10.0,1451.344,M. HAYET PK156
3,4,155640,19-Feb,15,16,20995.968,12.0,1749.664,M. HAYET PK156
3,4,155640,18-Jul,15,16,15293.196,9.0,1699.244,M. HAYET PK156
3,1,155640,18-Jul,15,16,15476.903,13.0,1190.531,M. HAYET PK156
3,3,155640,18-Jun,15,16,12930.534,9.0,1436.7259999999999,M. HAYET PK156
1,2,155640,18-Jun,15,16,125442.324,84.0,1493.3609999999999,M. HAYET PK156
2,1,155640,19-Jun,15,16,245306.224,184.0,1333.186,M. HAYET PK156
1,1,155640,19-May,15,16,15998.232,12.0,1333.186,M. HAYET PK156
2,6,155640,19-May,15,16,18687.084,12.0,1557.2569999999998,M. HAYET PK156
2,5,155640,19-Jun,15,16,8546.46,5.0,1709.292,M. HAYET PK156
2,5,155640,19-Jul,15,16,8535.4,5.0,1707.08,M. HAYET PK156
2,2,155640,19-Nov,15,16,183561.29,110.0,1668.739,M. HAYET PK156
2,1,155640,18-Feb,15,16,17278.576,16.0,1079.911,M. HAYET PK156
3,1,155640,18-Apr,15,16,12365.749,11.0,1124.1589999999999,M. HAYET PK156
1,1,155640,19-Jan,15,16,64020.81,51.0,1255.31,M. HAYET PK156
1,2,155640,18-Jul,15,16,126067.266,81.0,1556.386,M. HAYET PK156
1,1,155640,18-Sep,15,16,192899.342,154.0,1252.5931298701298,M. HAYET PK156
1,2,155640,18-Sep,15,16,186389.612,116.0,1606.807,M. HAYET PK156
2,1,155640,18-Sep,15,16,36450.187,29.0,1256.903,M. HAYET PK156
1,2,155640,18-Oct,15,16,151039.858,94.0,1606.807,M. HAYET PK156
2,2,155640,18-Oct,15,16,27315.719,17.0,1606.807,M. HAYET PK156
2,2,155640,18-Sep,15,16,48204.21,30.0,1606.807,M. HAYET PK156
2,4,155640,18-Nov,15,16,12247.648,7.0,1749.664,M. HAYET PK156
1,6,155640,19-Jun,15,16,79420.107,51.0,1557.257,M. HAYET PK156
1,5,155640,19-Apr,15,16,11965.044,7.0,1709.292,M. HAYET PK156
1,2,155640,19-Feb,15,16,41737.644,26.0,1605.294,M. HAYET PK156
2,2,155640,19-Jun,15,16,147033.92,88.0,1670.8400000000001,M. HAYET PK156
3,5,155640,19-Mar,15,16,9788.496,6.0,1631.416,M. HAYET PK156
1,2,155640,19-Jul,15,16,33416.8,20.0,1670.8400000000001,M. HAYET PK156
1,6,155640,19-Sep,15,16,10885.308,7.0,1555.044,M. HAYET PK156
3,6,155640,19-Nov,15,16,49761.408,32.0,1555.044,M. HAYET PK156
1,2,155640,18-Feb,15,16,153842.464,106.0,1451.344,M. HAYET PK156
3,3,155640,18-May,15,16,97295.134,71.0,1370.354,M. HAYET PK156
2,1,155640,18-Mar,15,16,17278.576,16.0,1079.911,M. HAYET PK156
1,3,155640,18-May,15,16,24666.372,18.0,1370.354,M. HAYET PK156
2,4,155640,18-Jul,15,16,15293.196,9.0,1699.244,M. HAYET PK156
3,2,155640,18-Jul,15,16,7781.93,5.0,1556.386,M. HAYET PK156
3,1,155640,18-Aug,15,16,11905.31,10.0,1190.531,M. HAYET PK156
3,5,155640,18-Nov,15,16,9788.496,6.0,1631.416,M. HAYET PK156
3,1,155640,19-Feb,15,16,7531.86,6.0,1255.31,M. HAYET PK156
2,1,155640,19-Mar,15,16,179509.33,143.0,1255.31,M. HAYET PK156
3,6,155640,19-Mar,15,16,129476.01,87.0,1488.23,M. HAYET PK156
1,6,155640,19-Jul,15,16,9343.542,6.0,1557.2569999999998,M. HAYET PK156
1,2,155640,19-Sep,15,16,61743.343,37.0,1668.739,M. HAYET PK156
2,1,155640,19-Nov,15,16,196984.004,148.0,1330.973,M. HAYET PK156
1,2,155640,19-Nov,15,16,20024.868,12.0,1668.7389999999998,M. HAYET PK156
2,2,155640,19-Dec,15,16,213598.592,128.0,1668.739,M. HAYET PK156
2,1,155640,19-Apr,15,16,190645.598,143.0,1333.186,M. HAYET PK156
3,5,155640,18-Dec,15,16,19576.992,12.0,1631.416,M. HAYET PK156
2,4,155640,19-Jan,15,16,10497.984,6.0,1749.664,M. HAYET PK156
1,3,155640,18-Jul,15,16,54595.588,38.0,1436.726,M. HAYET PK156
2,1,155640,18-Nov,15,16,193563.062,154.0,1256.903,M. HAYET PK156
2,2,155640,18-Jun,15,16,13440.249,9.0,1493.3609999999999,M. HAYET PK156
2,1,155640,19-Aug,15,16,275511.411,207.0,1330.9730000000002,M. HAYET PK156
2,5,155640,19-Oct,15,16,15363.72,9.0,1707.08,M. HAYET PK156
1,2,155640,19-Aug,15,16,58405.865,35.0,1668.739,M. HAYET PK156
1,1,155640,19-Sep,15,16,15971.676,12.0,1330.973,M. HAYET PK156
1,1,155640,19-Oct,15,16,30612.379,23.0,1330.973,M. HAYET PK156
2,4,155640,19-Dec,15,16,10929.072,6.0,1821.512,M. HAYET PK156
3,5,155640,18-Jul,15,16,18939.828,12.0,1578.3190000000002,M. HAYET PK156
2,2,155640,18-Nov,15,16,152646.665,95.0,1606.807,M. HAYET PK156
1,1,155640,18-Jun,15,16,51192.833,43.0,1190.531,M. HAYET PK156
1,2,155640,18-Nov,15,16,25708.912,16.0,1606.807,M. HAYET PK156
2,1,155640,19-Oct,15,16,222272.491,167.0,1330.973,M. HAYET PK156
2,6,155640,19-Sep,15,16,135288.828,87.0,1555.044,M. HAYET PK156
1,1,155640,19-Mar,15,16,87871.7,70.0,1255.31,M. HAYET PK156
2,2,155640,19-Jul,15,16,270457.576,162.0,1669.4912098765433,M. HAYET PK156
1,2,155640,19-Oct,15,16,20024.868,12.0,1668.7389999999998,M. HAYET PK156
1,3,155640,18-Mar,15,16,66305.3,50.0,1326.106,M. HAYET PK156
2,2,155640,18-Apr,15,16,35840.664,24.0,1493.3609999999999,M. HAYET PK156
3,4,155640,18-Sep,15,16,15746.976,9.0,1749.664,M. HAYET PK156
2,1,155640,18-Oct,15,16,47762.314,38.0,1256.903,M. HAYET PK156
3,2,155640,18-Nov,15,16,11247.649,7.0,1606.807,M. HAYET PK156
1,2,155640,19-Jun,15,16,125313.0,75.0,1670.84,M. HAYET PK156
3,6,155640,19-Apr,15,16,90320.906,58.0,1557.257,M. HAYET PK156
2,2,155640,19-Mar,15,16,141265.872,88.0,1605.294,M. HAYET PK156
1,1,155640,19-Jun,15,16,7999.116,6.0,1333.186,M. HAYET PK156
2,4,155640,19-Jul,15,16,18236.13,10.0,1823.613,M. HAYET PK156
2,1,155640,19-Dec,15,16,192991.085,145.0,1330.973,M. HAYET PK156
2,6,155640,19-Dec,15,16,118183.344,76.0,1555.0439999999999,M. HAYET PK156
1,1,155640,19-Nov,15,16,17302.649,13.0,1330.9730000000002,M. HAYET PK156
1,2,155640,18-Jan,15,16,187223.376,129.0,1451.3439999999998,M. HAYET PK156
1,1,155640,18-Feb,15,16,180345.137,167.0,1079.9109999999998,M. HAYET PK156
3,3,155640,18-Mar,15,16,53044.24,40.0,1326.106,M. HAYET PK156
1,1,155640,18-Dec,15,16,43991.605,35.0,1256.903,M. HAYET PK156
3,3,155640,18-Oct,15,16,52143.805,35.0,1489.823,M. HAYET PK156
2,4,155640,18-Dec,15,16,15746.976,9.0,1749.664,M. HAYET PK156
1,4,155640,19-Sep,15,16,23679.656,13.0,1821.512,M. HAYET PK156
2,5,155640,19-May,15,16,17092.92,10.0,1709.292,M. HAYET PK156
2,6,155640,19-Aug,15,16,191270.412,123.0,1555.044,M. HAYET PK156
2,1,155640,19-Jul,15,16,278394.657,209.0,1332.031851674641,M. HAYET PK156
1,1,155640,19-Dec,15,16,37267.244,28.0,1330.973,M. HAYET PK156
1,3,155640,18-Jan,15,16,58348.664,44.0,1326.106,M. HAYET PK156
3,3,155640,18-Jan,15,16,70283.618,53.0,1326.106,M. HAYET PK156
1,1,155640,18-Mar,15,16,187904.514,174.0,1079.911,M. HAYET PK156
1,3,155640,18-Apr,15,16,9592.478,7.0,1370.3539999999998,M. HAYET PK156
1,2,155640,18-Dec,15,16,104442.455,65.0,1606.807,M. HAYET PK156
1,2,155640,18-Jun,15,16,51360.738,33.0,1556.386,M. HAYET PK156
1,2,155640,19-Apr,15,16,65162.76,39.0,1670.8400000000001,M. HAYET PK156
2,1,155640,19-Sep,15,16,238244.167,179.0,1330.973,M. HAYET PK156
2,3,155640,19-Apr,15,16,26473.369,17.0,1557.2569999999998,M. HAYET PK156
1,6,155640,19-Dec,15,16,23325.66,15.0,1555.044,M. HAYET PK156
2,4,155640,19-Nov,15,16,12750.584,7.0,1821.5120000000002,M. HAYET PK156
2,1,155640,18-Jan,15,16,29157.597,27.0,1079.911,M. HAYET PK156
3,3,155640,19-Feb,15,16,125011.32,84.0,1488.23,M. HAYET PK156
3,1,155640,18-Oct,15,16,35193.284,28.0,1256.903,M. HAYET PK156
1,1,155640,18-Nov,15,16,12569.03,10.0,1256.903,M. HAYET PK156
1,4,155640,19-Apr,15,16,12765.291,7.0,1823.6129999999998,M. HAYET PK156
1,6,155640,19-May,15,16,9343.542,6.0,1557.2569999999998,M. HAYET PK156
1,1,155640,19-Feb,15,16,69042.05,55.0,1255.31,M. HAYET PK156
2,4,155640,19-May,15,16,10941.678,6.0,1823.613,M. HAYET PK156
2,4,155640,19-Jun,15,16,10941.678,6.0,1823.613,M. HAYET PK156
2,6,155640,19-Nov,15,16,66866.892,43.0,1555.044,M. HAYET PK156
1,2,155640,18-May,15,16,170243.154,114.0,1493.361,M. HAYET PK156
1,2,155640,19-Jan,15,16,56185.29,35.0,1605.294,M. HAYET PK156
3,3,155640,18-Jul,15,16,97697.368,68.0,1436.726,M. HAYET PK156
2,6,155640,19-Oct,15,16,111963.168,72.0,1555.044,M. HAYET PK156
1,3,155640,18-Feb,15,16,72935.83,55.0,1326.106,M. HAYET PK156
2,1,155640,18-Dec,15,16,203516.334,162.0,1256.2736666666667,M. HAYET PK156
1,1,155640,18-Jul,15,16,126196.286,106.0,1190.531,M. HAYET PK156
1,1,155640,18-Aug,15,16,138101.596,116.0,1190.531,M. HAYET PK156
1,3,155640,18-Aug,15,16,91950.464,64.0,1436.726,M. HAYET PK156
1,1,155640,18-Jun,15,16,91056.879,81.0,1124.159,M. HAYET PK156
1,3,155640,18-Jun,15,16,30147.788,22.0,1370.354,M. HAYET PK156
3,2,155640,18-Oct,15,16,9640.842,6.0,1606.807,M. HAYET PK156
2,2,155640,19-Oct,15,16,211929.853,127.0,1668.739,M. HAYET PK156
2,1,155640,19-May,15,16,218642.504,164.0,1333.186,M. HAYET PK156
2,6,155640,19-Jul,15,16,152476.193,98.0,1555.8795204081632,M. HAYET PK156
1,6,155640,19-Aug,15,16,10885.308,7.0,1555.044,M. HAYET PK156
2,5,155640,19-Dec,15,16,10242.48,6.0,1707.08,M. HAYET PK156
2,2,155640,18-Feb,15,16,23221.504,16.0,1451.344,M. HAYET PK156
2,2,155640,18-Jan,15,16,17416.128,12.0,1451.344,M. HAYET PK156
2,1,155640,18-Apr,15,16,35973.088,32.0,1124.159,M. HAYET PK156
1,3,155640,18-Dec,15,16,55113.893,37.0,1489.5646756756755,M. HAYET PK156
2,2,155640,19-Jan,15,16,150897.636,94.0,1605.294,M. HAYET PK156
2,1,155640,19-Feb,15,16,134318.17,107.0,1255.3100000000002,M. HAYET PK156
1,2,155640,18-Aug,15,16,239683.444,154.0,1556.386,M. HAYET PK156
3,2,155640,18-Aug,15,16,18676.632,12.0,1556.3860000000002,M. HAYET PK156
1,1,155640,18-Oct,15,16,150828.36,120.0,1256.9029999999998,M. HAYET PK156
3,3,155640,18-Jun,15,16,41110.62,30.0,1370.354,M. HAYET PK156
1,1,155640,19-Apr,15,16,66659.3,50.0,1333.1860000000001,M. HAYET PK156
2,2,155640,19-May,15,16,162071.48,97.0,1670.8400000000001,M. HAYET PK156
1,1,155640,18-May,15,16,218086.846,194.0,1124.1589999999999,M. HAYET PK156
1,1,155640,18-Apr,15,16,164127.214,146.0,1124.159,M. HAYET PK156
3,3,155640,19-Jan,15,16,116081.94,78.0,1488.23,M. HAYET PK156
3,5,155640,18-Aug,15,16,18939.828,12.0,1578.3190000000002,M. HAYET PK156
2,1,155640,18-Aug,15,16,108338.321,91.0,1190.531,M. HAYET PK156
3,1,155640,18-Sep,15,16,26394.963,21.0,1256.903,M. HAYET PK156
3,4,155640,18-Dec,15,16,15746.976,9.0,1749.664,M. HAYET PK156
1,3,155640,19-Jan,15,16,14882.3,10.0,1488.23,M. HAYET PK156
2,2,155640,19-Sep,15,16,165205.161,99.0,1668.739,M. HAYET PK156
2,4,155640,19-Mar,15,16,17496.64,10.0,1749.664,M. HAYET PK156
2,4,155640,19-Oct,15,16,12750.584,7.0,1821.5120000000002,M. HAYET PK156
3,6,155640,19-Oct,15,16,9330.264,6.0,1555.0439999999999,M. HAYET PK156
1,1,155640,18-Jan,15,16,190064.336,176.0,1079.911,M. HAYET PK156
3,3,155640,18-Feb,15,16,35804.862,27.0,1326.106,M. HAYET PK156
3,2,155640,18-Apr,15,16,19413.693,13.0,1493.3609999999999,M. HAYET PK156
1,3,155640,18-Nov,15,16,7449.115,5.0,1489.8229999999999,M. HAYET PK156
3,3,155640,18-Nov,15,16,119185.84,80.0,1489.8229999999999,M. HAYET PK156
2,2,155640,19-Feb,15,16,158924.106,99.0,1605.294,M. HAYET PK156
2,2,155640,18-Jul,15,16,112059.792,72.0,1556.386,M. HAYET PK156
2,2,155640,18-Aug,15,16,87157.616,56.0,1556.386,M. HAYET PK156
2,4,155640,18-Aug,15,16,15293.196,9.0,1699.244,M. HAYET PK156
3,3,155640,18-Sep,15,16,99818.141,67.0,1489.823,M. HAYET PK156
1,3,155640,18-Oct,15,16,67042.035,45.0,1489.823,M. HAYET PK156
3,1,155640,18-Nov,15,16,21367.351,17.0,1256.903,M. HAYET PK156
2,2,155640,19-Apr,15,16,163742.32,98.0,1670.8400000000001,M. HAYET PK156
1,2,155640,19-Mar,15,16,101133.522,63.0,1605.2939999999999,M. HAYET PK156
2,3,155640,19-May,15,16,82534.621,53.0,1557.257,M. HAYET PK156
2,2,155640,19-Aug,15,16,292029.325,175.0,1668.739,M. HAYET PK156
1,6,155640,19-Oct,15,16,10885.308,7.0,1555.044,M. HAYET PK156
