NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
2,2,154110,18-May,4,2,77654.772,52.0,1493.3609999999999,M. SALEM
1,2,154110,18-Jul,4,2,15563.86,10.0,1556.386,M. SALEM
2,2,154110,18-Sep,4,2,102583.543,64.0,1602.867859375,M. SALEM
2,1,154110,18-Sep,4,2,145800.748,116.0,1256.903,M. SALEM
1,1,154110,18-Sep,4,2,15082.836,12.0,1256.903,M. SALEM
1,2,154110,18-Sep,4,2,9640.842,6.0,1606.807,M. SALEM
1,1,154110,18-Oct,4,2,23881.157,19.0,1256.903,M. SALEM
2,1,154110,19-Apr,4,2,286634.99,215.0,1333.186,M. SALEM
2,3,154110,19-Apr,4,2,38931.425,25.0,1557.257,M. SALEM
1,2,154110,18-Apr,4,2,37334.025,25.0,1493.361,M. SALEM
3,3,154110,18-Sep,4,2,31286.283,21.0,1489.8229999999999,M. SALEM
3,1,154110,18-Jun,4,2,25855.657,23.0,1124.1589999999999,M. SALEM
1,1,154110,18-Jun,4,2,34848.929,31.0,1124.1589999999999,M. SALEM
2,2,154110,19-May,4,2,125313.0,75.0,1670.84,M. SALEM
2,6,154110,19-Jun,4,2,38931.425,25.0,1557.257,M. SALEM
2,1,154110,19-Oct,4,2,242237.086,182.0,1330.973,M. SALEM
2,1,154110,19-Aug,4,2,264863.627,199.0,1330.973,M. SALEM
2,2,154110,19-Jul,4,2,225414.229,135.0,1669.7350296296295,M. SALEM
2,1,154110,18-Jan,4,2,170625.938,158.0,1079.911,M. SALEM
1,1,154110,18-Apr,4,2,56207.95,50.0,1124.1589999999999,M. SALEM
1,1,154110,18-Aug,4,2,42859.116,36.0,1190.531,M. SALEM
3,3,154110,18-Jun,4,2,30944.252,22.0,1406.5569090909091,M. SALEM
3,2,154110,18-Sep,4,2,24102.105,15.0,1606.807,M. SALEM
3,2,154110,18-Nov,4,2,9640.842,6.0,1606.807,M. SALEM
2,1,154110,19-Feb,4,2,204615.53,163.0,1255.31,M. SALEM
2,1,154110,19-Jun,4,2,251972.154,189.0,1333.1860000000001,M. SALEM
2,2,154110,19-Apr,4,2,111946.28,67.0,1670.84,M. SALEM
2,1,154110,19-Sep,4,2,236913.194,178.0,1330.973,M. SALEM
3,2,154110,19-Jun,4,2,10025.04,6.0,1670.8400000000001,M. SALEM
2,6,154110,19-Jul,4,2,40459.913,26.0,1556.1505,M. SALEM
2,6,154110,19-Sep,4,2,37321.056,24.0,1555.0439999999999,M. SALEM
3,3,154110,18-Mar,4,2,33152.65,25.0,1326.106,M. SALEM
2,6,154110,19-Oct,4,2,32655.924,21.0,1555.0439999999999,M. SALEM
3,6,154110,19-Mar,4,2,16370.53,11.0,1488.23,M. SALEM
2,2,154110,19-Nov,4,2,110136.774,66.0,1668.739,M. SALEM
3,3,154110,18-Apr,4,2,19184.956,14.0,1370.3539999999998,M. SALEM
1,2,154110,19-Jan,4,2,28895.292,18.0,1605.294,M. SALEM
2,1,154110,19-Jan,4,2,153147.82,122.0,1255.31,M. SALEM
1,3,154110,18-Oct,4,2,8938.938,6.0,1489.823,M. SALEM
1,2,154110,19-Feb,4,2,11237.058,7.0,1605.294,M. SALEM
3,6,154110,19-Apr,4,2,4671.771,3.0,1557.2569999999998,M. SALEM
2,2,154110,18-Feb,4,2,27575.536,19.0,1451.344,M. SALEM
2,1,154110,18-Mar,4,2,213822.378,198.0,1079.911,M. SALEM
3,1,154110,18-Feb,4,2,7559.377,7.0,1079.911,M. SALEM
2,1,154110,18-Dec,4,2,185926.064,148.0,1256.2571891891894,M. SALEM
3,3,154110,19-Jan,4,2,29764.6,20.0,1488.23,M. SALEM
3,1,154110,19-Jan,4,2,43935.85,35.0,1255.31,M. SALEM
1,2,154110,18-Aug,4,2,101165.09,65.0,1556.386,M. SALEM
1,1,154110,19-Feb,4,2,32638.06,26.0,1255.31,M. SALEM
2,2,154110,19-Oct,4,2,120149.208,72.0,1668.739,M. SALEM
3,3,154110,18-Feb,4,2,9282.742,7.0,1326.106,M. SALEM
3,3,154110,18-Jan,4,2,17239.378,13.0,1326.106,M. SALEM
1,3,154110,18-Feb,4,2,11934.954,9.0,1326.106,M. SALEM
1,1,154110,18-Mar,4,2,12958.932,12.0,1079.911,M. SALEM
3,2,154110,18-May,4,2,20907.054,14.0,1493.361,M. SALEM
2,2,154110,18-Dec,4,2,94771.353,59.0,1606.2941186440678,M. SALEM
2,2,154110,19-Feb,4,2,75448.818,47.0,1605.294,M. SALEM
2,1,154110,19-Mar,4,2,196840.748,156.0,1261.7996666666666,M. SALEM
1,2,154110,19-Mar,4,2,51369.408,32.0,1605.294,M. SALEM
2,2,154110,19-Feb,4,9,11237.058,7.0,1605.294,M. SALEM
1,2,154110,19-Sep,4,2,15018.651,9.0,1668.739,M. SALEM
3,1,154110,18-May,4,2,44966.36,40.0,1124.159,M. SALEM
1,1,154110,19-Jan,4,2,27616.82,22.0,1255.31,M. SALEM
3,1,154110,18-Dec,4,2,10055.224,8.0,1256.903,M. SALEM
2,1,154110,18-Jul,4,2,197628.146,166.0,1190.531,M. SALEM
2,1,154110,18-Dec,4,9,8798.321,7.0,1256.903,M. SALEM
3,3,154110,18-Jul,4,2,41665.054,29.0,1436.7259999999999,M. SALEM
2,3,154110,19-May,4,2,40488.682,26.0,1557.257,M. SALEM
1,1,154110,19-Mar,4,2,71552.67,57.0,1255.31,M. SALEM
2,6,154110,19-Aug,4,2,57536.628,37.0,1555.0439999999999,M. SALEM
2,1,154110,18-Feb,4,2,60475.016,56.0,1079.911,M. SALEM
2,1,154110,18-Apr,4,2,197851.984,176.0,1124.1589999999999,M. SALEM
1,2,154110,18-May,4,2,8960.166,6.0,1493.3609999999999,M. SALEM
1,1,154110,18-May,4,2,12365.749,11.0,1124.1589999999999,M. SALEM
3,3,154110,18-Dec,4,2,31276.725,21.0,1489.367857142857,M. SALEM
2,2,154110,18-Aug,4,2,146300.284,94.0,1556.3860000000002,M. SALEM
1,3,154110,18-Aug,4,2,31607.972,22.0,1436.726,M. SALEM
3,2,154110,18-Jun,4,2,7466.805,5.0,1493.361,M. SALEM
2,6,154110,19-Nov,4,2,23325.66,15.0,1555.044,M. SALEM
2,1,154110,18-May,4,2,151761.465,135.0,1124.1589999999999,M. SALEM
2,2,154110,19-Aug,4,2,288691.847,173.0,1668.739,M. SALEM
1,6,154110,19-Mar,4,2,8929.38,6.0,1488.2299999999998,M. SALEM
2,1,154110,19-Dec,4,2,262201.681,197.0,1330.973,M. SALEM
2,2,154110,18-Mar,4,2,88531.984,61.0,1451.344,M. SALEM
3,3,154110,18-May,4,2,34258.85,25.0,1370.354,M. SALEM
2,2,154110,18-Jul,4,2,191435.478,123.0,1556.386,M. SALEM
1,2,154110,18-Dec,4,2,6427.228,4.0,1606.807,M. SALEM
3,2,154110,18-Dec,4,2,9640.842,6.0,1606.807,M. SALEM
3,3,154110,19-Feb,4,2,23811.68,16.0,1488.23,M. SALEM
2,2,154110,19-Mar,4,2,61459.994,38.0,1617.3682631578947,M. SALEM
1,2,154110,19-Jun,4,2,11695.88,7.0,1670.84,M. SALEM
1,3,154110,18-Dec,4,2,4469.469,3.0,1489.823,M. SALEM
3,3,154110,18-Nov,4,2,23837.168,16.0,1489.823,M. SALEM
3,1,154110,18-Nov,4,2,23881.157,19.0,1256.903,M. SALEM
3,2,154110,19-Jan,4,2,20868.822,13.0,1605.294,M. SALEM
2,1,154110,19-May,4,2,269303.572,202.0,1333.186,M. SALEM
2,2,154110,19-May,4,9,10025.04,6.0,1670.8400000000001,M. SALEM
2,1,154110,19-Nov,4,2,224934.437,169.0,1330.973,M. SALEM
2,2,154110,19-Dec,4,2,121817.947,73.0,1668.739,M. SALEM
3,6,154110,19-Nov,4,2,7775.22,5.0,1555.044,M. SALEM
2,2,154110,18-Jan,4,2,87080.64,60.0,1451.344,M. SALEM
3,2,154110,18-Jan,4,2,7256.72,5.0,1451.344,M. SALEM
1,1,154110,18-Dec,4,2,42734.702,34.0,1256.903,M. SALEM
2,1,154110,18-Aug,4,2,203580.801,171.0,1190.531,M. SALEM
3,1,154110,18-Oct,4,2,38963.993,31.0,1256.903,M. SALEM
3,2,154110,18-Oct,4,2,9640.842,6.0,1606.807,M. SALEM
2,2,154110,19-Sep,4,2,131830.381,79.0,1668.739,M. SALEM
2,6,154110,19-Dec,4,2,45096.276,29.0,1555.0439999999999,M. SALEM
2,2,154110,18-Apr,4,2,91095.021,61.0,1493.3609999999999,M. SALEM
2,1,154110,18-Nov,4,2,198590.674,158.0,1256.903,M. SALEM
3,3,154110,18-Aug,4,2,31607.972,22.0,1436.726,M. SALEM
1,2,154110,18-Oct,4,2,11247.649,7.0,1606.807,M. SALEM
2,1,154110,19-Jul,4,2,234474.761,176.0,1332.2429602272728,M. SALEM
3,1,154110,19-Jul,4,2,21295.568,16.0,1330.973,M. SALEM
2,2,154110,19-Jan,4,2,54579.996,34.0,1605.2939999999999,M. SALEM
1,1,154110,18-Jul,4,2,14286.372,12.0,1190.531,M. SALEM
2,2,154110,18-Jun,4,2,110969.128,73.0,1520.1250410958903,M. SALEM
3,1,154110,18-Sep,4,2,38963.993,31.0,1256.903,M. SALEM
2,2,154110,18-Oct,4,2,98015.227,61.0,1606.807,M. SALEM
2,2,154110,19-Jun,4,2,130325.52,78.0,1670.8400000000001,M. SALEM
2,1,154110,18-Feb,4,2,106911.189,99.0,1079.911,M. SALEM
2,2,154110,18-Feb,4,2,49345.696,34.0,1451.344,M. SALEM
2,2,154110,18-Nov,4,2,99622.034,62.0,1606.807,M. SALEM
2,1,154110,18-Jun,4,2,162555.111,141.0,1152.8731276595745,M. SALEM
3,3,154110,18-Oct,4,2,20857.522,14.0,1489.823,M. SALEM
2,1,154110,18-Oct,4,2,152085.263,121.0,1256.903,M. SALEM
1,2,154110,18-Jun,4,2,20907.054,14.0,1493.361,M. SALEM
1,3,154110,19-Feb,4,2,17858.76,12.0,1488.2299999999998,M. SALEM
