NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
3,3,154520,18-Apr,4,11,69888.054,51.0,1370.354,M. TEMIME
2,1,154520,18-Apr,4,11,346240.972,308.0,1124.159,M. TEMIME
2,1,154520,18-Aug,4,11,439305.939,369.0,1190.531,M. TEMIME
2,1,154520,18-Sep,4,11,331751.855,265.0,1251.8937924528302,M. TEMIME
2,6,154520,19-Oct,4,11,83972.376,54.0,1555.044,M. TEMIME
3,2,154520,19-Mar,4,11,9631.764,6.0,1605.2939999999999,M. TEMIME
3,1,154520,19-Aug,4,11,41260.163,31.0,1330.973,M. TEMIME
2,6,154520,19-Dec,4,11,85527.42,55.0,1555.0439999999999,M. TEMIME
3,1,154520,18-Feb,4,11,10799.11,10.0,1079.911,M. TEMIME
3,1,154520,18-Apr,4,11,3372.477,3.0,1124.1589999999999,M. TEMIME
1,1,154520,18-Apr,4,11,64077.063,57.0,1124.159,M. TEMIME
1,2,154520,18-Apr,4,11,7466.805,5.0,1493.361,M. TEMIME
1,3,154520,18-Aug,4,11,34481.424,24.0,1436.7259999999999,M. TEMIME
2,2,154520,18-Jun,4,11,215397.587,142.0,1516.8844154929577,M. TEMIME
3,3,154520,18-Jun,4,11,74729.208,54.0,1383.8742222222222,M. TEMIME
2,2,154520,18-Oct,4,11,155860.279,97.0,1606.807,M. TEMIME
2,1,154520,18-Nov,4,11,262692.727,209.0,1256.903,M. TEMIME
1,1,154520,19-Feb,4,11,22595.58,18.0,1255.3100000000002,M. TEMIME
2,2,154520,19-May,4,11,217209.2,130.0,1670.8400000000001,M. TEMIME
2,1,154520,19-Jun,4,11,329296.942,247.0,1333.186,M. TEMIME
2,2,154520,18-Jan,4,11,164001.872,113.0,1451.344,M. TEMIME
1,1,154520,18-Feb,4,11,38876.796,36.0,1079.911,M. TEMIME
2,1,154520,18-May,4,11,284412.227,253.0,1124.159,M. TEMIME
3,1,154520,18-Dec,4,11,43958.152,35.0,1255.9472,M. TEMIME
2,1,154520,18-Jun,4,11,304605.707,265.0,1149.4554981132076,M. TEMIME
3,2,154520,18-Nov,4,11,27315.719,17.0,1606.807,M. TEMIME
1,1,154520,18-Dec,4,11,15082.836,12.0,1256.903,M. TEMIME
1,1,154520,19-May,4,11,6665.93,5.0,1333.1860000000001,M. TEMIME
2,1,154520,19-Aug,4,11,423249.414,318.0,1330.973,M. TEMIME
2,1,154520,19-Nov,4,11,342060.061,257.0,1330.973,M. TEMIME
3,1,154520,18-Mar,4,11,6479.466,6.0,1079.911,M. TEMIME
2,2,154520,18-May,4,11,179203.32,120.0,1493.361,M. TEMIME
2,3,154520,19-May,4,11,80977.364,52.0,1557.257,M. TEMIME
2,3,154520,19-Apr,4,11,74748.336,48.0,1557.2569999999998,M. TEMIME
2,1,154520,19-Mar,4,11,273657.58,218.0,1255.3100000000002,M. TEMIME
1,6,154520,19-Jul,4,11,6229.028,4.0,1557.257,M. TEMIME
2,1,154520,18-Jul,4,11,415495.319,349.0,1190.531,M. TEMIME
1,2,154520,18-Aug,4,11,105834.248,68.0,1556.3860000000002,M. TEMIME
3,2,154520,18-Sep,4,11,54631.438,34.0,1606.807,M. TEMIME
2,1,154520,18-Oct,4,11,163397.39,130.0,1256.903,M. TEMIME
2,1,154520,19-Apr,4,11,331963.314,249.0,1333.1860000000001,M. TEMIME
2,1,154520,19-Jul,4,11,365009.7,274.0,1332.152189781022,M. TEMIME
2,2,154520,19-Jul,4,11,384005.363,230.0,1669.5885347826088,M. TEMIME
1,2,154520,18-Feb,4,11,17416.128,12.0,1451.344,M. TEMIME
2,2,154520,18-Apr,4,11,201603.735,135.0,1493.3609999999999,M. TEMIME
1,2,154520,19-Jan,4,11,43342.938,27.0,1605.294,M. TEMIME
1,3,154520,19-Jan,4,11,5952.92,4.0,1488.23,M. TEMIME
1,1,154520,18-Jul,4,11,11905.31,10.0,1190.531,M. TEMIME
3,1,154520,18-Aug,4,11,23810.62,20.0,1190.531,M. TEMIME
2,2,154520,18-Sep,4,11,200245.823,125.0,1601.966584,M. TEMIME
3,3,154520,18-Oct,4,11,49164.159,33.0,1489.823,M. TEMIME
3,2,154520,18-Jun,4,11,46294.191,31.0,1493.3609999999999,M. TEMIME
2,1,154520,19-May,4,11,235973.922,177.0,1333.186,M. TEMIME
2,1,154520,19-Oct,4,11,419256.495,315.0,1330.973,M. TEMIME
2,1,154520,19-Sep,4,11,428573.306,322.0,1330.973,M. TEMIME
2,6,154520,19-Sep,4,11,96412.728,62.0,1555.044,M. TEMIME
2,6,154520,19-Nov,4,11,79307.244,51.0,1555.044,M. TEMIME
1,1,154520,18-Mar,4,11,36716.974,34.0,1079.911,M. TEMIME
2,1,154520,19-Feb,4,11,571166.05,455.0,1255.3100000000002,M. TEMIME
3,1,154520,18-Jul,4,11,25001.151,21.0,1190.5310000000002,M. TEMIME
2,6,154520,19-Jun,4,11,85649.135,55.0,1557.2569999999998,M. TEMIME
2,2,154520,19-Apr,4,11,232246.76,139.0,1670.8400000000001,M. TEMIME
2,1,154520,18-Mar,4,11,315334.012,292.0,1079.911,M. TEMIME
3,3,154520,18-May,4,11,83591.594,61.0,1370.354,M. TEMIME
1,2,154520,18-Dec,4,11,11247.649,7.0,1606.807,M. TEMIME
3,1,154520,19-Jan,4,11,69042.05,55.0,1255.31,M. TEMIME
1,3,154520,19-Feb,4,11,10417.61,7.0,1488.23,M. TEMIME
2,2,154520,19-Aug,4,11,438878.357,263.0,1668.739,M. TEMIME
2,2,154520,19-Sep,4,11,225279.765,135.0,1668.739,M. TEMIME
3,1,154520,19-Jul,4,11,22626.541,17.0,1330.973,M. TEMIME
2,2,154520,19-Nov,4,11,220273.548,132.0,1668.739,M. TEMIME
2,1,154520,19-Dec,4,11,371341.467,279.0,1330.973,M. TEMIME
3,1,154520,18-Jan,4,11,6479.466,6.0,1079.911,M. TEMIME
2,1,154520,18-Feb,4,11,182504.959,169.0,1079.911,M. TEMIME
2,2,154520,18-Feb,4,11,82726.608,57.0,1451.3439999999998,M. TEMIME
2,2,154520,18-Mar,4,11,187223.376,129.0,1451.3439999999998,M. TEMIME
2,2,154520,18-Jul,4,11,350186.85,225.0,1556.386,M. TEMIME
3,3,154520,18-Jul,4,11,120684.984,84.0,1436.7259999999999,M. TEMIME
1,2,154520,18-Jul,4,11,10894.702,7.0,1556.386,M. TEMIME
1,1,154520,18-Oct,4,11,7541.418,6.0,1256.903,M. TEMIME
3,6,154520,19-Apr,4,11,7786.285,5.0,1557.257,M. TEMIME
2,6,154520,19-May,4,11,4671.771,3.0,1557.2569999999998,M. TEMIME
3,2,154520,19-Aug,4,11,31706.041,19.0,1668.739,M. TEMIME
1,2,154520,19-Sep,4,11,50062.17,30.0,1668.739,M. TEMIME
3,6,154520,19-Nov,4,11,4665.132,3.0,1555.0439999999999,M. TEMIME
3,1,154520,18-Feb,4,11,6479.466,6.0,1079.911,M. TEMIME
3,2,154520,18-Feb,4,11,10159.408,7.0,1451.3439999999998,M. TEMIME
3,1,154520,18-May,4,11,92181.038,82.0,1124.159,M. TEMIME
3,3,154520,18-Dec,4,11,72974.246,49.0,1489.2703265306122,M. TEMIME
3,3,154520,19-Feb,4,11,63993.89,43.0,1488.23,M. TEMIME
2,6,154520,19-Aug,4,11,144619.092,93.0,1555.044,M. TEMIME
2,1,154520,18-Feb,4,11,123109.854,114.0,1079.911,M. TEMIME
3,2,154520,18-Jan,4,11,8708.064,6.0,1451.344,M. TEMIME
3,2,154520,18-Dec,4,11,59436.729,37.0,1606.398081081081,M. TEMIME
1,1,154520,19-Jan,4,11,15063.72,12.0,1255.31,M. TEMIME
3,2,154520,19-Jan,4,11,36921.762,23.0,1605.294,M. TEMIME
3,3,154520,18-Nov,4,11,71511.504,48.0,1489.823,M. TEMIME
3,1,154520,18-Oct,4,11,101809.143,81.0,1256.903,M. TEMIME
3,2,154520,18-Oct,4,11,59451.859,37.0,1606.807,M. TEMIME
2,2,154520,19-Feb,4,11,158924.106,99.0,1605.294,M. TEMIME
1,2,154520,19-Jun,4,11,50125.2,30.0,1670.84,M. TEMIME
3,3,154520,18-Feb,4,11,17239.378,13.0,1326.106,M. TEMIME
3,2,154520,18-May,4,11,41814.108,28.0,1493.361,M. TEMIME
2,2,154520,19-Mar,4,11,122002.344,76.0,1605.2939999999999,M. TEMIME
3,3,154520,18-Jan,4,11,58348.664,44.0,1326.106,M. TEMIME
2,1,154520,19-Jan,4,11,482039.04,384.0,1255.31,M. TEMIME
3,2,154520,18-Jul,4,11,10894.702,7.0,1556.386,M. TEMIME
3,1,154520,18-Sep,4,11,137002.427,109.0,1256.903,M. TEMIME
3,3,154520,18-Sep,4,11,84919.911,57.0,1489.8229999999999,M. TEMIME
3,1,154520,18-Nov,4,11,33936.381,27.0,1256.903,M. TEMIME
1,6,154520,19-Jun,4,11,14015.313,9.0,1557.257,M. TEMIME
3,2,154520,19-May,4,11,23391.76,14.0,1670.84,M. TEMIME
3,6,154520,19-Mar,4,11,68458.58,46.0,1488.23,M. TEMIME
1,6,154520,19-Mar,4,11,5952.92,4.0,1488.23,M. TEMIME
1,2,154520,19-Feb,4,11,8026.47,5.0,1605.294,M. TEMIME
2,6,154520,19-Jul,4,11,115139.646,74.0,1555.941162162162,M. TEMIME
2,1,154520,18-Dec,4,11,277640.158,221.0,1256.2903076923076,M. TEMIME
2,2,154520,18-Dec,4,11,162230.013,101.0,1606.2377524752476,M. TEMIME
2,2,154520,19-Jan,4,11,120397.05,75.0,1605.294,M. TEMIME
1,3,154520,18-Oct,4,11,16388.053,11.0,1489.823,M. TEMIME
2,2,154520,19-Jun,4,11,238930.12,143.0,1670.84,M. TEMIME
2,2,154520,19-Oct,4,11,248642.111,149.0,1668.739,M. TEMIME
1,1,154520,19-Mar,4,11,17574.34,14.0,1255.31,M. TEMIME
1,2,154520,19-Jul,4,11,25062.6,15.0,1670.84,M. TEMIME
2,1,154520,18-Jan,4,11,360690.274,334.0,1079.9109999999998,M. TEMIME
2,2,154520,18-Feb,4,11,47894.352,33.0,1451.344,M. TEMIME
3,3,154520,18-Aug,4,11,84766.834,59.0,1436.726,M. TEMIME
3,3,154520,18-Mar,4,11,71609.724,54.0,1326.106,M. TEMIME
2,2,154520,18-Aug,4,11,281705.866,181.0,1556.386,M. TEMIME
3,2,154520,19-Feb,4,11,33711.174,21.0,1605.2939999999999,M. TEMIME
1,2,154520,19-Mar,4,11,73843.524,46.0,1605.294,M. TEMIME
2,2,154520,19-Dec,4,11,223611.026,134.0,1668.739,M. TEMIME
1,3,154520,18-Feb,4,11,34478.756,26.0,1326.106,M. TEMIME
3,3,154520,19-Jan,4,11,68458.58,46.0,1488.23,M. TEMIME
3,1,154520,18-Jun,4,11,59845.915,53.0,1129.16820754717,M. TEMIME
2,2,154520,18-Nov,4,11,178355.577,111.0,1606.807,M. TEMIME
3,1,154520,19-Feb,4,11,35148.68,28.0,1255.31,M. TEMIME
