NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,3,155140,18-Feb,4,36,33152.65,25.0,1326.106,NABEUL
3,3,155140,18-May,4,36,95924.78,70.0,1370.354,NABEUL
3,5,155140,18-Jul,4,36,6313.276,4.0,1578.319,NABEUL
2,1,155140,18-Jun,4,36,126710.602,110.0,1151.9145636363637,NABEUL
1,2,155140,19-Feb,4,36,16052.94,10.0,1605.294,NABEUL
2,4,155140,19-Feb,4,36,5248.992,3.0,1749.664,NABEUL
2,4,155140,19-Apr,4,36,5470.839,3.0,1823.613,NABEUL
3,6,155140,19-Mar,4,36,105664.33,71.0,1488.23,NABEUL
2,5,155140,19-Nov,4,36,5121.24,3.0,1707.08,NABEUL
3,3,155140,18-Nov,4,36,83430.088,56.0,1489.823,NABEUL
3,3,155140,19-Feb,4,36,101199.64,68.0,1488.23,NABEUL
3,6,155140,19-Apr,4,36,31145.14,20.0,1557.257,NABEUL
2,1,155140,19-Nov,4,36,183674.274,138.0,1330.973,NABEUL
2,2,155140,18-Apr,4,36,168749.793,113.0,1493.361,NABEUL
1,2,155140,18-Aug,4,36,18676.632,12.0,1556.3860000000002,NABEUL
2,1,155140,18-Oct,4,36,164654.293,131.0,1256.903,NABEUL
3,2,155140,18-Nov,4,36,9640.842,6.0,1606.807,NABEUL
3,5,155140,19-Jan,4,36,6525.664,4.0,1631.416,NABEUL
2,6,155140,19-Jun,4,36,94992.677,61.0,1557.2569999999998,NABEUL
2,1,155140,19-Apr,4,36,230641.178,173.0,1333.1860000000001,NABEUL
3,1,155140,19-Jan,4,36,5021.24,4.0,1255.31,NABEUL
3,5,155140,18-Nov,4,36,6525.664,4.0,1631.416,NABEUL
1,2,155140,19-Mar,4,36,102738.816,64.0,1605.294,NABEUL
2,5,155140,19-Sep,4,36,5121.24,3.0,1707.08,NABEUL
2,6,155140,19-Nov,4,36,69976.98,45.0,1555.0439999999999,NABEUL
2,2,155140,18-Feb,4,36,37734.944,26.0,1451.344,NABEUL
1,1,155140,18-Apr,4,36,42718.042,38.0,1124.159,NABEUL
3,3,155140,18-Jun,4,36,84852.662,61.0,1391.0272459016394,NABEUL
1,1,155140,18-Jun,4,36,53959.632,48.0,1124.1589999999999,NABEUL
2,2,155140,18-Oct,4,36,159073.893,99.0,1606.807,NABEUL
2,1,155140,18-Nov,4,36,149571.457,119.0,1256.903,NABEUL
1,2,155140,18-Jun,4,36,71681.328,48.0,1493.3609999999999,NABEUL
2,1,155140,19-Jun,4,36,179980.11,135.0,1333.186,NABEUL
2,4,155140,19-Jul,4,36,5464.536,3.0,1821.512,NABEUL
2,4,155140,19-Nov,4,36,5464.536,3.0,1821.512,NABEUL
1,1,155140,18-Jan,4,36,19438.398,18.0,1079.911,NABEUL
1,2,155140,18-Jan,4,36,40637.632,28.0,1451.3439999999998,NABEUL
1,3,155140,18-Dec,4,36,17877.876,12.0,1489.823,NABEUL
1,2,155140,19-Jan,4,36,86685.876,54.0,1605.294,NABEUL
2,1,155140,18-Jul,4,36,144054.251,121.0,1190.531,NABEUL
2,1,155140,18-Sep,4,36,169681.905,135.0,1256.903,NABEUL
2,4,155140,18-Nov,4,36,5248.992,3.0,1749.664,NABEUL
3,5,155140,19-Apr,4,36,6837.168,4.0,1709.292,NABEUL
2,6,155140,19-Aug,4,36,116628.3,75.0,1555.044,NABEUL
1,2,155140,19-Aug,4,36,20024.868,12.0,1668.7389999999998,NABEUL
2,1,155140,18-Mar,4,36,164146.472,152.0,1079.911,NABEUL
2,2,155140,18-Aug,4,36,172758.846,111.0,1556.386,NABEUL
2,2,155140,18-May,4,36,141869.295,95.0,1493.361,NABEUL
