NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,2,154630,18-May,19,46,17920.332,12.0,1493.3609999999999,NAFTA
1,3,154630,18-May,19,46,13703.54,10.0,1370.354,NAFTA
1,2,154630,19-Jan,19,46,12842.352,8.0,1605.294,NAFTA
1,2,154630,18-Nov,19,46,20888.491,13.0,1606.8070000000002,NAFTA
1,6,154630,19-Jun,19,46,20244.341,13.0,1557.257,NAFTA
1,1,154630,19-Aug,19,46,11978.757,9.0,1330.973,NAFTA
1,2,154630,19-Jul,19,46,18370.836,11.0,1670.076,NAFTA
1,2,154630,19-Oct,19,46,26699.824,16.0,1668.739,NAFTA
1,1,154630,19-Oct,19,46,38598.217,29.0,1330.973,NAFTA
1,1,154630,18-Sep,19,46,23416.553,19.0,1232.4501578947368,NAFTA
1,1,154630,19-Mar,19,46,32638.06,26.0,1255.31,NAFTA
1,2,154630,18-Mar,19,46,20318.816,14.0,1451.3439999999998,NAFTA
2,1,154630,18-Dec,19,46,6284.515,5.0,1256.903,NAFTA
1,3,154630,18-Oct,19,46,26816.814,18.0,1489.8229999999999,NAFTA
3,1,154630,18-Nov,19,46,7541.418,6.0,1256.903,NAFTA
1,3,154630,19-Feb,19,46,20835.22,14.0,1488.23,NAFTA
1,1,154630,19-Apr,19,46,21330.976,16.0,1333.186,NAFTA
1,1,154630,18-Feb,19,46,26997.775,25.0,1079.911,NAFTA
1,2,154630,18-Jun,19,46,16679.071,11.0,1516.2791818181818,NAFTA
1,2,154630,19-May,19,46,20050.08,12.0,1670.8400000000001,NAFTA
1,3,154630,18-Feb,19,46,15913.272,12.0,1326.106,NAFTA
1,3,154630,18-Dec,19,46,37234.424,25.0,1489.37696,NAFTA
1,1,154630,18-Jul,19,46,11905.31,10.0,1190.531,NAFTA
1,3,154630,18-Aug,19,46,24424.342,17.0,1436.726,NAFTA
1,3,154630,18-Jun,19,46,19649.56,14.0,1403.5400000000002,NAFTA
1,6,154630,19-Aug,19,46,21770.616,14.0,1555.044,NAFTA
1,6,154630,19-Oct,19,46,34210.968,22.0,1555.044,NAFTA
1,2,154630,18-Apr,19,46,20907.054,14.0,1493.361,NAFTA
1,2,154630,18-Sep,19,46,14461.263,9.0,1606.807,NAFTA
3,3,154630,18-Nov,19,46,5959.292,4.0,1489.823,NAFTA
3,2,154630,18-Nov,19,46,4820.421,3.0,1606.807,NAFTA
1,1,154630,19-Jan,19,46,26361.51,21.0,1255.31,NAFTA
3,3,154630,19-Jan,19,46,8929.38,6.0,1488.2299999999998,NAFTA
