NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,2,154100,18-Jul,11,28,15563.86,10.0,1556.386,NASRALLAH
1,2,154100,18-Nov,11,28,14461.263,9.0,1606.807,NASRALLAH
1,1,154100,18-Sep,11,28,72900.374,58.0,1256.903,NASRALLAH
1,2,154100,18-Oct,11,28,12854.456,8.0,1606.807,NASRALLAH
1,1,154100,19-Jun,11,28,35996.022,27.0,1333.186,NASRALLAH
1,1,154100,19-Aug,11,28,79858.38,60.0,1330.9730000000002,NASRALLAH
1,2,154100,19-Jul,11,28,18368.735,11.0,1669.885,NASRALLAH
1,6,154100,19-Aug,11,28,3110.088,2.0,1555.044,NASRALLAH
1,3,154100,18-Mar,11,28,2652.212,2.0,1326.106,NASRALLAH
1,3,154100,18-Sep,11,28,7449.115,5.0,1489.8229999999999,NASRALLAH
2,1,154100,19-Jan,11,28,13808.41,11.0,1255.31,NASRALLAH
1,1,154100,19-May,11,28,66659.3,50.0,1333.1860000000001,NASRALLAH
1,2,154100,19-May,11,28,16708.4,10.0,1670.8400000000001,NASRALLAH
1,1,154100,19-Jul,11,28,46623.889,35.0,1332.1111142857144,NASRALLAH
1,1,154100,19-Oct,11,28,63886.704,48.0,1330.973,NASRALLAH
1,2,154100,18-Apr,11,28,13440.249,9.0,1493.3609999999999,NASRALLAH
1,1,154100,18-Aug,11,28,65479.205,55.0,1190.531,NASRALLAH
1,2,154100,19-Nov,11,28,13349.912,8.0,1668.739,NASRALLAH
1,1,154100,18-Feb,11,28,88552.702,82.0,1079.911,NASRALLAH
1,2,154100,19-Feb,11,28,14447.646,9.0,1605.294,NASRALLAH
1,2,154100,19-Mar,11,28,24079.41,15.0,1605.294,NASRALLAH
1,3,154100,18-Jan,11,28,6630.53,5.0,1326.106,NASRALLAH
2,1,154100,18-Aug,11,28,8333.717,7.0,1190.5310000000002,NASRALLAH
