NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,2,155050,18-May,23,37,19413.693,13.0,1493.3609999999999,NVLE TATAOUINE
1,1,155050,18-May,23,37,12365.749,11.0,1124.1589999999999,NVLE TATAOUINE
3,2,155050,18-Aug,23,37,6225.544,4.0,1556.386,NVLE TATAOUINE
4,2,155050,18-Sep,23,37,51216.14,32.0,1600.504375,NVLE TATAOUINE
1,6,155050,19-Mar,23,37,23811.68,16.0,1488.23,NVLE TATAOUINE
4,1,155050,18-Mar,23,37,100431.723,93.0,1079.911,NVLE TATAOUINE
4,1,155050,18-May,23,37,79815.289,71.0,1124.159,NVLE TATAOUINE
4,2,155050,18-Apr,23,37,34347.303,23.0,1493.361,NVLE TATAOUINE
4,3,155050,18-Dec,23,37,2979.646,2.0,1489.823,NVLE TATAOUINE
3,3,155050,18-Feb,23,37,5304.424,4.0,1326.106,NVLE TATAOUINE
4,3,155050,18-Feb,23,37,33152.65,25.0,1326.106,NVLE TATAOUINE
4,3,155050,18-Apr,23,37,50703.098,37.0,1370.354,NVLE TATAOUINE
4,3,155050,19-Jan,23,37,22323.45,15.0,1488.23,NVLE TATAOUINE
1,2,155050,19-Jan,23,37,32105.88,20.0,1605.294,NVLE TATAOUINE
4,1,155050,18-Aug,23,37,52383.364,44.0,1190.531,NVLE TATAOUINE
1,2,155050,18-Oct,23,37,22495.298,14.0,1606.807,NVLE TATAOUINE
2,2,155050,18-Oct,23,37,3213.614,2.0,1606.807,NVLE TATAOUINE
4,3,155050,18-May,23,37,38369.912,28.0,1370.3539999999998,NVLE TATAOUINE
1,2,155050,18-Dec,23,37,38548.238,24.0,1606.1765833333332,NVLE TATAOUINE
4,3,155050,19-Feb,23,37,38693.98,26.0,1488.23,NVLE TATAOUINE
1,2,155050,19-Mar,23,37,20868.822,13.0,1605.294,NVLE TATAOUINE
4,3,155050,18-Jan,23,37,31826.544,24.0,1326.106,NVLE TATAOUINE
4,1,155050,18-Jul,23,37,7143.186,6.0,1190.531,NVLE TATAOUINE
2,2,155050,18-Aug,23,37,7781.93,5.0,1556.386,NVLE TATAOUINE
1,2,155050,18-Jun,23,37,27069.573,18.0,1503.8651666666667,NVLE TATAOUINE
1,3,155050,18-Oct,23,37,25326.991,17.0,1489.823,NVLE TATAOUINE
4,2,155050,18-Nov,23,37,17674.877,11.0,1606.807,NVLE TATAOUINE
1,2,155050,18-Feb,23,37,2902.688,2.0,1451.344,NVLE TATAOUINE
4,2,155050,18-Mar,23,37,43540.32,30.0,1451.344,NVLE TATAOUINE
1,2,155050,18-Nov,23,37,24102.105,15.0,1606.807,NVLE TATAOUINE
4,3,155050,18-Oct,23,37,31286.283,21.0,1489.8229999999999,NVLE TATAOUINE
4,6,155050,19-Mar,23,37,40182.21,27.0,1488.23,NVLE TATAOUINE
1,3,155050,18-Nov,23,37,37245.575,25.0,1489.8229999999999,NVLE TATAOUINE
1,1,155050,18-Aug,23,37,8333.717,7.0,1190.5310000000002,NVLE TATAOUINE
4,1,155050,18-Jun,23,37,27975.396,24.0,1165.6415,NVLE TATAOUINE
1,1,155050,18-Oct,23,37,54046.829,43.0,1256.903,NVLE TATAOUINE
1,1,155050,18-Dec,23,37,35175.761,28.0,1256.2771785714285,NVLE TATAOUINE
4,3,155050,18-Sep,23,37,53633.628,36.0,1489.8229999999999,NVLE TATAOUINE
2,1,155050,18-Oct,23,37,3770.709,3.0,1256.903,NVLE TATAOUINE
4,1,155050,18-Jan,23,37,88552.702,82.0,1079.911,NVLE TATAOUINE
1,3,155050,19-Jan,23,37,17858.76,12.0,1488.2299999999998,NVLE TATAOUINE
4,3,155050,18-Jul,23,37,38791.602,27.0,1436.7259999999999,NVLE TATAOUINE
4,2,155050,18-Oct,23,37,19281.684,12.0,1606.807,NVLE TATAOUINE
4,3,155050,18-Nov,23,37,16388.053,11.0,1489.823,NVLE TATAOUINE
4,1,155050,19-Mar,23,37,62765.5,50.0,1255.31,NVLE TATAOUINE
4,1,155050,18-Feb,23,37,84233.058,78.0,1079.911,NVLE TATAOUINE
1,3,155050,18-Dec,23,37,49149.822,33.0,1489.3885454545455,NVLE TATAOUINE
1,1,155050,18-Nov,23,37,69129.665,55.0,1256.9029999999998,NVLE TATAOUINE
4,1,155050,19-Feb,23,37,69042.05,55.0,1255.31,NVLE TATAOUINE
1,2,155050,19-Feb,23,37,3210.588,2.0,1605.294,NVLE TATAOUINE
4,3,155050,18-Mar,23,37,66305.3,50.0,1326.106,NVLE TATAOUINE
4,1,155050,18-Dec,23,37,51533.023,41.0,1256.903,NVLE TATAOUINE
1,2,155050,18-Jul,23,37,28014.948,18.0,1556.386,NVLE TATAOUINE
4,3,155050,18-Aug,23,37,33044.698,23.0,1436.7259999999999,NVLE TATAOUINE
1,2,155050,18-Aug,23,37,87157.616,56.0,1556.386,NVLE TATAOUINE
1,3,155050,18-Jun,23,37,35828.32,26.0,1378.0123076923078,NVLE TATAOUINE
4,3,155050,18-Jun,23,37,7050.886,5.0,1410.1772,NVLE TATAOUINE
3,1,155050,19-Jan,23,37,5021.24,4.0,1255.31,NVLE TATAOUINE
1,1,155050,19-Feb,23,37,5021.24,4.0,1255.31,NVLE TATAOUINE
4,2,155050,18-Feb,23,37,31929.568,22.0,1451.344,NVLE TATAOUINE
1,3,155050,18-Feb,23,37,7956.636,6.0,1326.106,NVLE TATAOUINE
4,2,155050,18-May,23,37,22400.415,15.0,1493.361,NVLE TATAOUINE
4,1,155050,18-Apr,23,37,79815.289,71.0,1124.159,NVLE TATAOUINE
1,1,155050,19-Jan,23,37,32638.06,26.0,1255.31,NVLE TATAOUINE
