NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
3,3,155240,18-Feb,7,7,2652.212,2.0,1326.106,OUCHTATA
3,3,155240,18-Feb,7,7,9282.742,7.0,1326.106,OUCHTATA
3,2,155240,18-Oct,7,7,33742.947,21.0,1606.807,OUCHTATA
3,1,155240,18-Nov,7,7,105579.852,84.0,1256.903,OUCHTATA
3,2,155240,19-Feb,7,7,20868.822,13.0,1605.294,OUCHTATA
3,2,155240,19-Aug,7,7,88443.167,53.0,1668.739,OUCHTATA
3,1,155240,18-Sep,7,7,112922.154,90.0,1254.6906,OUCHTATA
2,1,155240,19-Jun,7,7,38662.394,29.0,1333.186,OUCHTATA
2,6,155240,19-Jul,7,7,9343.542,6.0,1557.2569999999998,OUCHTATA
3,2,155240,19-Jul,7,7,65108.134,39.0,1669.4393333333333,OUCHTATA
3,2,155240,18-Feb,7,7,7256.72,5.0,1451.344,OUCHTATA
3,3,155240,18-Apr,7,7,15073.894,11.0,1370.354,OUCHTATA
2,1,155240,19-Nov,7,7,5323.892,4.0,1330.973,OUCHTATA
3,3,155240,18-Jan,7,7,11934.954,9.0,1326.106,OUCHTATA
3,1,155240,18-Jul,7,7,159531.154,134.0,1190.5310000000002,OUCHTATA
3,2,155240,18-Nov,7,7,25708.912,16.0,1606.807,OUCHTATA
3,6,155240,19-May,7,7,18687.084,12.0,1557.2569999999998,OUCHTATA
3,6,155240,19-Jun,7,7,17129.827,11.0,1557.257,OUCHTATA
3,2,155240,19-Oct,7,7,31706.041,19.0,1668.739,OUCHTATA
3,6,155240,19-Jul,7,7,15554.866,10.0,1555.4866,OUCHTATA
3,1,155240,18-Apr,7,7,150637.306,134.0,1124.159,OUCHTATA
3,3,155240,18-May,7,7,21925.664,16.0,1370.354,OUCHTATA
3,2,155240,18-May,7,7,34347.303,23.0,1493.361,OUCHTATA
3,2,155240,19-Jan,7,7,36921.762,23.0,1605.294,OUCHTATA
3,3,155240,19-Feb,7,7,13394.07,9.0,1488.23,OUCHTATA
3,2,155240,19-Nov,7,7,31706.041,19.0,1668.739,OUCHTATA
3,1,155240,18-Oct,7,7,140773.136,112.0,1256.903,OUCHTATA
3,2,155240,19-Mar,7,7,40132.35,25.0,1605.2939999999999,OUCHTATA
3,1,155240,18-Mar,7,7,124189.765,115.0,1079.911,OUCHTATA
3,2,155240,18-Apr,7,7,31360.581,21.0,1493.3609999999999,OUCHTATA
3,2,155240,18-Dec,7,7,41764.878,26.0,1606.3414615384613,OUCHTATA
3,2,155240,19-Apr,7,7,28404.28,17.0,1670.84,OUCHTATA
3,1,155240,19-Sep,7,7,107808.813,81.0,1330.973,OUCHTATA
2,2,155240,19-Jul,7,7,18379.24,11.0,1670.8400000000001,OUCHTATA
3,6,155240,19-Dec,7,7,23325.66,15.0,1555.044,OUCHTATA
3,1,155240,18-Feb,7,7,71274.126,66.0,1079.911,OUCHTATA
3,3,155240,18-Jul,7,7,28734.52,20.0,1436.726,OUCHTATA
3,3,155240,18-Jun,7,7,23561.506,17.0,1385.9709411764707,OUCHTATA
3,6,155240,19-Apr,7,7,14015.313,9.0,1557.257,OUCHTATA
3,1,155240,19-Dec,7,7,109139.786,82.0,1330.973,OUCHTATA
3,1,155240,18-Dec,7,7,138225.877,110.0,1256.5988818181818,OUCHTATA
3,2,155240,18-Aug,7,7,73150.142,47.0,1556.3860000000002,OUCHTATA
3,2,155240,18-Sep,7,7,33591.684,21.0,1599.604,OUCHTATA
3,2,155240,19-May,7,7,30075.12,18.0,1670.84,OUCHTATA
3,2,155240,19-Jun,7,7,36758.48,22.0,1670.8400000000001,OUCHTATA
3,1,155240,18-Jan,7,7,124189.765,115.0,1079.911,OUCHTATA
3,2,155240,18-Feb,7,7,13062.096,9.0,1451.344,OUCHTATA
3,1,155240,19-Apr,7,7,117320.368,88.0,1333.186,OUCHTATA
3,1,155240,18-May,7,7,174244.645,155.0,1124.1589999999999,OUCHTATA
3,1,155240,18-Jun,7,7,182258.997,159.0,1146.2830000000001,OUCHTATA
3,1,155240,19-May,7,7,162648.692,122.0,1333.1860000000001,OUCHTATA
3,6,155240,19-Mar,7,7,13394.07,9.0,1488.23,OUCHTATA
3,1,155240,19-Aug,7,7,139752.165,105.0,1330.9730000000002,OUCHTATA
3,2,155240,18-Jan,7,7,33380.912,23.0,1451.3439999999998,OUCHTATA
3,3,155240,18-Oct,7,7,17877.876,12.0,1489.823,OUCHTATA
3,1,155240,19-Jun,7,7,79991.16,60.0,1333.1860000000001,OUCHTATA
3,6,155240,19-Oct,7,7,17105.484,11.0,1555.044,OUCHTATA
3,1,155240,19-Jan,7,7,95403.56,76.0,1255.31,OUCHTATA
3,1,155240,18-Aug,7,7,142863.72,120.0,1190.531,OUCHTATA
3,2,155240,18-Jun,7,7,43811.669,29.0,1510.7472068965517,OUCHTATA
3,1,155240,19-Jul,7,7,81235.826,61.0,1331.7348524590163,OUCHTATA
3,2,155240,18-Mar,7,7,30478.224,21.0,1451.3439999999998,OUCHTATA
3,2,155240,18-Jul,7,7,66924.598,43.0,1556.386,OUCHTATA
3,3,155240,18-Aug,7,7,34481.424,24.0,1436.7259999999999,OUCHTATA
3,1,155240,19-Oct,7,7,125111.462,94.0,1330.973,OUCHTATA
3,1,155240,18-Feb,7,7,22678.131,21.0,1079.911,OUCHTATA
3,1,155240,19-Feb,7,7,94148.25,75.0,1255.31,OUCHTATA
3,3,155240,18-Dec,7,7,16384.867,11.0,1489.5333636363634,OUCHTATA
3,3,155240,18-Sep,7,7,16388.053,11.0,1489.823,OUCHTATA
2,6,155240,19-Jun,7,7,4671.771,3.0,1557.2569999999998,OUCHTATA
2,1,155240,19-Jul,7,7,54660.626,41.0,1333.186,OUCHTATA
3,6,155240,19-Aug,7,7,37321.056,24.0,1555.0439999999999,OUCHTATA
3,2,155240,19-Dec,7,7,43387.214,26.0,1668.739,OUCHTATA
3,3,155240,18-Mar,7,7,13261.06,10.0,1326.106,OUCHTATA
3,3,155240,19-Jan,7,7,14882.3,10.0,1488.23,OUCHTATA
3,3,155240,18-Nov,7,7,14898.23,10.0,1489.8229999999999,OUCHTATA
3,1,155240,19-Mar,7,7,145615.96,116.0,1255.31,OUCHTATA
3,2,155240,19-Sep,7,7,35043.519,21.0,1668.739,OUCHTATA
3,6,155240,19-Sep,7,7,15550.44,10.0,1555.044,OUCHTATA
3,6,155240,19-Nov,7,7,18660.528,12.0,1555.0439999999999,OUCHTATA
3,1,155240,19-Nov,7,7,118456.597,89.0,1330.973,OUCHTATA
