NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,2,153670,18-Mar,21,5,20318.816,14.0,1451.3439999999998,OUEDHREF
1,2,153670,18-Apr,21,5,23893.776,16.0,1493.361,OUEDHREF
1,1,153670,19-Jan,21,5,69042.05,55.0,1255.31,OUEDHREF
3,3,153670,18-Aug,21,5,5746.904,4.0,1436.726,OUEDHREF
3,2,153670,18-Aug,21,5,6225.544,4.0,1556.386,OUEDHREF
1,1,153670,19-Sep,21,5,79858.38,60.0,1330.9730000000002,OUEDHREF
1,1,153670,19-May,21,5,62659.742,47.0,1333.186,OUEDHREF
1,2,153670,19-Mar,21,5,54579.996,34.0,1605.2939999999999,OUEDHREF
1,2,153670,19-Aug,21,5,100124.34,60.0,1668.739,OUEDHREF
1,2,153670,18-Jan,21,5,17416.128,12.0,1451.344,OUEDHREF
1,1,153670,18-May,21,5,92181.038,82.0,1124.159,OUEDHREF
4,1,153670,18-Dec,21,5,18853.545,15.0,1256.9029999999998,OUEDHREF
1,1,153670,18-Jun,21,5,69901.139,61.0,1145.9203114754098,OUEDHREF
1,3,153670,18-Oct,21,5,19367.699,13.0,1489.823,OUEDHREF
1,1,153670,19-Apr,21,5,90656.648,68.0,1333.186,OUEDHREF
1,6,153670,19-Mar,21,5,17858.76,12.0,1488.2299999999998,OUEDHREF
1,2,153670,19-Oct,21,5,53399.648,32.0,1668.739,OUEDHREF
3,3,153670,18-Feb,21,5,3978.318,3.0,1326.106,OUEDHREF
1,3,153670,18-May,21,5,19184.956,14.0,1370.3539999999998,OUEDHREF
1,1,153670,18-Sep,21,5,90231.528,72.0,1253.2156666666667,OUEDHREF
1,3,153670,18-Sep,21,5,22347.345,15.0,1489.823,OUEDHREF
2,2,153670,19-Jan,21,5,4815.882,3.0,1605.2939999999999,OUEDHREF
1,1,153670,19-Aug,21,5,91837.137,69.0,1330.973,OUEDHREF
1,6,153670,19-Aug,21,5,29545.836,19.0,1555.0439999999999,OUEDHREF
2,1,153670,19-Sep,21,5,5323.892,4.0,1330.973,OUEDHREF
1,1,153670,19-Nov,21,5,87844.218,66.0,1330.973,OUEDHREF
1,3,153670,18-Mar,21,5,19891.59,15.0,1326.106,OUEDHREF
1,2,153670,18-May,21,5,17920.332,12.0,1493.3609999999999,OUEDHREF
1,3,153670,18-Dec,21,5,8935.752,6.0,1489.2920000000001,OUEDHREF
1,6,153670,19-May,21,5,20244.341,13.0,1557.257,OUEDHREF
2,1,153670,19-Jun,21,5,11998.674,9.0,1333.1860000000001,OUEDHREF
1,2,153670,19-Jan,21,5,22474.116,14.0,1605.294,OUEDHREF
2,1,153670,19-Jan,21,5,6276.55,5.0,1255.31,OUEDHREF
1,3,153670,19-Jan,21,5,14882.3,10.0,1488.23,OUEDHREF
1,6,153670,19-Jul,21,5,24896.195,16.0,1556.0121875,OUEDHREF
1,2,153670,19-Nov,21,5,65080.821,39.0,1668.739,OUEDHREF
1,1,153670,18-Dec,21,5,41452.311,33.0,1256.1306363636363,OUEDHREF
1,2,153670,18-Sep,21,5,30327.649,19.0,1596.192052631579,OUEDHREF
1,2,153670,18-Jun,21,5,24145.876,16.0,1509.11725,OUEDHREF
1,2,153670,18-Oct,21,5,17674.877,11.0,1606.807,OUEDHREF
1,2,153670,19-Apr,21,5,75187.8,45.0,1670.8400000000001,OUEDHREF
4,6,153670,19-Sep,21,5,4665.132,3.0,1555.0439999999999,OUEDHREF
4,3,153670,18-Apr,21,5,2740.708,2.0,1370.354,OUEDHREF
2,2,153670,18-Jul,21,5,9338.316,6.0,1556.3860000000002,OUEDHREF
2,1,153670,18-Dec,21,5,5027.612,4.0,1256.903,OUEDHREF
1,2,153670,19-Sep,21,5,55068.387,33.0,1668.739,OUEDHREF
1,2,153670,19-Dec,21,5,50062.17,30.0,1668.739,OUEDHREF
1,3,153670,18-Feb,21,5,11934.954,9.0,1326.106,OUEDHREF
1,2,153670,18-Dec,21,5,33726.304,21.0,1606.014476190476,OUEDHREF
1,3,153670,18-Nov,21,5,8938.938,6.0,1489.823,OUEDHREF
1,2,153670,19-May,21,5,40100.16,24.0,1670.8400000000001,OUEDHREF
1,2,153670,19-Jul,21,5,78470.652,47.0,1669.588340425532,OUEDHREF
1,1,153670,19-Oct,21,5,77196.434,58.0,1330.973,OUEDHREF
1,1,153670,18-Jul,21,5,71431.86,60.0,1190.531,OUEDHREF
2,1,153670,18-Aug,21,5,11905.31,10.0,1190.531,OUEDHREF
1,6,153670,19-Apr,21,5,28030.626,18.0,1557.257,OUEDHREF
1,1,153670,19-Jul,21,5,77258.398,58.0,1332.0413448275863,OUEDHREF
1,3,153670,18-Jan,21,5,14587.166,11.0,1326.106,OUEDHREF
1,2,153670,18-Feb,21,5,18867.472,13.0,1451.344,OUEDHREF
1,1,153670,18-Oct,21,5,71643.471,57.0,1256.903,OUEDHREF
2,1,153670,18-Oct,21,5,6284.515,5.0,1256.903,OUEDHREF
1,2,153670,19-Feb,21,5,28895.292,18.0,1605.294,OUEDHREF
1,2,153670,19-Jun,21,5,51796.04,31.0,1670.84,OUEDHREF
1,1,153670,18-Mar,21,5,106911.189,99.0,1079.911,OUEDHREF
1,2,153670,18-Aug,21,5,147856.67,95.0,1556.3860000000002,OUEDHREF
1,3,153670,18-Jun,21,5,20953.542,15.0,1396.9028,OUEDHREF
1,6,153670,19-Jun,21,5,24916.112,16.0,1557.257,OUEDHREF
1,1,153670,19-Dec,21,5,146407.03,110.0,1330.973,OUEDHREF
1,1,153670,19-Mar,21,5,92892.94,74.0,1255.31,OUEDHREF
1,6,153670,19-Nov,21,5,21770.616,14.0,1555.044,OUEDHREF
1,1,153670,18-Feb,21,5,100431.723,93.0,1079.911,OUEDHREF
1,3,153670,18-Apr,21,5,17814.602,13.0,1370.3539999999998,OUEDHREF
1,2,153670,18-Jul,21,5,24902.176,16.0,1556.386,OUEDHREF
1,3,153670,18-Aug,21,5,30171.246,21.0,1436.7259999999999,OUEDHREF
4,3,153670,18-Nov,21,5,5959.292,4.0,1489.823,OUEDHREF
1,3,153670,19-Feb,21,5,17858.76,12.0,1488.2299999999998,OUEDHREF
1,1,153670,19-Jun,21,5,30663.278,23.0,1333.186,OUEDHREF
1,6,153670,19-Oct,21,5,23325.66,15.0,1555.044,OUEDHREF
1,1,153670,18-Jan,21,5,86392.88,80.0,1079.911,OUEDHREF
1,1,153670,18-Aug,21,5,76193.984,64.0,1190.531,OUEDHREF
1,1,153670,18-Apr,21,5,94429.356,84.0,1124.159,OUEDHREF
1,1,153670,18-Nov,21,5,59074.441,47.0,1256.903,OUEDHREF
1,2,153670,18-Nov,21,5,17674.877,11.0,1606.807,OUEDHREF
1,3,153670,18-Jul,21,5,24424.342,17.0,1436.726,OUEDHREF
1,6,153670,19-Sep,21,5,13995.396,9.0,1555.044,OUEDHREF
2,1,153670,18-Nov,21,5,3770.709,3.0,1256.903,OUEDHREF
1,1,153670,19-Feb,21,5,85361.08,68.0,1255.31,OUEDHREF
1,6,153670,19-Dec,21,5,23325.66,15.0,1555.044,OUEDHREF
