NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,1,154850,18-Jan,15,4,35637.063,33.0,1079.911,OUERDANINE
1,2,154850,18-Feb,15,4,14513.44,10.0,1451.344,OUERDANINE
1,3,154850,18-Feb,15,4,3978.318,3.0,1326.106,OUERDANINE
2,2,154850,19-Feb,15,4,17658.234,11.0,1605.294,OUERDANINE
3,6,154850,19-Mar,15,4,7441.15,5.0,1488.23,OUERDANINE
2,2,154850,19-Oct,15,4,36712.258,22.0,1668.739,OUERDANINE
2,1,154850,18-Dec,15,4,35177.354,28.0,1256.3340714285714,OUERDANINE
3,3,154850,19-Jan,15,4,11905.84,8.0,1488.23,OUERDANINE
2,1,154850,18-Jul,15,4,34525.399,29.0,1190.531,OUERDANINE
1,3,154850,18-Oct,15,4,11918.584,8.0,1489.823,OUERDANINE
2,1,154850,19-Feb,15,4,45191.16,36.0,1255.3100000000002,OUERDANINE
1,2,154850,19-Jan,15,4,14447.646,9.0,1605.294,OUERDANINE
2,1,154850,19-May,15,4,39995.58,30.0,1333.1860000000001,OUERDANINE
1,1,154850,19-Mar,15,4,13808.41,11.0,1255.31,OUERDANINE
1,2,154850,19-Mar,15,4,8026.47,5.0,1605.294,OUERDANINE
1,3,154850,18-Aug,15,4,5746.904,4.0,1436.726,OUERDANINE
1,1,154850,19-Jan,15,4,11297.79,9.0,1255.3100000000002,OUERDANINE
2,3,154850,19-May,15,4,6229.028,4.0,1557.257,OUERDANINE
2,1,154850,19-Aug,15,4,89175.191,67.0,1330.9730000000002,OUERDANINE
1,2,154850,18-May,15,4,5973.444,4.0,1493.361,OUERDANINE
2,1,154850,18-Aug,15,4,85718.232,72.0,1190.531,OUERDANINE
2,6,154850,19-Aug,15,4,21770.616,14.0,1555.044,OUERDANINE
2,2,154850,18-Dec,15,4,38549.751,24.0,1606.239625,OUERDANINE
2,3,154850,19-Apr,15,4,14015.313,9.0,1557.257,OUERDANINE
2,2,154850,19-Sep,15,4,43387.214,26.0,1668.739,OUERDANINE
2,1,154850,19-Oct,15,4,58562.812,44.0,1330.973,OUERDANINE
2,6,154850,19-Oct,15,4,6220.176,4.0,1555.044,OUERDANINE
2,2,154850,19-Jan,15,4,14447.646,9.0,1605.294,OUERDANINE
2,1,154850,19-Mar,15,4,55233.64,44.0,1255.31,OUERDANINE
2,6,154850,19-Jun,15,4,10900.799,7.0,1557.257,OUERDANINE
1,1,154850,19-Jun,15,4,9332.302,7.0,1333.186,OUERDANINE
2,1,154850,18-Feb,15,4,9719.199,9.0,1079.911,OUERDANINE
1,3,154850,18-Mar,15,4,3978.318,3.0,1326.106,OUERDANINE
3,2,154850,18-Jul,15,4,4669.158,3.0,1556.3860000000002,OUERDANINE
3,3,154850,18-Sep,15,4,4469.469,3.0,1489.823,OUERDANINE
1,1,154850,18-Sep,15,4,86726.307,69.0,1256.903,OUERDANINE
2,2,154850,18-Sep,15,4,17674.877,11.0,1606.807,OUERDANINE
3,3,154850,18-Nov,15,4,13408.407,9.0,1489.8229999999999,OUERDANINE
1,2,154850,18-Dec,15,4,16068.07,10.0,1606.807,OUERDANINE
2,1,154850,19-Sep,15,4,101153.948,76.0,1330.973,OUERDANINE
1,2,154850,19-Jul,15,4,6683.36,4.0,1670.84,OUERDANINE
2,6,154850,19-Jul,15,4,6220.176,4.0,1555.044,OUERDANINE
1,2,154850,19-Aug,15,4,30037.302,18.0,1668.739,OUERDANINE
2,1,154850,19-Nov,15,4,62555.731,47.0,1330.973,OUERDANINE
2,1,154850,19-Dec,15,4,117125.624,88.0,1330.973,OUERDANINE
2,1,154850,19-Jan,15,4,32638.06,26.0,1255.31,OUERDANINE
2,2,154850,18-Jul,15,4,31127.72,20.0,1556.386,OUERDANINE
3,1,154850,18-Jul,15,4,14286.372,12.0,1190.531,OUERDANINE
1,2,154850,18-Jun,15,4,10453.527,7.0,1493.361,OUERDANINE
1,2,154850,18-Oct,15,4,12854.456,8.0,1606.807,OUERDANINE
2,2,154850,19-May,15,4,21720.92,13.0,1670.84,OUERDANINE
2,2,154850,19-Jul,15,4,56764.439,34.0,1669.5423235294118,OUERDANINE
2,6,154850,19-Sep,15,4,4665.132,3.0,1555.0439999999999,OUERDANINE
1,3,154850,18-Jan,15,4,3978.318,3.0,1326.106,OUERDANINE
2,1,154850,18-Nov,15,4,54046.829,43.0,1256.903,OUERDANINE
1,2,154850,18-Aug,15,4,66924.598,43.0,1556.386,OUERDANINE
3,3,154850,19-Feb,15,4,5952.92,4.0,1488.23,OUERDANINE
2,2,154850,19-Jun,15,4,35087.64,21.0,1670.84,OUERDANINE
1,2,154850,19-Jun,15,4,13366.72,8.0,1670.84,OUERDANINE
2,2,154850,19-Aug,15,4,75093.255,45.0,1668.739,OUERDANINE
2,2,154850,19-Nov,15,4,61743.343,37.0,1668.739,OUERDANINE
1,1,154850,18-Mar,15,4,112310.744,104.0,1079.911,OUERDANINE
1,2,154850,18-Mar,15,4,5805.376,4.0,1451.344,OUERDANINE
1,1,154850,18-Apr,15,4,38221.406,34.0,1124.159,OUERDANINE
1,2,154850,18-Apr,15,4,8960.166,6.0,1493.3609999999999,OUERDANINE
3,3,154850,18-Apr,15,4,4111.062,3.0,1370.354,OUERDANINE
1,2,154850,18-Jul,15,4,10894.702,7.0,1556.386,OUERDANINE
1,1,154850,18-Aug,15,4,41668.585,35.0,1190.531,OUERDANINE
1,2,154850,18-Sep,15,4,16068.07,10.0,1606.807,OUERDANINE
1,1,154850,19-Feb,15,4,22595.58,18.0,1255.3100000000002,OUERDANINE
1,2,154850,19-Sep,15,4,18356.129,11.0,1668.739,OUERDANINE
1,2,154850,19-Feb,15,4,9631.764,6.0,1605.2939999999999,OUERDANINE
1,6,154850,19-Mar,15,4,4464.69,3.0,1488.2299999999998,OUERDANINE
2,2,154850,19-Dec,15,4,41718.475,25.0,1668.739,OUERDANINE
3,3,154850,18-Jul,15,4,5746.904,4.0,1436.726,OUERDANINE
1,1,154850,18-Oct,15,4,55303.732,44.0,1256.903,OUERDANINE
1,1,154850,18-Jun,15,4,59119.988,52.0,1136.9228461538462,OUERDANINE
1,1,154850,18-Dec,15,4,10055.224,8.0,1256.903,OUERDANINE
1,1,154850,18-May,15,4,103422.628,92.0,1124.1589999999999,OUERDANINE
1,3,154850,18-May,15,4,4111.062,3.0,1370.354,OUERDANINE
2,2,154850,18-Nov,15,4,19281.684,12.0,1606.807,OUERDANINE
1,3,154850,19-Jan,15,4,5952.92,4.0,1488.23,OUERDANINE
