NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
2,1,155870,19-Feb,11,6,37659.3,30.0,1255.3100000000002,OUESLATIA
2,2,155870,18-Dec,11,6,14453.698,9.0,1605.9664444444445,OUESLATIA
2,2,155870,19-Feb,11,6,9631.764,6.0,1605.2939999999999,OUESLATIA
3,2,155870,18-Nov,11,6,4820.421,3.0,1606.807,OUESLATIA
1,1,155870,19-Mar,11,6,46446.47,37.0,1255.31,OUESLATIA
3,1,155870,18-Nov,11,6,15082.836,12.0,1256.903,OUESLATIA
1,2,155870,19-Feb,11,6,6421.176,4.0,1605.294,OUESLATIA
2,2,155870,19-Apr,11,6,16708.4,10.0,1670.8400000000001,OUESLATIA
1,1,155870,19-Apr,11,6,18664.604,14.0,1333.186,OUESLATIA
2,2,155870,19-Jan,11,6,14447.646,9.0,1605.294,OUESLATIA
1,1,155870,19-Feb,11,6,27616.82,22.0,1255.31,OUESLATIA
1,1,155870,18-Dec,11,6,12569.03,10.0,1256.903,OUESLATIA
2,1,155870,19-Mar,11,6,23850.89,19.0,1255.31,OUESLATIA
2,2,155870,18-Nov,11,6,11247.649,7.0,1606.807,OUESLATIA
2,1,155870,19-Apr,11,6,59993.37,45.0,1333.1860000000001,OUESLATIA
2,1,155870,18-Nov,11,6,74157.277,59.0,1256.903,OUESLATIA
1,2,155870,19-Mar,11,6,12842.352,8.0,1605.294,OUESLATIA
3,1,155870,19-Mar,11,6,11297.79,9.0,1255.3100000000002,OUESLATIA
2,1,155870,19-Jan,11,6,76573.91,61.0,1255.31,OUESLATIA
2,2,155870,19-Mar,11,6,4815.882,3.0,1605.2939999999999,OUESLATIA
2,1,155870,18-Dec,11,6,56541.519,45.0,1256.4782,OUESLATIA
