NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,1,153210,18-Jan,16,44,186824.603,173.0,1079.911,OULED CHAMEKH
1,3,153210,18-Mar,16,44,23869.908,18.0,1326.106,OULED CHAMEKH
1,3,153210,18-Apr,16,44,13703.54,10.0,1370.354,OULED CHAMEKH
1,1,153210,18-Oct,16,44,172195.711,137.0,1256.903,OULED CHAMEKH
1,3,153210,18-Oct,16,44,19367.699,13.0,1489.823,OULED CHAMEKH
2,2,153210,18-Oct,16,44,8034.035,5.0,1606.807,OULED CHAMEKH
1,1,153210,19-Apr,16,44,218642.504,164.0,1333.186,OULED CHAMEKH
1,1,153210,19-Oct,16,44,215617.626,162.0,1330.973,OULED CHAMEKH
1,2,153210,19-Apr,16,44,66833.6,40.0,1670.8400000000001,OULED CHAMEKH
1,6,153210,19-Jul,16,44,28010.709,18.0,1556.1505,OULED CHAMEKH
3,3,153210,18-Feb,16,44,7956.636,6.0,1326.106,OULED CHAMEKH
1,3,153210,18-Sep,16,44,20857.522,14.0,1489.823,OULED CHAMEKH
3,3,153210,18-Aug,16,44,4310.178,3.0,1436.7259999999999,OULED CHAMEKH
1,1,153210,19-Dec,16,44,228927.356,172.0,1330.973,OULED CHAMEKH
1,1,153210,18-Sep,16,44,221214.928,176.0,1256.903,OULED CHAMEKH
1,3,153210,18-Jan,16,44,18565.484,14.0,1326.106,OULED CHAMEKH
1,2,153210,18-Feb,16,44,43540.32,30.0,1451.344,OULED CHAMEKH
1,1,153210,19-Jan,16,44,155658.44,124.0,1255.31,OULED CHAMEKH
1,2,153210,18-Oct,16,44,44990.596,28.0,1606.807,OULED CHAMEKH
1,6,153210,19-Sep,16,44,26435.748,17.0,1555.0439999999999,OULED CHAMEKH
1,1,153210,18-Mar,16,44,237580.42,220.0,1079.911,OULED CHAMEKH
3,3,153210,18-Apr,16,44,6851.77,5.0,1370.354,OULED CHAMEKH
1,2,153210,18-Dec,16,44,59430.677,37.0,1606.2345135135135,OULED CHAMEKH
1,2,153210,18-Aug,16,44,66924.598,43.0,1556.386,OULED CHAMEKH
3,1,153210,18-Aug,16,44,16667.434,14.0,1190.5310000000002,OULED CHAMEKH
1,1,153210,19-Jul,16,44,167835.378,126.0,1332.0268095238096,OULED CHAMEKH
1,1,153210,19-Nov,16,44,157054.814,118.0,1330.9730000000002,OULED CHAMEKH
1,2,153210,18-Apr,16,44,41814.108,28.0,1493.361,OULED CHAMEKH
1,3,153210,18-Nov,16,44,20857.522,14.0,1489.823,OULED CHAMEKH
1,1,153210,18-Aug,16,44,176198.588,148.0,1190.531,OULED CHAMEKH
1,3,153210,19-Feb,16,44,25299.91,17.0,1488.23,OULED CHAMEKH
2,1,153210,19-Jun,16,44,45328.324,34.0,1333.186,OULED CHAMEKH
1,1,153210,19-Mar,16,44,145615.96,116.0,1255.31,OULED CHAMEKH
1,1,153210,19-Aug,16,44,218279.572,164.0,1330.973,OULED CHAMEKH
1,2,153210,18-Mar,16,44,66761.824,46.0,1451.3439999999998,OULED CHAMEKH
1,1,153210,18-Apr,16,44,182113.758,162.0,1124.159,OULED CHAMEKH
1,1,153210,18-May,16,44,192231.189,171.0,1124.159,OULED CHAMEKH
1,1,153210,18-Dec,16,44,118093.127,94.0,1256.3098617021276,OULED CHAMEKH
1,1,153210,18-Nov,16,44,172195.711,137.0,1256.903,OULED CHAMEKH
1,2,153210,18-May,16,44,46294.191,31.0,1493.3609999999999,OULED CHAMEKH
1,2,153210,19-Jan,16,44,57790.584,36.0,1605.294,OULED CHAMEKH
1,2,153210,18-Jun,16,44,46987.466,31.0,1515.7247096774195,OULED CHAMEKH
1,3,153210,18-Jun,16,44,20820.798,15.0,1388.0531999999998,OULED CHAMEKH
1,2,153210,18-Sep,16,44,56238.245,35.0,1606.807,OULED CHAMEKH
1,2,153210,19-May,16,44,58479.4,35.0,1670.8400000000001,OULED CHAMEKH
1,6,153210,19-Aug,16,44,34210.968,22.0,1555.044,OULED CHAMEKH
1,6,153210,19-Dec,16,44,24880.704,16.0,1555.044,OULED CHAMEKH
1,3,153210,18-May,16,44,23296.018,17.0,1370.354,OULED CHAMEKH
1,3,153210,18-Dec,16,44,22340.973,15.0,1489.3982,OULED CHAMEKH
1,3,153210,19-Jan,16,44,23811.68,16.0,1488.23,OULED CHAMEKH
1,3,153210,18-Jul,16,44,22987.616,16.0,1436.726,OULED CHAMEKH
2,1,153210,18-Dec,16,44,40220.896,32.0,1256.903,OULED CHAMEKH
1,1,153210,19-Jun,16,44,62659.742,47.0,1333.186,OULED CHAMEKH
1,1,153210,19-Sep,16,44,192991.085,145.0,1330.973,OULED CHAMEKH
1,2,153210,18-Nov,16,44,41776.982,26.0,1606.8070000000002,OULED CHAMEKH
1,2,153210,19-Oct,16,44,63412.082,38.0,1668.739,OULED CHAMEKH
1,6,153210,19-Oct,16,44,21770.616,14.0,1555.044,OULED CHAMEKH
1,6,153210,19-Nov,16,44,18660.528,12.0,1555.0439999999999,OULED CHAMEKH
1,3,153210,18-Feb,16,44,13261.06,10.0,1326.106,OULED CHAMEKH
3,2,153210,18-Aug,16,44,7781.93,5.0,1556.386,OULED CHAMEKH
1,1,153210,19-Feb,16,44,138084.1,110.0,1255.31,OULED CHAMEKH
1,6,153210,19-Apr,16,44,24916.112,16.0,1557.257,OULED CHAMEKH
1,2,153210,19-Jun,16,44,65162.76,39.0,1670.8400000000001,OULED CHAMEKH
1,1,153210,18-Jun,16,44,190659.086,166.0,1148.5487108433736,OULED CHAMEKH
2,2,153210,19-Jan,16,44,8026.47,5.0,1605.294,OULED CHAMEKH
1,2,153210,19-Feb,16,44,59395.878,37.0,1605.2939999999999,OULED CHAMEKH
1,2,153210,19-Jul,16,44,55102.003,33.0,1669.7576666666666,OULED CHAMEKH
1,2,153210,18-Jul,16,44,48247.966,31.0,1556.386,OULED CHAMEKH
1,2,153210,19-Dec,16,44,66749.56,40.0,1668.739,OULED CHAMEKH
1,2,153210,19-Mar,16,44,56185.29,35.0,1605.294,OULED CHAMEKH
1,1,153210,18-Feb,16,44,161986.65,150.0,1079.911,OULED CHAMEKH
1,1,153210,18-Jul,16,44,177389.119,149.0,1190.531,OULED CHAMEKH
1,1,153210,19-May,16,44,167981.436,126.0,1333.186,OULED CHAMEKH
1,6,153210,19-May,16,44,23358.855,15.0,1557.257,OULED CHAMEKH
1,6,153210,19-Mar,16,44,14882.3,10.0,1488.23,OULED CHAMEKH
1,2,153210,18-Jan,16,44,52248.384,36.0,1451.344,OULED CHAMEKH
1,3,153210,18-Aug,16,44,27297.794,19.0,1436.726,OULED CHAMEKH
2,1,153210,18-Oct,16,44,33936.381,27.0,1256.903,OULED CHAMEKH
2,1,153210,19-Jan,16,44,15063.72,12.0,1255.31,OULED CHAMEKH
1,2,153210,19-Sep,16,44,65080.821,39.0,1668.739,OULED CHAMEKH
1,6,153210,19-Jun,16,44,26473.369,17.0,1557.2569999999998,OULED CHAMEKH
1,2,153210,19-Aug,16,44,80099.472,48.0,1668.7389999999998,OULED CHAMEKH
1,2,153210,19-Nov,16,44,55068.387,33.0,1668.739,OULED CHAMEKH
