NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,1,152650,19-Jan,13,18,100424.8,80.0,1255.31,OULED HAFFOUZ
1,1,152650,19-Dec,13,18,150399.949,113.0,1330.973,OULED HAFFOUZ
2,1,152650,19-Jul,13,18,15998.232,12.0,1333.186,OULED HAFFOUZ
3,1,152650,18-Aug,13,18,8333.717,7.0,1190.5310000000002,OULED HAFFOUZ
1,1,152650,18-Sep,13,18,72900.374,58.0,1256.903,OULED HAFFOUZ
1,6,152650,19-Dec,13,18,31100.88,20.0,1555.044,OULED HAFFOUZ
1,2,152650,19-Jul,13,18,51764.525,31.0,1669.8233870967742,OULED HAFFOUZ
1,1,152650,19-Jul,13,18,115878.745,87.0,1331.9395977011493,OULED HAFFOUZ
1,2,152650,18-Aug,13,18,65368.212,42.0,1556.386,OULED HAFFOUZ
1,1,152650,19-Mar,13,18,104190.73,83.0,1255.31,OULED HAFFOUZ
1,1,152650,19-Sep,13,18,103815.894,78.0,1330.973,OULED HAFFOUZ
1,6,152650,19-Nov,13,18,29545.836,19.0,1555.0439999999999,OULED HAFFOUZ
1,3,152650,18-Mar,13,18,15913.272,12.0,1326.106,OULED HAFFOUZ
1,2,152650,18-Jul,13,18,26458.562,17.0,1556.3860000000002,OULED HAFFOUZ
1,2,152650,18-Oct,13,18,38563.368,24.0,1606.807,OULED HAFFOUZ
1,2,152650,19-Feb,13,18,36921.762,23.0,1605.294,OULED HAFFOUZ
1,6,152650,19-Mar,13,18,17858.76,12.0,1488.2299999999998,OULED HAFFOUZ
1,1,152650,19-Nov,13,18,83851.299,63.0,1330.973,OULED HAFFOUZ
1,1,152650,18-Mar,13,18,118790.21,110.0,1079.911,OULED HAFFOUZ
2,1,152650,18-Dec,13,18,21367.351,17.0,1256.903,OULED HAFFOUZ
1,1,152650,18-Aug,13,18,102385.666,86.0,1190.531,OULED HAFFOUZ
4,1,152650,18-Jul,13,18,7143.186,6.0,1190.531,OULED HAFFOUZ
3,2,152650,18-Aug,13,18,6225.544,4.0,1556.386,OULED HAFFOUZ
1,2,152650,19-Apr,13,18,41771.0,25.0,1670.84,OULED HAFFOUZ
1,2,152650,19-Sep,13,18,56737.126,34.0,1668.7389999999998,OULED HAFFOUZ
1,1,152650,18-May,13,18,64077.063,57.0,1124.159,OULED HAFFOUZ
1,3,152650,18-May,13,18,16444.248,12.0,1370.354,OULED HAFFOUZ
1,1,152650,18-Oct,13,18,125690.3,100.0,1256.903,OULED HAFFOUZ
1,1,152650,19-Jun,13,18,27996.906,21.0,1333.186,OULED HAFFOUZ
1,3,152650,19-Feb,13,18,11905.84,8.0,1488.23,OULED HAFFOUZ
1,6,152650,19-May,13,18,12458.056,8.0,1557.257,OULED HAFFOUZ
1,6,152650,19-Sep,13,18,20215.572,13.0,1555.044,OULED HAFFOUZ
1,2,152650,18-Jan,13,18,21770.16,15.0,1451.344,OULED HAFFOUZ
1,2,152650,18-Feb,13,18,26124.192,18.0,1451.344,OULED HAFFOUZ
1,2,152650,18-May,13,18,20907.054,14.0,1493.361,OULED HAFFOUZ
1,3,152650,18-Dec,13,18,26808.849,18.0,1489.3805,OULED HAFFOUZ
1,2,152650,18-Jun,13,18,33421.167,22.0,1519.1439545454546,OULED HAFFOUZ
1,3,152650,18-Nov,13,18,19367.699,13.0,1489.823,OULED HAFFOUZ
1,1,152650,19-May,13,18,70658.858,53.0,1333.186,OULED HAFFOUZ
1,3,152650,18-Apr,13,18,15073.894,11.0,1370.354,OULED HAFFOUZ
1,2,152650,18-Apr,13,18,20907.054,14.0,1493.361,OULED HAFFOUZ
1,2,152650,19-Jan,13,18,48158.82,30.0,1605.294,OULED HAFFOUZ
4,3,152650,18-Jul,13,18,5746.904,4.0,1436.726,OULED HAFFOUZ
1,2,152650,18-Nov,13,18,25708.912,16.0,1606.807,OULED HAFFOUZ
4,2,152650,18-Nov,13,18,8034.035,5.0,1606.807,OULED HAFFOUZ
1,2,152650,19-Jun,13,18,45112.68,27.0,1670.84,OULED HAFFOUZ
1,1,152650,19-Apr,13,18,97322.578,73.0,1333.186,OULED HAFFOUZ
1,1,152650,19-Aug,13,18,107808.813,81.0,1330.973,OULED HAFFOUZ
1,1,152650,18-Jan,13,18,95032.168,88.0,1079.911,OULED HAFFOUZ
1,3,152650,18-Aug,13,18,24424.342,17.0,1436.726,OULED HAFFOUZ
1,6,152650,19-Oct,13,18,21770.616,14.0,1555.044,OULED HAFFOUZ
1,2,152650,19-Dec,13,18,63412.082,38.0,1668.739,OULED HAFFOUZ
1,3,152650,18-Jan,13,18,11934.954,9.0,1326.106,OULED HAFFOUZ
1,6,152650,19-Jun,13,18,21801.598,14.0,1557.257,OULED HAFFOUZ
1,1,152650,19-Oct,13,18,81189.353,61.0,1330.973,OULED HAFFOUZ
1,3,152650,18-Jun,13,18,16709.736,12.0,1392.478,OULED HAFFOUZ
1,3,152650,18-Feb,13,18,15913.272,12.0,1326.106,OULED HAFFOUZ
3,3,152650,19-Jan,13,18,5952.92,4.0,1488.23,OULED HAFFOUZ
1,1,152650,19-Feb,13,18,85361.08,68.0,1255.31,OULED HAFFOUZ
1,2,152650,19-Aug,13,18,65080.821,39.0,1668.739,OULED HAFFOUZ
1,6,152650,19-Jul,13,18,24898.408,16.0,1556.1505,OULED HAFFOUZ
1,2,152650,18-Mar,13,18,33380.912,23.0,1451.3439999999998,OULED HAFFOUZ
1,3,152650,19-Jan,13,18,8929.38,6.0,1488.2299999999998,OULED HAFFOUZ
1,1,152650,18-Nov,13,18,100552.24,80.0,1256.903,OULED HAFFOUZ
1,6,152650,19-Apr,13,18,14015.313,9.0,1557.257,OULED HAFFOUZ
1,2,152650,19-Mar,13,18,56185.29,35.0,1605.294,OULED HAFFOUZ
1,6,152650,19-Aug,13,18,24880.704,16.0,1555.044,OULED HAFFOUZ
1,2,152650,18-Dec,13,18,44981.518,28.0,1606.4827857142857,OULED HAFFOUZ
1,1,152650,18-Dec,13,18,103043.744,82.0,1256.631024390244,OULED HAFFOUZ
1,1,152650,18-Jul,13,18,38096.992,32.0,1190.531,OULED HAFFOUZ
1,3,152650,18-Jul,13,18,11493.808,8.0,1436.726,OULED HAFFOUZ
1,2,152650,19-Nov,13,18,53399.648,32.0,1668.739,OULED HAFFOUZ
