NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
2,1,154910,18-Nov,3,15,153342.166,122.0,1256.903,PORT DE RADES
3,2,154910,18-Dec,3,15,3213.614,2.0,1606.807,PORT DE RADES
2,1,154910,19-Apr,3,15,138651.344,104.0,1333.1860000000001,PORT DE RADES
2,1,154910,19-Jun,3,15,118653.554,89.0,1333.1860000000001,PORT DE RADES
2,2,154910,19-Jun,3,15,46783.52,28.0,1670.84,PORT DE RADES
2,1,154910,18-Oct,3,15,178480.226,142.0,1256.903,PORT DE RADES
2,2,154910,18-May,3,15,38827.386,26.0,1493.3609999999999,PORT DE RADES
2,2,154910,19-Mar,3,15,40132.35,25.0,1605.2939999999999,PORT DE RADES
2,1,154910,19-Jul,3,15,137211.934,103.0,1332.1546990291263,PORT DE RADES
2,1,154910,18-Jan,3,15,61554.927,57.0,1079.911,PORT DE RADES
2,1,154910,18-Feb,3,15,42116.529,39.0,1079.911,PORT DE RADES
2,2,154910,18-Sep,3,15,46597.403,29.0,1606.807,PORT DE RADES
3,2,154910,19-Jan,3,15,3210.588,2.0,1605.294,PORT DE RADES
2,1,154910,19-May,3,15,154649.576,116.0,1333.186,PORT DE RADES
2,1,154910,19-Mar,3,15,134318.17,107.0,1255.3100000000002,PORT DE RADES
2,1,154910,19-Sep,3,15,139752.165,105.0,1330.9730000000002,PORT DE RADES
1,2,154910,19-Mar,3,15,4815.882,3.0,1605.2939999999999,PORT DE RADES
2,2,154910,19-Oct,3,15,63412.082,38.0,1668.739,PORT DE RADES
2,1,154910,18-May,3,15,94429.356,84.0,1124.159,PORT DE RADES
2,1,154910,18-Jun,3,15,86829.896,76.0,1142.4986315789472,PORT DE RADES
3,1,154910,18-Dec,3,15,7541.418,6.0,1256.903,PORT DE RADES
2,1,154910,19-Feb,3,15,140594.72,112.0,1255.31,PORT DE RADES
2,2,154910,19-Dec,3,15,11681.173,7.0,1668.739,PORT DE RADES
2,2,154910,18-Nov,3,15,51417.824,32.0,1606.807,PORT DE RADES
1,1,154910,18-Aug,3,15,4762.124,4.0,1190.531,PORT DE RADES
1,1,154910,19-Jan,3,15,7531.86,6.0,1255.31,PORT DE RADES
3,1,154910,19-May,3,15,6665.93,5.0,1333.1860000000001,PORT DE RADES
2,1,154910,18-Mar,3,15,95032.168,88.0,1079.911,PORT DE RADES
2,2,154910,18-Aug,3,15,18676.632,12.0,1556.3860000000002,PORT DE RADES
2,2,154910,19-Jan,3,15,48158.82,30.0,1605.294,PORT DE RADES
2,1,154910,18-Aug,3,15,75003.453,63.0,1190.531,PORT DE RADES
2,2,154910,18-Oct,3,15,61058.666,38.0,1606.807,PORT DE RADES
2,1,154910,19-Nov,3,15,157054.814,118.0,1330.9730000000002,PORT DE RADES
2,2,154910,18-Feb,3,15,8708.064,6.0,1451.344,PORT DE RADES
2,1,154910,18-Dec,3,15,159577.298,127.0,1256.5141574803151,PORT DE RADES
2,1,154910,19-Jan,3,15,131807.55,105.0,1255.31,PORT DE RADES
2,2,154910,19-Sep,3,15,55068.387,33.0,1668.739,PORT DE RADES
2,1,154910,18-Feb,3,15,18358.487,17.0,1079.911,PORT DE RADES
2,1,154910,18-Apr,3,15,86560.243,77.0,1124.159,PORT DE RADES
1,1,154910,18-Apr,3,15,5620.795,5.0,1124.159,PORT DE RADES
2,2,154910,18-Jun,3,15,36218.814,24.0,1509.11725,PORT DE RADES
2,1,154910,19-Aug,3,15,129104.381,97.0,1330.973,PORT DE RADES
2,2,154910,19-Jul,3,15,56777.045,34.0,1669.913088235294,PORT DE RADES
2,2,154910,18-Apr,3,15,35840.664,24.0,1493.3609999999999,PORT DE RADES
2,1,154910,18-Jul,3,15,86908.763,73.0,1190.5310000000002,PORT DE RADES
2,2,154910,19-Apr,3,15,58479.4,35.0,1670.8400000000001,PORT DE RADES
2,1,154910,19-Dec,3,15,25288.487,19.0,1330.973,PORT DE RADES
2,2,154910,18-Jul,3,15,31127.72,20.0,1556.386,PORT DE RADES
2,2,154910,19-Feb,3,15,44948.232,28.0,1605.294,PORT DE RADES
2,2,154910,19-May,3,15,80200.32,48.0,1670.8400000000001,PORT DE RADES
2,1,154910,18-Sep,3,15,128204.106,102.0,1256.903,PORT DE RADES
2,1,154910,19-Oct,3,15,146407.03,110.0,1330.973,PORT DE RADES
2,2,154910,19-Nov,3,15,56737.126,34.0,1668.7389999999998,PORT DE RADES
2,2,154910,18-Mar,3,15,29026.88,20.0,1451.344,PORT DE RADES
3,1,154910,18-Aug,3,15,5952.655,5.0,1190.531,PORT DE RADES
2,2,154910,19-Aug,3,15,46724.692,28.0,1668.739,PORT DE RADES
2,2,154910,18-Dec,3,15,56226.141,35.0,1606.4611714285716,PORT DE RADES
3,2,154910,18-Aug,3,15,7781.93,5.0,1556.386,PORT DE RADES
