NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,1,153900,18-Feb,17,67,328292.944,304.0,1079.911,PORT DE SFAX
3,1,153900,18-Aug,17,67,15476.903,13.0,1190.531,PORT DE SFAX
1,3,153900,18-Jun,17,67,40403.986,29.0,1393.240896551724,PORT DE SFAX
1,6,153900,19-Sep,17,67,49761.408,32.0,1555.044,PORT DE SFAX
2,1,153900,19-Jun,17,67,69325.672,52.0,1333.1860000000001,PORT DE SFAX
1,2,153900,19-Dec,17,67,108468.035,65.0,1668.739,PORT DE SFAX
1,1,153900,19-Jul,17,67,255688.448,192.0,1331.7106666666666,PORT DE SFAX
1,2,153900,19-Oct,17,67,120149.208,72.0,1668.739,PORT DE SFAX
1,6,153900,19-Oct,17,67,49761.408,32.0,1555.044,PORT DE SFAX
3,3,153900,18-Apr,17,67,2740.708,2.0,1370.354,PORT DE SFAX
1,1,153900,18-Nov,17,67,382098.512,304.0,1256.903,PORT DE SFAX
2,2,153900,18-Oct,17,67,4820.421,3.0,1606.807,PORT DE SFAX
1,2,153900,19-Aug,17,67,128492.903,77.0,1668.739,PORT DE SFAX
1,1,153900,18-Mar,17,67,399567.07,370.0,1079.911,PORT DE SFAX
1,2,153900,18-May,17,67,80641.494,54.0,1493.361,PORT DE SFAX
1,2,153900,18-Dec,17,67,102803.875,64.0,1606.310546875,PORT DE SFAX
1,3,153900,19-Jan,17,67,34229.29,23.0,1488.23,PORT DE SFAX
3,3,153900,18-Aug,17,67,7183.63,5.0,1436.726,PORT DE SFAX
2,1,153900,18-Oct,17,67,30165.672,24.0,1256.903,PORT DE SFAX
1,3,153900,19-Feb,17,67,40182.21,27.0,1488.23,PORT DE SFAX
1,1,153900,18-Jan,17,67,333692.499,309.0,1079.911,PORT DE SFAX
1,1,153900,18-Apr,17,67,323757.792,288.0,1124.159,PORT DE SFAX
1,1,153900,18-Sep,17,67,445864.54,356.0,1252.4284831460673,PORT DE SFAX
1,1,153900,19-Jan,17,67,348976.18,278.0,1255.31,PORT DE SFAX
1,1,153900,18-Dec,17,67,271333.341,216.0,1256.172875,PORT DE SFAX
2,1,153900,18-Jul,17,67,8333.717,7.0,1190.5310000000002,PORT DE SFAX
1,1,153900,19-Apr,17,67,466615.1,350.0,1333.186,PORT DE SFAX
1,6,153900,19-Aug,17,67,71532.024,46.0,1555.044,PORT DE SFAX
2,1,153900,19-Sep,17,67,6654.865,5.0,1330.973,PORT DE SFAX
1,1,153900,19-Oct,17,67,404615.792,304.0,1330.973,PORT DE SFAX
1,3,153900,18-Mar,17,67,34478.756,26.0,1326.106,PORT DE SFAX
2,2,153900,19-Jan,17,67,17658.234,11.0,1605.294,PORT DE SFAX
1,1,153900,18-Aug,17,67,317871.777,267.0,1190.531,PORT DE SFAX
4,1,153900,18-Jul,17,67,13095.841,11.0,1190.531,PORT DE SFAX
1,1,153900,18-Jun,17,67,401420.29,350.0,1146.9151142857143,PORT DE SFAX
1,3,153900,18-Oct,17,67,44694.69,30.0,1489.823,PORT DE SFAX
3,3,153900,19-Jan,17,67,5952.92,4.0,1488.23,PORT DE SFAX
1,6,153900,19-Jun,17,67,60733.023,39.0,1557.257,PORT DE SFAX
2,1,153900,19-Jul,17,67,34662.836,26.0,1333.1860000000001,PORT DE SFAX
1,2,153900,19-Nov,17,67,121817.947,73.0,1668.739,PORT DE SFAX
2,1,153900,19-Jan,17,67,61510.19,49.0,1255.31,PORT DE SFAX
2,2,153900,18-Aug,17,67,4669.158,3.0,1556.3860000000002,PORT DE SFAX
1,1,153900,19-Jun,17,67,90656.648,68.0,1333.186,PORT DE SFAX
1,2,153900,19-Apr,17,67,118629.64,71.0,1670.84,PORT DE SFAX
1,6,153900,19-Mar,17,67,47623.36,32.0,1488.23,PORT DE SFAX
1,6,153900,19-Jul,17,67,49790.177,32.0,1555.94303125,PORT DE SFAX
4,3,153900,18-Mar,17,67,5304.424,4.0,1326.106,PORT DE SFAX
1,1,153900,18-Oct,17,67,429860.826,342.0,1256.903,PORT DE SFAX
1,1,153900,19-Sep,17,67,316771.574,238.0,1330.9730000000002,PORT DE SFAX
1,2,153900,18-Apr,17,67,80641.494,54.0,1493.361,PORT DE SFAX
1,3,153900,18-May,17,67,38369.912,28.0,1370.3539999999998,PORT DE SFAX
