NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,3,154280,18-May,17,67,58925.222,43.0,1370.354,POUDRIERE SFAX2
1,2,154280,18-Jun,17,67,131308.957,87.0,1509.298356321839,POUDRIERE SFAX2
1,3,154280,18-Sep,17,67,56613.274,38.0,1489.8229999999999,POUDRIERE SFAX2
1,3,154280,18-Oct,17,67,62572.566,42.0,1489.8229999999999,POUDRIERE SFAX2
1,1,154280,19-May,17,67,157315.948,118.0,1333.186,POUDRIERE SFAX2
4,6,154280,19-Sep,17,67,7775.22,5.0,1555.044,POUDRIERE SFAX2
1,2,154280,18-Feb,17,67,110302.144,76.0,1451.344,POUDRIERE SFAX2
1,1,154280,18-Mar,17,67,158746.917,147.0,1079.9109999999998,POUDRIERE SFAX2
3,1,154280,18-Aug,17,67,20239.027,17.0,1190.531,POUDRIERE SFAX2
1,1,154280,19-Feb,17,67,131807.55,105.0,1255.31,POUDRIERE SFAX2
1,2,154280,19-Aug,17,67,238629.677,143.0,1668.739,POUDRIERE SFAX2
1,1,154280,19-Jul,17,67,126517.677,95.0,1331.7650210526315,POUDRIERE SFAX2
1,6,154280,19-Dec,17,67,71532.024,46.0,1555.044,POUDRIERE SFAX2
1,2,154280,18-Apr,17,67,117975.519,79.0,1493.361,POUDRIERE SFAX2
1,3,154280,18-Apr,17,67,58925.222,43.0,1370.354,POUDRIERE SFAX2
1,2,154280,18-Nov,17,67,109262.876,68.0,1606.807,POUDRIERE SFAX2
1,2,154280,18-Jul,17,67,155638.6,100.0,1556.386,POUDRIERE SFAX2
1,6,154280,19-Mar,17,67,63993.89,43.0,1488.23,POUDRIERE SFAX2
1,6,154280,19-Aug,17,67,73087.068,47.0,1555.044,POUDRIERE SFAX2
1,2,154280,19-Jul,17,67,207053.898,124.0,1669.7894999999999,POUDRIERE SFAX2
1,2,154280,18-Mar,17,67,133523.648,92.0,1451.3439999999998,POUDRIERE SFAX2
1,2,154280,18-Dec,17,67,163839.846,102.0,1606.273,POUDRIERE SFAX2
1,3,154280,18-Nov,17,67,55123.451,37.0,1489.823,POUDRIERE SFAX2
1,2,154280,19-Feb,17,67,163739.988,102.0,1605.294,POUDRIERE SFAX2
1,2,154280,19-Jun,17,67,198829.96,119.0,1670.84,POUDRIERE SFAX2
1,1,154280,19-Apr,17,67,178646.924,134.0,1333.186,POUDRIERE SFAX2
1,1,154280,19-Aug,17,67,177019.409,133.0,1330.9730000000002,POUDRIERE SFAX2
1,1,154280,18-Jan,17,67,130669.231,121.0,1079.911,POUDRIERE SFAX2
1,2,154280,19-Jan,17,67,144476.46,90.0,1605.2939999999999,POUDRIERE SFAX2
3,3,154280,19-Jan,17,67,8929.38,6.0,1488.2299999999998,POUDRIERE SFAX2
2,1,154280,18-Jul,17,67,13095.841,11.0,1190.531,POUDRIERE SFAX2
4,2,154280,18-Nov,17,67,9640.842,6.0,1606.807,POUDRIERE SFAX2
1,3,154280,19-Feb,17,67,68458.58,46.0,1488.23,POUDRIERE SFAX2
1,6,154280,19-Jun,17,67,74748.336,48.0,1557.2569999999998,POUDRIERE SFAX2
1,1,154280,19-Sep,17,67,165040.652,124.0,1330.973,POUDRIERE SFAX2
1,2,154280,19-May,17,67,182121.56,109.0,1670.84,POUDRIERE SFAX2
1,3,154280,18-Feb,17,67,42435.392,32.0,1326.106,POUDRIERE SFAX2
3,3,154280,18-Feb,17,67,11934.954,9.0,1326.106,POUDRIERE SFAX2
1,1,154280,18-Apr,17,67,134899.08,120.0,1124.1589999999999,POUDRIERE SFAX2
4,3,154280,18-Aug,17,67,5746.904,4.0,1436.726,POUDRIERE SFAX2
1,2,154280,19-Mar,17,67,184608.81,115.0,1605.2939999999999,POUDRIERE SFAX2
2,1,154280,19-Jan,17,67,17574.34,14.0,1255.31,POUDRIERE SFAX2
2,1,154280,18-Oct,17,67,11312.127,9.0,1256.903,POUDRIERE SFAX2
1,2,154280,19-Sep,17,67,175217.595,105.0,1668.739,POUDRIERE SFAX2
2,1,154280,19-Sep,17,67,3992.919,3.0,1330.973,POUDRIERE SFAX2
1,2,154280,19-Dec,17,67,165205.161,99.0,1668.739,POUDRIERE SFAX2
1,2,154280,18-Jan,17,67,110302.144,76.0,1451.344,POUDRIERE SFAX2
1,1,154280,18-Feb,17,67,117710.299,109.0,1079.911,POUDRIERE SFAX2
1,2,154280,18-May,17,67,114988.797,77.0,1493.361,POUDRIERE SFAX2
1,1,154280,18-May,17,67,124781.649,111.0,1124.159,POUDRIERE SFAX2
2,2,154280,19-Jan,17,67,28895.292,18.0,1605.294,POUDRIERE SFAX2
