NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
3,6,155810,19-Oct,6,7,24880.704,16.0,1555.044,RAF RAF
3,2,155810,19-Aug,6,7,185230.029,111.0,1668.739,RAF RAF
3,1,155810,19-Oct,6,7,99822.975,75.0,1330.9730000000002,RAF RAF
3,2,155810,19-Sep,6,7,140174.076,84.0,1668.739,RAF RAF
3,6,155810,19-Nov,6,7,31100.88,20.0,1555.044,RAF RAF
3,6,155810,19-Sep,6,7,43541.232,28.0,1555.044,RAF RAF
3,2,155810,19-Oct,6,7,83436.95,50.0,1668.739,RAF RAF
3,6,155810,19-Dec,6,7,31100.88,20.0,1555.044,RAF RAF
2,1,155810,19-Oct,6,7,21295.568,16.0,1330.973,RAF RAF
3,1,155810,19-Dec,6,7,127773.408,96.0,1330.973,RAF RAF
3,6,155810,19-Aug,6,7,71532.024,46.0,1555.044,RAF RAF
3,2,155810,19-Dec,6,7,96786.862,58.0,1668.7389999999998,RAF RAF
2,2,155810,19-Oct,6,7,18356.129,11.0,1668.739,RAF RAF
3,1,155810,19-Sep,6,7,117125.624,88.0,1330.973,RAF RAF
3,1,155810,19-Nov,6,7,121118.543,91.0,1330.973,RAF RAF
2,6,155810,19-Oct,6,7,7775.22,5.0,1555.044,RAF RAF
3,1,155810,19-Aug,6,7,114463.678,86.0,1330.973,RAF RAF
3,2,155810,19-Nov,6,7,101793.079,61.0,1668.739,RAF RAF
