NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
3,2,155710,18-Jan,6,5,87080.64,60.0,1451.344,RAS DJEBEL
3,1,155710,18-Mar,6,5,163066.561,151.0,1079.9109999999998,RAS DJEBEL
2,2,155710,19-Feb,6,5,12842.352,8.0,1605.294,RAS DJEBEL
3,1,155710,19-Mar,6,5,150637.2,120.0,1255.3100000000002,RAS DJEBEL
2,2,155710,19-Jul,6,5,13366.72,8.0,1670.84,RAS DJEBEL
3,3,155710,19-Jan,6,5,58040.97,39.0,1488.23,RAS DJEBEL
3,3,155710,18-Jun,6,5,46592.036,34.0,1370.354,RAS DJEBEL
3,2,155710,18-Jun,6,5,29571.334,19.0,1556.386,RAS DJEBEL
3,1,155710,19-May,6,5,202644.272,152.0,1333.186,RAS DJEBEL
3,2,155710,18-May,6,5,176216.598,118.0,1493.3609999999999,RAS DJEBEL
3,3,155710,18-May,6,5,87702.656,64.0,1370.354,RAS DJEBEL
3,1,155710,18-Feb,6,5,105831.278,98.0,1079.911,RAS DJEBEL
3,1,155710,18-May,6,5,222583.482,198.0,1124.1589999999999,RAS DJEBEL
3,2,155710,18-Apr,6,5,188163.486,126.0,1493.361,RAS DJEBEL
3,2,155710,18-Oct,6,5,106049.262,66.0,1606.807,RAS DJEBEL
3,1,155710,18-Sep,6,5,179073.409,143.0,1252.2616013986014,RAS DJEBEL
3,1,155710,19-Feb,6,5,139339.41,111.0,1255.31,RAS DJEBEL
3,6,155710,19-Aug,6,5,101077.86,65.0,1555.044,RAS DJEBEL
3,6,155710,19-Sep,6,5,74642.112,48.0,1555.0439999999999,RAS DJEBEL
3,3,155710,18-Feb,6,5,47739.816,36.0,1326.106,RAS DJEBEL
3,2,155710,18-Mar,6,5,130620.96,90.0,1451.344,RAS DJEBEL
3,1,155710,18-Jul,6,5,176198.588,148.0,1190.531,RAS DJEBEL
3,3,155710,18-Aug,6,5,96260.642,67.0,1436.726,RAS DJEBEL
3,1,155710,18-Nov,6,5,178480.226,142.0,1256.903,RAS DJEBEL
3,3,155710,18-Sep,6,5,66935.841,45.0,1487.4631333333334,RAS DJEBEL
3,2,155710,19-Mar,6,5,91501.758,57.0,1605.294,RAS DJEBEL
3,1,155710,19-Sep,6,5,165040.652,124.0,1330.973,RAS DJEBEL
