NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
3,2,155920,19-Jun,6,1,16708.4,10.0,1670.8400000000001,RAS INGELA
3,2,155920,19-Sep,6,1,8343.695,5.0,1668.739,RAS INGELA
3,1,155920,19-Aug,6,1,30612.379,23.0,1330.973,RAS INGELA
3,2,155920,19-Oct,6,1,8343.695,5.0,1668.739,RAS INGELA
3,1,155920,19-Jul,6,1,29303.536,22.0,1331.9789090909092,RAS INGELA
3,6,155920,19-Oct,6,1,13995.396,9.0,1555.044,RAS INGELA
3,6,155920,19-Jun,6,1,18687.084,12.0,1557.2569999999998,RAS INGELA
3,1,155920,19-Oct,6,1,42591.136,32.0,1330.973,RAS INGELA
3,6,155920,19-Aug,6,1,21770.616,14.0,1555.044,RAS INGELA
3,1,155920,19-Sep,6,1,31943.352,24.0,1330.973,RAS INGELA
3,6,155920,19-Dec,6,1,9330.264,6.0,1555.0439999999999,RAS INGELA
3,6,155920,19-Jul,6,1,15559.292,10.0,1555.9292,RAS INGELA
3,1,155920,19-Nov,6,1,30612.379,23.0,1330.973,RAS INGELA
3,2,155920,19-Nov,6,1,10012.434,6.0,1668.7389999999998,RAS INGELA
3,1,155920,19-Dec,6,1,22626.541,17.0,1330.973,RAS INGELA
3,1,155920,19-Jun,6,1,18664.604,14.0,1333.186,RAS INGELA
3,2,155920,19-Jul,6,1,15029.156,9.0,1669.9062222222224,RAS INGELA
3,2,155920,19-Aug,6,1,26699.824,16.0,1668.739,RAS INGELA
3,6,155920,19-Nov,6,1,9330.264,6.0,1555.0439999999999,RAS INGELA
3,2,155920,19-Dec,6,1,5006.217,3.0,1668.7389999999998,RAS INGELA
3,6,155920,19-Sep,6,1,9330.264,6.0,1555.0439999999999,RAS INGELA
