NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,1,153930,18-Jan,13,19,116630.388,108.0,1079.911,REGUEB
3,3,153930,18-Aug,13,19,7183.63,5.0,1436.726,REGUEB
1,2,153930,18-Oct,13,19,16068.07,10.0,1606.807,REGUEB
1,6,153930,19-May,13,19,20244.341,13.0,1557.257,REGUEB
1,6,153930,19-Nov,13,19,21770.616,14.0,1555.044,REGUEB
1,1,153930,19-Sep,13,19,79858.38,60.0,1330.9730000000002,REGUEB
1,6,153930,19-Mar,13,19,28276.37,19.0,1488.23,REGUEB
2,1,153930,19-Jul,13,19,13331.86,10.0,1333.1860000000001,REGUEB
1,2,153930,18-Apr,13,19,14933.61,10.0,1493.361,REGUEB
1,3,153930,18-Dec,13,19,29786.902,20.0,1489.3451,REGUEB
2,1,153930,18-Dec,13,19,12569.03,10.0,1256.903,REGUEB
1,2,153930,19-Jan,13,19,25684.704,16.0,1605.294,REGUEB
1,1,153930,18-Nov,13,19,89240.113,71.0,1256.903,REGUEB
4,2,153930,18-Nov,13,19,4820.421,3.0,1606.807,REGUEB
1,1,153930,19-Feb,13,19,71552.67,57.0,1255.31,REGUEB
1,2,153930,19-Feb,13,19,25684.704,16.0,1605.294,REGUEB
1,2,153930,19-Aug,13,19,45055.953,27.0,1668.739,REGUEB
1,1,153930,19-Nov,13,19,121118.543,91.0,1330.973,REGUEB
1,3,153930,18-Mar,13,19,19891.59,15.0,1326.106,REGUEB
1,6,153930,19-Aug,13,19,20215.572,13.0,1555.044,REGUEB
1,1,153930,19-May,13,19,85323.904,64.0,1333.186,REGUEB
1,2,153930,19-Oct,13,19,45055.953,27.0,1668.739,REGUEB
1,3,153930,19-Jan,13,19,25299.91,17.0,1488.23,REGUEB
1,1,153930,18-Jul,13,19,85718.232,72.0,1190.531,REGUEB
1,3,153930,18-Sep,13,19,20857.522,14.0,1489.823,REGUEB
2,1,153930,18-Oct,13,19,8798.321,7.0,1256.903,REGUEB
1,3,153930,19-Feb,13,19,14882.3,10.0,1488.23,REGUEB
1,1,153930,19-Aug,13,19,99822.975,75.0,1330.9730000000002,REGUEB
1,6,153930,19-Oct,13,19,26435.748,17.0,1555.0439999999999,REGUEB
1,1,153930,19-Dec,13,19,163709.679,123.0,1330.973,REGUEB
1,1,153930,18-Mar,13,19,104751.367,97.0,1079.911,REGUEB
2,1,153930,19-Jan,13,19,8787.17,7.0,1255.31,REGUEB
1,1,153930,18-Aug,13,19,84527.701,71.0,1190.531,REGUEB
1,3,153930,18-Jun,13,19,23495.134,17.0,1382.0667058823528,REGUEB
1,1,153930,18-Sep,13,19,93935.865,75.0,1252.4782,REGUEB
2,2,153930,18-Oct,13,19,4820.421,3.0,1606.807,REGUEB
1,2,153930,18-Nov,13,19,11247.649,7.0,1606.807,REGUEB
1,1,153930,19-Apr,13,19,65326.114,49.0,1333.186,REGUEB
1,6,153930,19-Jul,13,19,21788.32,14.0,1556.3085714285714,REGUEB
1,3,153930,18-Apr,13,19,20555.31,15.0,1370.354,REGUEB
1,3,153930,18-Aug,13,19,17240.712,12.0,1436.7259999999999,REGUEB
1,2,153930,18-Jun,13,19,19539.743,13.0,1503.0571538461538,REGUEB
1,6,153930,19-Dec,13,19,24880.704,16.0,1555.044,REGUEB
3,3,153930,18-Feb,13,19,5304.424,4.0,1326.106,REGUEB
1,2,153930,18-Aug,13,19,29571.334,19.0,1556.386,REGUEB
1,1,153930,18-Jun,13,19,110370.863,97.0,1137.8439484536082,REGUEB
1,3,153930,18-Oct,13,19,20857.522,14.0,1489.823,REGUEB
2,2,153930,19-Jan,13,19,6421.176,4.0,1605.294,REGUEB
1,6,153930,19-Apr,13,19,24916.112,16.0,1557.257,REGUEB
1,1,153930,19-Mar,13,19,90382.32,72.0,1255.3100000000002,REGUEB
1,2,153930,18-Mar,13,19,15964.784,11.0,1451.344,REGUEB
1,1,153930,18-May,13,19,110167.582,98.0,1124.1589999999999,REGUEB
1,2,153930,19-May,13,19,33416.8,20.0,1670.8400000000001,REGUEB
1,1,153930,19-Oct,13,19,70541.569,53.0,1330.973,REGUEB
1,2,153930,19-Dec,13,19,43387.214,26.0,1668.739,REGUEB
1,3,153930,18-Jan,13,19,17239.378,13.0,1326.106,REGUEB
1,3,153930,18-May,13,19,19184.956,14.0,1370.3539999999998,REGUEB
1,2,153930,18-Jul,13,19,26458.562,17.0,1556.3860000000002,REGUEB
1,3,153930,18-Jul,13,19,27297.794,19.0,1436.726,REGUEB
1,1,153930,18-Oct,13,19,64102.053,51.0,1256.903,REGUEB
4,3,153930,18-Nov,13,19,5959.292,4.0,1489.823,REGUEB
1,2,153930,19-Jun,13,19,38429.32,23.0,1670.84,REGUEB
1,2,153930,18-Dec,13,19,27306.641,17.0,1606.273,REGUEB
