NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
4,3,153350,18-Mar,16,8,7956.636,6.0,1326.106,REJICHE
2,2,153350,18-Jul,16,8,15563.86,10.0,1556.386,REJICHE
1,1,153350,18-Aug,16,8,116672.038,98.0,1190.531,REJICHE
1,2,153350,19-Mar,16,8,120397.05,75.0,1605.294,REJICHE
1,6,153350,19-Mar,16,8,58040.97,39.0,1488.23,REJICHE
1,6,153350,19-Aug,16,8,119738.388,77.0,1555.044,REJICHE
1,3,153350,18-Mar,16,8,50392.028,38.0,1326.106,REJICHE
2,1,153350,18-Dec,16,8,6284.515,5.0,1256.903,REJICHE
1,3,153350,19-Jan,16,8,50599.82,34.0,1488.23,REJICHE
1,2,153350,18-Jul,16,8,140074.74,90.0,1556.386,REJICHE
1,3,153350,18-Aug,16,8,86203.56,60.0,1436.7259999999999,REJICHE
3,3,153350,18-Aug,16,8,11493.808,8.0,1436.726,REJICHE
1,3,153350,18-Sep,16,8,58103.097,39.0,1489.823,REJICHE
1,1,153350,18-Nov,16,8,91753.919,73.0,1256.903,REJICHE
4,3,153350,18-Nov,16,8,4469.469,3.0,1489.823,REJICHE
1,2,153350,19-Feb,16,8,78659.406,49.0,1605.294,REJICHE
1,2,153350,19-Dec,16,8,106799.296,64.0,1668.739,REJICHE
1,6,153350,19-May,16,8,57618.509,37.0,1557.257,REJICHE
1,1,153350,18-Jun,16,8,102041.311,89.0,1146.531584269663,REJICHE
1,1,153350,19-Jul,16,8,55936.274,42.0,1331.8160476190476,REJICHE
1,2,153350,18-Jan,16,8,92886.016,64.0,1451.344,REJICHE
1,2,153350,18-Mar,16,8,94337.36,65.0,1451.344,REJICHE
1,1,153350,18-Apr,16,8,112415.9,100.0,1124.1589999999999,REJICHE
1,1,153350,19-Jan,16,8,48957.09,39.0,1255.31,REJICHE
2,1,153350,18-Aug,16,8,14286.372,12.0,1190.531,REJICHE
1,2,153350,18-Oct,16,8,36956.561,23.0,1606.807,REJICHE
1,1,153350,19-Mar,16,8,96658.87,77.0,1255.31,REJICHE
1,1,153350,19-Oct,16,8,85182.272,64.0,1330.973,REJICHE
1,1,153350,19-Nov,16,8,91837.137,69.0,1330.973,REJICHE
3,3,153350,18-Feb,16,8,7956.636,6.0,1326.106,REJICHE
1,1,153350,18-Jan,16,8,114470.566,106.0,1079.911,REJICHE
1,3,153350,18-Jan,16,8,46413.71,35.0,1326.106,REJICHE
4,1,153350,18-Jul,16,8,7143.186,6.0,1190.531,REJICHE
1,1,153350,18-Oct,16,8,96781.531,77.0,1256.903,REJICHE
1,3,153350,18-Oct,16,8,44694.69,30.0,1489.823,REJICHE
1,1,153350,19-Feb,16,8,84105.77,67.0,1255.3100000000002,REJICHE
1,1,153350,19-Dec,16,8,114463.678,86.0,1330.973,REJICHE
1,3,153350,18-Jun,16,8,55743.368,40.0,1393.5842,REJICHE
2,2,153350,18-Oct,16,8,4820.421,3.0,1606.807,REJICHE
1,1,153350,19-Sep,16,8,109139.786,82.0,1330.973,REJICHE
1,1,153350,18-May,16,8,93305.197,83.0,1124.159,REJICHE
1,3,153350,18-Jul,16,8,68962.848,48.0,1436.7259999999999,REJICHE
2,2,153350,18-Aug,16,8,21789.404,14.0,1556.386,REJICHE
1,3,153350,18-Nov,16,8,55123.451,37.0,1489.823,REJICHE
1,3,153350,18-Apr,16,8,41110.62,30.0,1370.354,REJICHE
3,3,153350,18-Apr,16,8,5481.416,4.0,1370.354,REJICHE
3,2,153350,18-Aug,16,8,24902.176,16.0,1556.386,REJICHE
1,2,153350,19-May,16,8,98579.56,59.0,1670.84,REJICHE
1,1,153350,19-Jun,16,8,21330.976,16.0,1333.186,REJICHE
1,2,153350,18-Sep,16,8,121915.648,76.0,1604.1532631578948,REJICHE
2,1,153350,19-Jan,16,8,6276.55,5.0,1255.31,REJICHE
2,2,153350,19-Jan,16,8,8026.47,5.0,1605.294,REJICHE
1,3,153350,19-Feb,16,8,47623.36,32.0,1488.23,REJICHE
2,1,153350,19-Jun,16,8,21330.976,16.0,1333.186,REJICHE
1,2,153350,19-Aug,16,8,273673.196,164.0,1668.739,REJICHE
1,2,153350,19-Jul,16,8,192012.136,115.0,1669.6707478260869,REJICHE
1,2,153350,19-Nov,16,8,108468.035,65.0,1668.739,REJICHE
1,3,153350,18-May,16,8,47962.39,35.0,1370.354,REJICHE
1,1,153350,19-Aug,16,8,135759.246,102.0,1330.9730000000002,REJICHE
1,2,153350,18-Apr,16,8,83628.216,56.0,1493.361,REJICHE
1,2,153350,18-Aug,16,8,258360.076,166.0,1556.386,REJICHE
2,1,153350,18-Nov,16,8,3770.709,3.0,1256.903,REJICHE
1,1,153350,19-May,16,8,63992.928,48.0,1333.186,REJICHE
1,2,153350,19-Oct,16,8,98455.601,59.0,1668.7389999999998,REJICHE
1,3,153350,18-Feb,16,8,38457.074,29.0,1326.106,REJICHE
1,1,153350,18-Mar,16,8,122029.943,113.0,1079.911,REJICHE
1,1,153350,18-Dec,16,8,48996.915,39.0,1256.331153846154,REJICHE
2,6,153350,19-Jun,16,8,7786.285,5.0,1557.257,REJICHE
1,2,153350,19-Sep,16,8,160198.944,96.0,1668.7389999999998,REJICHE
1,1,153350,18-Feb,16,8,93952.257,87.0,1079.911,REJICHE
1,1,153350,19-Apr,16,8,111987.624,84.0,1333.186,REJICHE
1,6,153350,19-Apr,16,8,70076.565,45.0,1557.257,REJICHE
1,6,153350,19-Oct,16,8,59091.672,38.0,1555.0439999999999,REJICHE
1,2,153350,18-Dec,16,8,77101.015,48.0,1606.2711458333333,REJICHE
1,2,153350,19-Jan,16,8,85080.582,53.0,1605.2939999999999,REJICHE
4,3,153350,18-Jul,16,8,2873.452,2.0,1436.726,REJICHE
1,2,153350,18-Nov,16,8,32136.14,20.0,1606.807,REJICHE
4,2,153350,18-Nov,16,8,4820.421,3.0,1606.807,REJICHE
1,6,153350,19-Jun,16,8,57618.509,37.0,1557.257,REJICHE
1,2,153350,19-Jun,16,8,115287.96,69.0,1670.8400000000001,REJICHE
1,6,153350,19-Jul,16,8,93364.604,60.0,1556.0767333333336,REJICHE
1,6,153350,19-Nov,16,8,59091.672,38.0,1555.0439999999999,REJICHE
1,2,153350,18-Feb,16,8,85629.296,59.0,1451.344,REJICHE
1,2,153350,18-May,16,8,59734.44,40.0,1493.361,REJICHE
1,3,153350,18-Dec,16,8,49151.415,33.0,1489.4368181818181,REJICHE
1,1,153350,18-Jul,16,8,117862.569,99.0,1190.531,REJICHE
1,2,153350,18-Jun,16,8,71196.367,47.0,1514.8163191489361,REJICHE
1,1,153350,18-Sep,16,8,110607.464,88.0,1256.903,REJICHE
2,1,153350,18-Oct,16,8,6284.515,5.0,1256.903,REJICHE
1,6,153350,19-Sep,16,8,73087.068,47.0,1555.044,REJICHE
1,2,153350,19-Apr,16,8,128654.68,77.0,1670.84,REJICHE
1,6,153350,19-Dec,16,8,55981.584,36.0,1555.044,REJICHE
