NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
4,1,153220,18-Dec,23,62,22624.254,18.0,1256.903,REMADA
1,1,153220,19-Jul,23,62,51945.568,39.0,1331.937641025641,REMADA
4,6,153220,19-Nov,23,62,13995.396,9.0,1555.044,REMADA
2,1,153220,18-Aug,23,62,20239.027,17.0,1190.531,REMADA
4,1,153220,18-Jun,23,62,26585.749,23.0,1155.9021304347825,REMADA
1,1,153220,19-May,23,62,61326.556,46.0,1333.186,REMADA
1,6,153220,19-Oct,23,62,3110.088,2.0,1555.044,REMADA
4,2,153220,18-Jan,23,62,42088.976,29.0,1451.344,REMADA
1,2,153220,18-Jul,23,62,42022.422,27.0,1556.386,REMADA
4,1,153220,19-Jan,23,62,12553.1,10.0,1255.31,REMADA
1,2,153220,19-Aug,23,62,60074.604,36.0,1668.739,REMADA
1,1,153220,18-Jul,23,62,40478.054,34.0,1190.531,REMADA
3,1,153220,19-Jan,23,62,13808.41,11.0,1255.31,REMADA
4,1,153220,19-Oct,23,62,63886.704,48.0,1330.973,REMADA
1,2,153220,19-Jun,23,62,45112.68,27.0,1670.84,REMADA
4,6,153220,19-Oct,23,62,7775.22,5.0,1555.044,REMADA
4,1,153220,18-Jan,23,62,152267.451,141.0,1079.911,REMADA
1,2,153220,19-Jan,23,62,35316.468,22.0,1605.294,REMADA
1,3,153220,18-Dec,23,62,0.0,0.0,,REMADA
1,1,153220,18-Jun,23,62,83855.651,73.0,1148.7075479452055,REMADA
1,1,153220,19-Sep,23,62,58562.812,44.0,1330.973,REMADA
1,2,153220,19-May,23,62,100250.4,60.0,1670.84,REMADA
1,1,153220,19-Jun,23,62,22664.162,17.0,1333.186,REMADA
4,2,153220,19-Mar,23,62,27289.998,17.0,1605.2939999999999,REMADA
1,2,153220,19-Mar,23,62,14447.646,9.0,1605.294,REMADA
4,1,153220,18-Mar,23,62,165226.383,153.0,1079.911,REMADA
1,1,153220,18-Feb,23,62,8639.288,8.0,1079.911,REMADA
2,2,153220,18-Aug,23,62,18676.632,12.0,1556.3860000000002,REMADA
1,1,153220,18-Oct,23,62,75414.18,60.0,1256.9029999999998,REMADA
4,1,153220,19-Feb,23,62,62765.5,50.0,1255.31,REMADA
