NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
2,2,152970,18-Jul,10,48,3112.772,2.0,1556.386,ROUHIA
3,3,152970,18-Jul,10,48,4310.178,3.0,1436.7259999999999,ROUHIA
2,1,152970,18-Jun,10,48,6744.954,6.0,1124.1589999999999,ROUHIA
2,1,152970,19-Jan,10,48,5021.24,4.0,1255.31,ROUHIA
2,1,152970,18-Jul,10,48,16667.434,14.0,1190.5310000000002,ROUHIA
3,1,152970,18-Oct,10,48,5027.612,4.0,1256.903,ROUHIA
3,1,152970,18-Jun,10,48,3372.477,3.0,1124.1589999999999,ROUHIA
2,1,152970,19-Feb,10,48,10042.48,8.0,1255.31,ROUHIA
2,1,152970,19-Aug,10,48,15971.676,12.0,1330.973,ROUHIA
2,6,152970,19-Nov,10,48,4665.132,3.0,1555.0439999999999,ROUHIA
2,1,152970,19-Dec,10,48,15971.676,12.0,1330.973,ROUHIA
3,1,152970,18-Aug,10,48,7143.186,6.0,1190.531,ROUHIA
2,2,152970,18-Nov,10,48,3213.614,2.0,1606.807,ROUHIA
1,1,152970,19-Apr,10,48,6665.93,5.0,1333.1860000000001,ROUHIA
2,1,152970,19-Sep,10,48,19964.595,15.0,1330.9730000000002,ROUHIA
3,1,152970,18-Feb,10,48,2159.822,2.0,1079.911,ROUHIA
3,3,152970,18-Oct,10,48,7449.115,5.0,1489.8229999999999,ROUHIA
1,1,152970,18-Oct,10,48,5027.612,4.0,1256.903,ROUHIA
3,3,152970,18-Dec,10,48,8934.159,6.0,1489.0265,ROUHIA
2,1,152970,19-Mar,10,48,10042.48,8.0,1255.31,ROUHIA
2,6,152970,19-Jul,10,48,4665.132,3.0,1555.0439999999999,ROUHIA
3,3,152970,18-Jan,10,48,2652.212,2.0,1326.106,ROUHIA
2,1,152970,19-Apr,10,48,9332.302,7.0,1333.186,ROUHIA
2,6,152970,19-Dec,10,48,4665.132,3.0,1555.0439999999999,ROUHIA
3,1,152970,18-Mar,10,48,3239.733,3.0,1079.911,ROUHIA
3,3,152970,18-Jun,10,48,5481.416,4.0,1370.354,ROUHIA
1,6,152970,19-Apr,10,48,4671.771,3.0,1557.2569999999998,ROUHIA
3,3,152970,18-Mar,10,48,2652.212,2.0,1326.106,ROUHIA
3,3,152970,18-Apr,10,48,5481.416,4.0,1370.354,ROUHIA
3,1,152970,18-Apr,10,48,3372.477,3.0,1124.1589999999999,ROUHIA
2,1,152970,18-Apr,10,48,5620.795,5.0,1124.159,ROUHIA
3,6,152970,19-Jun,10,48,4671.771,3.0,1557.2569999999998,ROUHIA
3,6,152970,19-Mar,10,48,4464.69,3.0,1488.2299999999998,ROUHIA
2,1,152970,19-Jul,10,48,10665.488,8.0,1333.186,ROUHIA
3,3,152970,18-Feb,10,48,2652.212,2.0,1326.106,ROUHIA
2,2,152970,18-Jan,10,48,4354.032,3.0,1451.344,ROUHIA
2,2,152970,18-May,10,48,2986.722,2.0,1493.361,ROUHIA
3,3,152970,18-Aug,10,48,4310.178,3.0,1436.7259999999999,ROUHIA
3,1,152970,19-Jan,10,48,7531.86,6.0,1255.31,ROUHIA
2,1,152970,18-Aug,10,48,9524.248,8.0,1190.531,ROUHIA
3,1,152970,18-Nov,10,48,5027.612,4.0,1256.903,ROUHIA
2,6,152970,19-Oct,10,48,7775.22,5.0,1555.044,ROUHIA
2,1,152970,19-Oct,10,48,7985.838,6.0,1330.973,ROUHIA
3,2,152970,18-Aug,10,48,6225.544,4.0,1556.386,ROUHIA
2,1,152970,18-Sep,10,48,3770.709,3.0,1256.903,ROUHIA
3,3,152970,18-May,10,48,4111.062,3.0,1370.354,ROUHIA
2,2,152970,18-Aug,10,48,3112.772,2.0,1556.386,ROUHIA
2,1,152970,18-Nov,10,48,10055.224,8.0,1256.903,ROUHIA
3,3,152970,19-Feb,10,48,5952.92,4.0,1488.23,ROUHIA
2,1,152970,19-Jun,10,48,7999.116,6.0,1333.186,ROUHIA
2,1,152970,19-May,10,48,11998.674,9.0,1333.1860000000001,ROUHIA
2,6,152970,19-Jun,10,48,6229.028,4.0,1557.257,ROUHIA
3,1,152970,18-Jan,10,48,2159.822,2.0,1079.911,ROUHIA
2,1,152970,18-May,10,48,12365.749,11.0,1124.1589999999999,ROUHIA
3,1,152970,18-Dec,10,48,8793.542,7.0,1256.2202857142856,ROUHIA
2,1,152970,19-Nov,10,48,14640.703,11.0,1330.973,ROUHIA
1,1,152970,18-Sep,10,48,16339.739,13.0,1256.903,ROUHIA
2,1,152970,18-Dec,10,48,5027.612,4.0,1256.903,ROUHIA
2,2,152970,18-Sep,10,48,3213.614,2.0,1606.807,ROUHIA
1,2,152970,18-Sep,10,48,3213.614,2.0,1606.807,ROUHIA
2,1,152970,18-Oct,10,48,6284.515,5.0,1256.903,ROUHIA
2,6,152970,19-Aug,10,48,6220.176,4.0,1555.044,ROUHIA
