NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
3,3,155700,18-Feb,17,67,9282.742,7.0,1326.106,Rte DE L'AEROPORT KM 9 
1,3,155700,19-Feb,17,67,63993.89,43.0,1488.23,Rte DE L'AEROPORT KM 9 
1,2,155700,19-Sep,17,67,88443.167,53.0,1668.739,Rte DE L'AEROPORT KM 9 
1,1,155700,19-Oct,17,67,185005.247,139.0,1330.973,Rte DE L'AEROPORT KM 9 
1,3,155700,18-Mar,17,67,45087.604,34.0,1326.106,Rte DE L'AEROPORT KM 9 
1,2,155700,18-Sep,17,67,59451.859,37.0,1606.807,Rte DE L'AEROPORT KM 9 
1,2,155700,19-Jun,17,67,90225.36,54.0,1670.84,Rte DE L'AEROPORT KM 9 
1,4,155700,19-Aug,17,67,12750.584,7.0,1821.5120000000002,Rte DE L'AEROPORT KM 9 
4,6,155700,19-Sep,17,67,6220.176,4.0,1555.044,Rte DE L'AEROPORT KM 9 
2,1,155700,18-Dec,17,67,25138.06,20.0,1256.903,Rte DE L'AEROPORT KM 9 
1,1,155700,18-Dec,17,67,105552.771,84.0,1256.5806071428572,Rte DE L'AEROPORT KM 9 
2,4,155700,18-Aug,17,67,10195.464,6.0,1699.244,Rte DE L'AEROPORT KM 9 
1,1,155700,18-Sep,17,67,129461.009,103.0,1256.903,Rte DE L'AEROPORT KM 9 
1,2,155700,19-May,17,67,80200.32,48.0,1670.8400000000001,Rte DE L'AEROPORT KM 9 
1,4,155700,19-Sep,17,67,7286.048,4.0,1821.512,Rte DE L'AEROPORT KM 9 
1,3,155700,18-Feb,17,67,39783.18,30.0,1326.106,Rte DE L'AEROPORT KM 9 
3,3,155700,18-Jan,17,67,6630.53,5.0,1326.106,Rte DE L'AEROPORT KM 9 
1,2,155700,18-Mar,17,67,62407.792,43.0,1451.344,Rte DE L'AEROPORT KM 9 
1,3,155700,18-May,17,67,58925.222,43.0,1370.354,Rte DE L'AEROPORT KM 9 
1,2,155700,19-Jan,17,67,59395.878,37.0,1605.2939999999999,Rte DE L'AEROPORT KM 9 
2,1,155700,19-Jul,17,67,45328.324,34.0,1333.186,Rte DE L'AEROPORT KM 9 
1,6,155700,19-Nov,17,67,83972.376,54.0,1555.044,Rte DE L'AEROPORT KM 9 
1,2,155700,19-Dec,17,67,95118.123,57.0,1668.739,Rte DE L'AEROPORT KM 9 
1,3,155700,18-Dec,17,67,55115.486,37.0,1489.6077297297297,Rte DE L'AEROPORT KM 9 
1,2,155700,19-Apr,17,67,86883.68,52.0,1670.84,Rte DE L'AEROPORT KM 9 
1,1,155700,19-Aug,17,67,158385.787,119.0,1330.9730000000002,Rte DE L'AEROPORT KM 9 
1,6,155700,19-Aug,17,67,87082.464,56.0,1555.044,Rte DE L'AEROPORT KM 9 
1,4,155700,19-Jun,17,67,5470.839,3.0,1823.613,Rte DE L'AEROPORT KM 9 
1,6,155700,19-Oct,17,67,73087.068,47.0,1555.044,Rte DE L'AEROPORT KM 9 
1,3,155700,18-Apr,17,67,50703.098,37.0,1370.354,Rte DE L'AEROPORT KM 9 
1,2,155700,18-Nov,17,67,46597.403,29.0,1606.807,Rte DE L'AEROPORT KM 9 
3,1,155700,18-Aug,17,67,16667.434,14.0,1190.5310000000002,Rte DE L'AEROPORT KM 9 
1,3,155700,18-Jun,17,67,62661.51,45.0,1392.478,Rte DE L'AEROPORT KM 9 
1,2,155700,18-Jun,17,67,62299.226,41.0,1519.4933170731708,Rte DE L'AEROPORT KM 9 
1,1,155700,19-Jun,17,67,65326.114,49.0,1333.186,Rte DE L'AEROPORT KM 9 
4,2,155700,19-Sep,17,67,6674.956,4.0,1668.739,Rte DE L'AEROPORT KM 9 
1,1,155700,18-May,17,67,141644.034,126.0,1124.159,Rte DE L'AEROPORT KM 9 
1,1,155700,19-Jan,17,67,100424.8,80.0,1255.31,Rte DE L'AEROPORT KM 9 
4,3,155700,18-Aug,17,67,7183.63,5.0,1436.726,Rte DE L'AEROPORT KM 9 
1,1,155700,18-Jun,17,67,126839.181,111.0,1142.6953243243242,Rte DE L'AEROPORT KM 9 
1,3,155700,18-Oct,17,67,59592.92,40.0,1489.8229999999999,Rte DE L'AEROPORT KM 9 
4,1,155700,18-Dec,17,67,17596.642,14.0,1256.903,Rte DE L'AEROPORT KM 9 
1,1,155700,19-May,17,67,142650.902,107.0,1333.186,Rte DE L'AEROPORT KM 9 
1,6,155700,19-Jul,17,67,68466.196,44.0,1556.049909090909,Rte DE L'AEROPORT KM 9 
1,1,155700,18-Aug,17,67,121434.162,102.0,1190.531,Rte DE L'AEROPORT KM 9 
3,4,155700,18-Sep,17,67,12247.648,7.0,1749.664,Rte DE L'AEROPORT KM 9 
