NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,1,154710,19-Jan,17,67,70297.36,56.0,1255.31,Rte SIDI MANSOUR
1,1,154710,18-Aug,17,67,88099.294,74.0,1190.531,Rte SIDI MANSOUR
1,1,154710,19-Jun,17,67,47994.696,36.0,1333.1860000000001,Rte SIDI MANSOUR
1,2,154710,19-Mar,17,67,197451.162,123.0,1605.294,Rte SIDI MANSOUR
4,6,154710,19-Sep,17,67,3110.088,2.0,1555.044,Rte SIDI MANSOUR
1,2,154710,19-Oct,17,67,218604.809,131.0,1668.739,Rte SIDI MANSOUR
3,2,154710,18-Aug,17,67,10894.702,7.0,1556.386,Rte SIDI MANSOUR
1,1,154710,19-Feb,17,67,48957.09,39.0,1255.31,Rte SIDI MANSOUR
1,1,154710,19-Sep,17,67,70541.569,53.0,1330.973,Rte SIDI MANSOUR
1,2,154710,19-Jan,17,67,158924.106,99.0,1605.294,Rte SIDI MANSOUR
1,2,154710,18-Sep,17,67,179710.279,112.0,1604.5560625,Rte SIDI MANSOUR
1,2,154710,18-Oct,17,67,165501.121,103.0,1606.8070000000002,Rte SIDI MANSOUR
2,1,154710,19-Jul,17,67,10665.488,8.0,1333.186,Rte SIDI MANSOUR
1,1,154710,18-Feb,17,67,60475.016,56.0,1079.911,Rte SIDI MANSOUR
3,3,154710,18-Aug,17,67,5746.904,4.0,1436.726,Rte SIDI MANSOUR
1,1,154710,18-Oct,17,67,64102.053,51.0,1256.903,Rte SIDI MANSOUR
4,1,154710,18-Dec,17,67,6284.515,5.0,1256.903,Rte SIDI MANSOUR
1,2,154710,19-Jul,17,67,253822.711,152.0,1669.8862565789475,Rte SIDI MANSOUR
1,6,154710,19-Jul,17,67,54466.374,35.0,1556.1821142857143,Rte SIDI MANSOUR
2,2,154710,19-Jan,17,67,32105.88,20.0,1605.294,Rte SIDI MANSOUR
1,1,154710,18-Jul,17,67,53573.895,45.0,1190.531,Rte SIDI MANSOUR
1,2,154710,19-Apr,17,67,213867.52,128.0,1670.84,Rte SIDI MANSOUR
1,2,154710,19-Sep,17,67,200248.68,120.0,1668.739,Rte SIDI MANSOUR
1,2,154710,19-Aug,17,67,273673.196,164.0,1668.739,Rte SIDI MANSOUR
4,2,154710,19-Sep,17,67,11681.173,7.0,1668.739,Rte SIDI MANSOUR
1,1,154710,18-Jan,17,67,48595.995,45.0,1079.911,Rte SIDI MANSOUR
1,3,154710,18-Aug,17,67,44538.506,31.0,1436.726,Rte SIDI MANSOUR
2,2,154710,18-Aug,17,67,15563.86,10.0,1556.386,Rte SIDI MANSOUR
1,1,154710,19-Apr,17,67,78657.974,59.0,1333.186,Rte SIDI MANSOUR
1,1,154710,19-Jul,17,67,77249.546,58.0,1331.8887241379311,Rte SIDI MANSOUR
1,2,154710,19-Dec,17,67,201917.419,121.0,1668.739,Rte SIDI MANSOUR
1,3,154710,18-Feb,17,67,29174.332,22.0,1326.106,Rte SIDI MANSOUR
4,3,154710,18-Mar,17,67,2652.212,2.0,1326.106,Rte SIDI MANSOUR
1,2,154710,18-May,17,67,135895.851,91.0,1493.3609999999999,Rte SIDI MANSOUR
1,2,154710,18-Jul,17,67,206999.338,133.0,1556.386,Rte SIDI MANSOUR
1,1,154710,18-Jun,17,67,91131.581,79.0,1153.5643164556964,Rte SIDI MANSOUR
2,1,154710,19-Jun,17,67,31996.464,24.0,1333.186,Rte SIDI MANSOUR
1,1,154710,19-Nov,17,67,75865.461,57.0,1330.973,Rte SIDI MANSOUR
1,2,154710,19-Nov,17,67,203586.158,122.0,1668.739,Rte SIDI MANSOUR
1,1,154710,18-Mar,17,67,73433.948,68.0,1079.911,Rte SIDI MANSOUR
1,3,154710,18-Apr,17,67,38369.912,28.0,1370.3539999999998,Rte SIDI MANSOUR
1,1,154710,18-Dec,17,67,72854.177,58.0,1256.1064999999999,Rte SIDI MANSOUR
1,2,154710,18-Nov,17,67,128544.56,80.0,1606.807,Rte SIDI MANSOUR
1,2,154710,18-Aug,17,67,253690.918,163.0,1556.386,Rte SIDI MANSOUR
1,2,154710,19-Feb,17,67,173371.752,108.0,1605.294,Rte SIDI MANSOUR
1,3,154710,18-May,17,67,42480.974,31.0,1370.354,Rte SIDI MANSOUR
1,2,154710,19-May,17,67,202171.64,121.0,1670.8400000000001,Rte SIDI MANSOUR
1,6,154710,19-Oct,17,67,52871.496,34.0,1555.0439999999999,Rte SIDI MANSOUR
1,6,154710,19-Nov,17,67,46651.32,30.0,1555.044,Rte SIDI MANSOUR
2,1,154710,18-Aug,17,67,7143.186,6.0,1190.531,Rte SIDI MANSOUR
1,1,154710,19-Oct,17,67,93168.11,70.0,1330.973,Rte SIDI MANSOUR
1,1,154710,19-Dec,17,67,122449.516,92.0,1330.973,Rte SIDI MANSOUR
1,2,154710,18-Feb,17,67,119010.208,82.0,1451.344,Rte SIDI MANSOUR
3,3,154710,18-Feb,17,67,7956.636,6.0,1326.106,Rte SIDI MANSOUR
1,3,154710,18-Mar,17,67,37130.968,28.0,1326.106,Rte SIDI MANSOUR
1,3,154710,18-Jul,17,67,51722.136,36.0,1436.7259999999999,Rte SIDI MANSOUR
1,3,154710,18-Jun,17,67,41774.34,30.0,1392.4779999999998,Rte SIDI MANSOUR
4,2,154710,18-Nov,17,67,11247.649,7.0,1606.807,Rte SIDI MANSOUR
1,2,154710,19-Jun,17,67,232246.76,139.0,1670.8400000000001,Rte SIDI MANSOUR
1,1,154710,19-Mar,17,67,84105.77,67.0,1255.3100000000002,Rte SIDI MANSOUR
1,2,154710,18-Jan,17,67,121912.896,84.0,1451.3439999999998,Rte SIDI MANSOUR
1,1,154710,18-Apr,17,67,82063.607,73.0,1124.159,Rte SIDI MANSOUR
1,2,154710,18-Apr,17,67,128429.046,86.0,1493.361,Rte SIDI MANSOUR
1,3,154710,19-Jan,17,67,34229.29,23.0,1488.23,Rte SIDI MANSOUR
2,1,154710,19-Jan,17,67,2510.62,2.0,1255.31,Rte SIDI MANSOUR
1,2,154710,18-Jun,17,67,146809.792,97.0,1513.5030103092781,Rte SIDI MANSOUR
1,1,154710,19-May,17,67,91989.834,69.0,1333.1860000000001,Rte SIDI MANSOUR
1,6,154710,19-May,17,67,49832.224,32.0,1557.257,Rte SIDI MANSOUR
1,6,154710,19-Mar,17,67,41670.44,28.0,1488.23,Rte SIDI MANSOUR
1,1,154710,19-Aug,17,67,105146.867,79.0,1330.973,Rte SIDI MANSOUR
3,3,154710,18-Apr,17,67,4111.062,3.0,1370.354,Rte SIDI MANSOUR
1,2,154710,18-Dec,17,67,171864.803,107.0,1606.213112149533,Rte SIDI MANSOUR
1,3,154710,18-Sep,17,67,44588.496,30.0,1486.2832,Rte SIDI MANSOUR
1,1,154710,18-Sep,17,67,91753.919,73.0,1256.903,Rte SIDI MANSOUR
2,1,154710,18-Dec,17,67,18853.545,15.0,1256.9029999999998,Rte SIDI MANSOUR
1,6,154710,19-Jun,17,67,49832.224,32.0,1557.257,Rte SIDI MANSOUR
1,6,154710,19-Aug,17,67,59091.672,38.0,1555.0439999999999,Rte SIDI MANSOUR
1,3,154710,18-Jan,17,67,33152.65,25.0,1326.106,Rte SIDI MANSOUR
1,1,154710,18-Nov,17,67,80441.792,64.0,1256.903,Rte SIDI MANSOUR
1,3,154710,18-Nov,17,67,38735.398,26.0,1489.823,Rte SIDI MANSOUR
4,3,154710,18-Nov,17,67,5959.292,4.0,1489.823,Rte SIDI MANSOUR
1,3,154710,19-Feb,17,67,38693.98,26.0,1488.23,Rte SIDI MANSOUR
1,6,154710,19-Sep,17,67,46651.32,30.0,1555.044,Rte SIDI MANSOUR
1,6,154710,19-Apr,17,67,48274.967,31.0,1557.2569999999998,Rte SIDI MANSOUR
3,3,154710,18-Jan,17,67,3978.318,3.0,1326.106,Rte SIDI MANSOUR
1,3,154710,18-Dec,17,67,43187.344,29.0,1489.2187586206896,Rte SIDI MANSOUR
2,1,154710,18-Nov,17,67,2513.806,2.0,1256.903,Rte SIDI MANSOUR
1,3,154710,18-Oct,17,67,44694.69,30.0,1489.823,Rte SIDI MANSOUR
1,2,154710,18-Mar,17,67,145134.4,100.0,1451.344,Rte SIDI MANSOUR
1,1,154710,18-May,17,67,76442.812,68.0,1124.159,Rte SIDI MANSOUR
3,3,154710,19-Jan,17,67,5952.92,4.0,1488.23,Rte SIDI MANSOUR
1,6,154710,19-Dec,17,67,51316.452,33.0,1555.0439999999999,Rte SIDI MANSOUR
