NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
3,3,155380,18-May,2,12,49332.744,36.0,1370.354,Rte de RAOUED
3,3,155380,18-Dec,2,12,58085.574,39.0,1489.3736923076924,Rte de RAOUED
1,1,155380,18-Aug,2,12,8333.717,7.0,1190.5310000000002,Rte de RAOUED
3,3,155380,18-Sep,2,12,66723.453,45.0,1482.7433999999998,Rte de RAOUED
2,1,155380,19-Jun,2,12,154649.576,116.0,1333.186,Rte de RAOUED
2,6,155380,19-Jun,2,12,62290.28,40.0,1557.257,Rte de RAOUED
2,1,155380,19-Apr,2,12,177313.738,133.0,1333.1860000000001,Rte de RAOUED
2,1,155380,19-Mar,2,12,115488.52,92.0,1255.31,Rte de RAOUED
2,6,155380,19-Mar,2,12,5952.92,4.0,1488.23,Rte de RAOUED
2,6,155380,19-Dec,2,12,65311.848,42.0,1555.0439999999999,Rte de RAOUED
3,1,155380,18-May,2,12,4496.636,4.0,1124.159,Rte de RAOUED
2,2,155380,19-Aug,2,12,383809.97,230.0,1668.7389999999998,Rte de RAOUED
2,1,155380,19-Nov,2,12,158385.787,119.0,1330.9730000000002,Rte de RAOUED
2,1,155380,18-Apr,2,12,115788.377,103.0,1124.1589999999999,Rte de RAOUED
3,3,155380,18-Oct,2,12,47674.336,32.0,1489.823,Rte de RAOUED
3,2,155380,18-Nov,2,12,25708.912,16.0,1606.807,Rte de RAOUED
1,1,155380,18-Dec,2,12,12569.03,10.0,1256.903,Rte de RAOUED
1,1,155380,19-Jan,2,12,22595.58,18.0,1255.3100000000002,Rte de RAOUED
2,1,155380,18-Feb,2,12,100431.723,93.0,1079.911,Rte de RAOUED
3,3,155380,18-Jan,2,12,46413.71,35.0,1326.106,Rte de RAOUED
2,2,155380,18-Mar,2,12,333809.12,230.0,1451.344,Rte de RAOUED
2,1,155380,18-Aug,2,12,120243.631,101.0,1190.531,Rte de RAOUED
3,3,155380,18-Nov,2,12,59592.92,40.0,1489.8229999999999,Rte de RAOUED
2,2,155380,19-May,2,12,449455.96,269.0,1670.8400000000001,Rte de RAOUED
