NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,1,153860,18-Feb,11,21,47516.084,44.0,1079.911,S.A.BOUHAJLA
1,3,153860,18-Aug,11,21,2873.452,2.0,1436.726,S.A.BOUHAJLA
1,2,153860,18-Nov,11,21,3213.614,2.0,1606.807,S.A.BOUHAJLA
1,2,153860,19-Apr,11,21,16708.4,10.0,1670.8400000000001,S.A.BOUHAJLA
1,1,153860,19-Aug,11,21,47915.028,36.0,1330.973,S.A.BOUHAJLA
1,2,153860,19-Aug,11,21,15018.651,9.0,1668.739,S.A.BOUHAJLA
1,3,153860,18-Mar,11,21,2652.212,2.0,1326.106,S.A.BOUHAJLA
1,1,153860,18-Oct,11,21,40220.896,32.0,1256.903,S.A.BOUHAJLA
1,1,153860,19-Dec,11,21,53238.92,40.0,1330.973,S.A.BOUHAJLA
1,1,153860,19-May,11,21,13331.86,10.0,1333.1860000000001,S.A.BOUHAJLA
1,2,153860,19-Nov,11,21,10012.434,6.0,1668.7389999999998,S.A.BOUHAJLA
1,1,153860,18-Aug,11,21,27382.213,23.0,1190.531,S.A.BOUHAJLA
1,1,153860,19-Feb,11,21,28872.13,23.0,1255.31,S.A.BOUHAJLA
1,2,153860,19-Jul,11,21,3337.478,2.0,1668.739,S.A.BOUHAJLA
1,1,153860,19-Nov,11,21,33274.325,25.0,1330.973,S.A.BOUHAJLA
1,6,153860,19-Nov,11,21,4665.132,3.0,1555.0439999999999,S.A.BOUHAJLA
1,3,153860,18-Nov,11,21,2979.646,2.0,1489.823,S.A.BOUHAJLA
1,2,153860,19-Feb,11,21,9631.764,6.0,1605.2939999999999,S.A.BOUHAJLA
1,6,153860,19-Sep,11,21,3110.088,2.0,1555.044,S.A.BOUHAJLA
1,2,153860,18-Jan,11,21,7256.72,5.0,1451.344,S.A.BOUHAJLA
1,3,153860,18-Feb,11,21,2652.212,2.0,1326.106,S.A.BOUHAJLA
1,2,153860,18-Jul,11,21,6225.544,4.0,1556.386,S.A.BOUHAJLA
