NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
3,3,154870,18-Jan,14,28,79566.36,60.0,1326.106,SAHLOUL
2,2,154870,18-Mar,14,28,177063.968,122.0,1451.344,SAHLOUL
3,3,154870,18-Nov,14,28,132594.247,89.0,1489.823,SAHLOUL
3,2,154870,18-Jul,14,28,21789.404,14.0,1556.386,SAHLOUL
2,1,154870,18-Jun,14,28,70299.371,61.0,1152.4487049180327,SAHLOUL
1,3,154870,18-Oct,14,28,40225.221,27.0,1489.8229999999999,SAHLOUL
2,1,154870,18-Nov,14,28,177223.323,141.0,1256.903,SAHLOUL
2,1,154870,19-Feb,14,28,166956.23,133.0,1255.3100000000002,SAHLOUL
2,6,154870,19-Aug,14,28,188160.324,121.0,1555.0439999999999,SAHLOUL
2,1,154870,19-Jul,14,28,215783.601,162.0,1331.997537037037,SAHLOUL
2,6,154870,19-Oct,14,28,143064.048,92.0,1555.044,SAHLOUL
2,2,154870,19-Dec,14,28,574046.216,344.0,1668.739,SAHLOUL
1,3,154870,18-Feb,14,28,82218.572,62.0,1326.106,SAHLOUL
2,1,154870,18-Mar,14,28,33477.241,31.0,1079.911,SAHLOUL
2,3,154870,19-Apr,14,28,74748.336,48.0,1557.2569999999998,SAHLOUL
2,1,154870,18-Jul,14,28,70241.329,59.0,1190.531,SAHLOUL
2,1,154870,19-Mar,14,28,136828.79,109.0,1255.3100000000002,SAHLOUL
2,2,154870,19-Aug,14,28,632452.081,379.0,1668.739,SAHLOUL
3,3,154870,18-Feb,14,28,31826.544,24.0,1326.106,SAHLOUL
3,2,154870,18-Jan,14,28,40637.632,28.0,1451.3439999999998,SAHLOUL
1,3,154870,18-Jan,14,28,49065.922,37.0,1326.106,SAHLOUL
1,2,154870,18-Apr,14,28,309125.727,207.0,1493.361,SAHLOUL
1,2,154870,18-May,14,28,276271.785,185.0,1493.3609999999999,SAHLOUL
2,2,154870,18-Dec,14,28,425649.529,265.0,1606.224637735849,SAHLOUL
2,1,154870,19-Jan,14,28,143105.34,114.0,1255.31,SAHLOUL
2,2,154870,18-Jul,14,28,211668.496,136.0,1556.3860000000002,SAHLOUL
2,2,154870,18-Jun,14,28,282365.971,186.0,1518.09661827957,SAHLOUL
3,2,154870,18-Aug,14,28,49804.352,32.0,1556.386,SAHLOUL
2,2,154870,19-Jun,14,28,517960.4,310.0,1670.8400000000001,SAHLOUL
3,6,154870,19-Mar,14,28,125011.32,84.0,1488.23,SAHLOUL
2,1,154870,18-Sep,14,28,160352.608,128.0,1252.75475,SAHLOUL
3,1,154870,19-May,14,28,14665.046,11.0,1333.186,SAHLOUL
2,1,154870,18-Dec,14,28,149501.365,119.0,1256.3139915966385,SAHLOUL
3,2,154870,19-Sep,14,28,26699.824,16.0,1668.739,SAHLOUL
3,6,154870,19-Nov,14,28,17105.484,11.0,1555.044,SAHLOUL
2,1,154870,18-Apr,14,28,49462.996,44.0,1124.1589999999999,SAHLOUL
1,3,154870,18-May,14,28,4111.062,3.0,1370.354,SAHLOUL
3,3,154870,19-Feb,14,28,133940.7,90.0,1488.23,SAHLOUL
1,3,154870,18-Jul,14,28,17240.712,12.0,1436.7259999999999,SAHLOUL
1,1,154870,18-Aug,14,28,27382.213,23.0,1190.531,SAHLOUL
1,1,154870,19-May,14,28,6665.93,5.0,1333.1860000000001,SAHLOUL
2,1,154870,19-Apr,14,28,197311.528,148.0,1333.186,SAHLOUL
3,2,154870,19-Jan,14,28,52974.702,33.0,1605.2939999999999,SAHLOUL
2,1,154870,18-Aug,14,28,144054.251,121.0,1190.531,SAHLOUL
1,2,154870,18-Aug,14,28,180540.776,116.0,1556.3860000000002,SAHLOUL
3,1,154870,19-Feb,14,28,6276.55,5.0,1255.31,SAHLOUL
3,6,154870,19-Apr,14,28,62290.28,40.0,1557.257,SAHLOUL
