NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
2,2,155500,18-May,2,93,274778.424,184.0,1493.361,S.A. BOUKHTIOUA
2,2,155500,18-Dec,2,93,155813.376,97.0,1606.3234639175257,S.A. BOUKHTIOUA
3,1,155500,18-Jun,2,93,13489.908,12.0,1124.1589999999999,S.A. BOUKHTIOUA
2,1,155500,19-Feb,2,93,210892.08,168.0,1255.31,S.A. BOUKHTIOUA
3,2,155500,19-May,2,93,10025.04,6.0,1670.8400000000001,S.A. BOUKHTIOUA
1,1,155500,19-Jan,2,93,21340.27,17.0,1255.31,S.A. BOUKHTIOUA
3,3,155500,18-Jun,2,93,94644.256,68.0,1391.827294117647,S.A. BOUKHTIOUA
1,2,155500,19-Feb,2,93,28895.292,18.0,1605.294,S.A. BOUKHTIOUA
2,1,155500,19-Sep,2,93,220941.518,166.0,1330.973,S.A. BOUKHTIOUA
2,2,155500,19-Jul,2,93,182012.308,109.0,1669.8376880733945,S.A. BOUKHTIOUA
2,1,155500,18-Jun,2,93,322455.342,282.0,1143.4586595744681,S.A. BOUKHTIOUA
3,3,155500,18-Oct,2,93,28306.637,19.0,1489.8229999999999,S.A. BOUKHTIOUA
2,2,155500,19-May,2,93,247284.32,148.0,1670.8400000000001,S.A. BOUKHTIOUA
2,6,155500,19-Jun,2,93,45160.453,29.0,1557.257,S.A. BOUKHTIOUA
2,6,155500,19-Oct,2,93,35766.012,23.0,1555.044,S.A. BOUKHTIOUA
3,6,155500,19-Mar,2,93,63993.89,43.0,1488.23,S.A. BOUKHTIOUA
2,6,155500,19-Sep,2,93,52871.496,34.0,1555.0439999999999,S.A. BOUKHTIOUA
3,1,155500,19-Aug,2,93,21295.568,16.0,1330.973,S.A. BOUKHTIOUA
2,1,155500,19-Dec,2,93,207631.788,156.0,1330.973,S.A. BOUKHTIOUA
2,1,155500,18-Jan,2,93,342331.787,317.0,1079.911,S.A. BOUKHTIOUA
1,1,155500,18-May,2,93,10117.431,9.0,1124.159,S.A. BOUKHTIOUA
3,3,155500,19-Jan,2,93,47623.36,32.0,1488.23,S.A. BOUKHTIOUA
2,1,155500,19-Jan,2,93,176998.71,141.0,1255.31,S.A. BOUKHTIOUA
3,1,155500,19-Jan,2,93,8787.17,7.0,1255.31,S.A. BOUKHTIOUA
2,2,155500,19-Oct,2,93,158530.205,95.0,1668.7389999999998,S.A. BOUKHTIOUA
2,1,155500,19-Apr,2,93,273303.13,205.0,1333.186,S.A. BOUKHTIOUA
2,2,155500,19-Mar,2,93,99528.228,62.0,1605.294,S.A. BOUKHTIOUA
2,1,155500,19-Jul,2,93,213168.128,160.0,1332.3008,S.A. BOUKHTIOUA
2,6,155500,19-Nov,2,93,29545.836,19.0,1555.0439999999999,S.A. BOUKHTIOUA
2,2,155500,18-Aug,2,93,217894.04,140.0,1556.386,S.A. BOUKHTIOUA
1,2,155500,18-Dec,2,93,35349.754,22.0,1606.807,S.A. BOUKHTIOUA
3,3,155500,18-Jul,2,93,113501.354,79.0,1436.726,S.A. BOUKHTIOUA
1,1,155500,18-Aug,2,93,23810.62,20.0,1190.531,S.A. BOUKHTIOUA
2,2,155500,19-Apr,2,93,225563.4,135.0,1670.84,S.A. BOUKHTIOUA
3,2,155500,19-Sep,2,93,10012.434,6.0,1668.7389999999998,S.A. BOUKHTIOUA
2,1,155500,18-Feb,2,93,295895.614,274.0,1079.911,S.A. BOUKHTIOUA
2,1,155500,18-May,2,93,368724.152,328.0,1124.159,S.A. BOUKHTIOUA
1,3,155500,18-May,2,93,8222.124,6.0,1370.354,S.A. BOUKHTIOUA
1,2,155500,19-Jan,2,93,57790.584,36.0,1605.294,S.A. BOUKHTIOUA
2,1,155500,18-Aug,2,93,342872.928,288.0,1190.531,S.A. BOUKHTIOUA
2,1,155500,18-Oct,2,93,251380.6,200.0,1256.903,S.A. BOUKHTIOUA
2,1,155500,19-Jun,2,93,157315.948,118.0,1333.186,S.A. BOUKHTIOUA
1,2,155500,19-Sep,2,93,11681.173,7.0,1668.739,S.A. BOUKHTIOUA
3,1,155500,18-Aug,2,93,21429.558,18.0,1190.531,S.A. BOUKHTIOUA
3,3,155500,18-Sep,2,93,96838.495,65.0,1489.8229999999999,S.A. BOUKHTIOUA
3,1,155500,18-Nov,2,93,8798.321,7.0,1256.903,S.A. BOUKHTIOUA
2,1,155500,19-Oct,2,93,212955.68,160.0,1330.973,S.A. BOUKHTIOUA
2,6,155500,19-Jul,2,93,51354.073,33.0,1556.18403030303,S.A. BOUKHTIOUA
