NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,1,153630,18-May,12,28,46090.519,41.0,1124.159,SBEITLA
1,2,153630,18-May,12,28,34347.303,23.0,1493.361,SBEITLA
1,2,153630,19-Jan,12,28,25684.704,16.0,1605.294,SBEITLA
1,1,153630,18-Oct,12,28,70386.568,56.0,1256.903,SBEITLA
1,3,153630,18-Oct,12,28,16388.053,11.0,1489.823,SBEITLA
1,2,153630,19-Feb,12,28,33711.174,21.0,1605.2939999999999,SBEITLA
1,6,153630,19-Apr,12,28,23358.855,15.0,1557.257,SBEITLA
1,6,153630,19-Aug,12,28,20215.572,13.0,1555.044,SBEITLA
1,2,153630,18-Jan,12,28,33380.912,23.0,1451.3439999999998,SBEITLA
1,2,153630,18-Feb,12,28,24672.848,17.0,1451.344,SBEITLA
1,3,153630,18-Nov,12,28,17877.876,12.0,1489.823,SBEITLA
1,2,153630,19-May,12,28,26733.44,16.0,1670.84,SBEITLA
1,1,153630,19-Dec,12,28,78527.407,59.0,1330.9730000000002,SBEITLA
1,1,153630,18-Mar,12,28,102591.545,95.0,1079.911,SBEITLA
2,1,153630,19-Jun,12,28,41328.766,31.0,1333.1860000000001,SBEITLA
2,2,153630,18-Jul,12,28,4669.158,3.0,1556.3860000000002,SBEITLA
1,1,153630,18-Sep,12,28,93010.822,74.0,1256.903,SBEITLA
1,1,153630,19-Jun,12,28,29330.092,22.0,1333.186,SBEITLA
1,6,153630,19-Jun,12,28,18687.084,12.0,1557.2569999999998,SBEITLA
1,1,153630,19-Oct,12,28,81189.353,61.0,1330.973,SBEITLA
1,6,153630,19-Nov,12,28,18660.528,12.0,1555.0439999999999,SBEITLA
1,1,153630,18-Jan,12,28,103671.456,96.0,1079.911,SBEITLA
1,1,153630,19-Jan,12,28,46446.47,37.0,1255.31,SBEITLA
1,1,153630,19-Feb,12,28,62765.5,50.0,1255.31,SBEITLA
1,2,153630,19-Apr,12,28,41771.0,25.0,1670.84,SBEITLA
1,1,153630,19-Nov,12,28,81189.353,61.0,1330.973,SBEITLA
1,1,153630,18-Feb,12,28,109071.011,101.0,1079.911,SBEITLA
1,1,153630,18-Dec,12,28,57777.713,46.0,1256.037239130435,SBEITLA
1,6,153630,19-May,12,28,17129.827,11.0,1557.257,SBEITLA
1,2,153630,19-Nov,12,28,43387.214,26.0,1668.739,SBEITLA
1,2,153630,19-Dec,12,28,46724.692,28.0,1668.739,SBEITLA
1,2,153630,18-Apr,12,28,28373.859,19.0,1493.361,SBEITLA
1,3,153630,18-Dec,12,28,19361.327,13.0,1489.3328461538463,SBEITLA
1,2,153630,18-Jun,12,28,30119.32,20.0,1505.966,SBEITLA
1,1,153630,19-Apr,12,28,53327.44,40.0,1333.1860000000001,SBEITLA
1,1,153630,19-May,12,28,61326.556,46.0,1333.186,SBEITLA
1,6,153630,19-Mar,12,28,14882.3,10.0,1488.23,SBEITLA
1,2,153630,19-Oct,12,28,41718.475,25.0,1668.739,SBEITLA
3,3,153630,18-Aug,12,28,4310.178,3.0,1436.7259999999999,SBEITLA
1,1,153630,19-Aug,12,28,109139.786,82.0,1330.973,SBEITLA
1,2,153630,18-Mar,12,28,36283.6,25.0,1451.344,SBEITLA
1,3,153630,18-Mar,12,28,14587.166,11.0,1326.106,SBEITLA
1,2,153630,18-Nov,12,28,33742.947,21.0,1606.807,SBEITLA
1,2,153630,18-Oct,12,28,33742.947,21.0,1606.807,SBEITLA
2,1,153630,18-Dec,12,28,23881.157,19.0,1256.903,SBEITLA
1,1,153630,19-Mar,12,28,50212.4,40.0,1255.31,SBEITLA
1,6,153630,19-Jul,12,28,20228.85,13.0,1556.0653846153846,SBEITLA
1,6,153630,19-Oct,12,28,26435.748,17.0,1555.0439999999999,SBEITLA
3,3,153630,18-Feb,12,28,5304.424,4.0,1326.106,SBEITLA
1,3,153630,18-Feb,12,28,13261.06,10.0,1326.106,SBEITLA
3,2,153630,18-Aug,12,28,3112.772,2.0,1556.386,SBEITLA
1,2,153630,18-Sep,12,28,44990.596,28.0,1606.807,SBEITLA
1,1,153630,18-Jun,12,28,61832.91,54.0,1145.0538888888889,SBEITLA
1,6,153630,19-Dec,12,28,20215.572,13.0,1555.044,SBEITLA
1,3,153630,18-Jul,12,28,21550.89,15.0,1436.7259999999999,SBEITLA
1,1,153630,18-Aug,12,28,71431.86,60.0,1190.531,SBEITLA
2,1,153630,18-Aug,12,28,7143.186,6.0,1190.531,SBEITLA
2,2,153630,19-Jan,12,28,6421.176,4.0,1605.294,SBEITLA
2,2,153630,18-Aug,12,28,6225.544,4.0,1556.386,SBEITLA
1,3,153630,18-Sep,12,28,16388.053,11.0,1489.823,SBEITLA
1,2,153630,19-Sep,12,28,40049.736,24.0,1668.7389999999998,SBEITLA
1,2,153630,19-Mar,12,28,33711.174,21.0,1605.2939999999999,SBEITLA
1,3,153630,18-Apr,12,28,17814.602,13.0,1370.3539999999998,SBEITLA
1,2,153630,18-Dec,12,28,38548.238,24.0,1606.1765833333332,SBEITLA
1,6,153630,19-Sep,12,28,15550.44,10.0,1555.044,SBEITLA
1,1,153630,18-Apr,12,28,64077.063,57.0,1124.159,SBEITLA
1,1,153630,18-Jul,12,28,51192.833,43.0,1190.531,SBEITLA
1,2,153630,18-Aug,12,28,51360.738,33.0,1556.386,SBEITLA
3,1,153630,18-Aug,12,28,5952.655,5.0,1190.531,SBEITLA
1,1,153630,19-Sep,12,28,82520.326,62.0,1330.973,SBEITLA
1,1,153630,19-Jul,12,28,81238.039,61.0,1331.7711311475412,SBEITLA
1,3,153630,18-Jan,12,28,19891.59,15.0,1326.106,SBEITLA
2,1,153630,19-Jan,12,28,8787.17,7.0,1255.31,SBEITLA
1,3,153630,18-Aug,12,28,22987.616,16.0,1436.726,SBEITLA
1,3,153630,19-Feb,12,28,19346.99,13.0,1488.23,SBEITLA
1,2,153630,19-Jun,12,28,43441.84,26.0,1670.84,SBEITLA
1,3,153630,18-May,12,28,19184.956,14.0,1370.3539999999998,SBEITLA
1,3,153630,19-Jan,12,28,13394.07,9.0,1488.23,SBEITLA
1,2,153630,18-Jul,12,28,29571.334,19.0,1556.386,SBEITLA
1,1,153630,18-Nov,12,28,69129.665,55.0,1256.9029999999998,SBEITLA
2,1,153630,18-Jul,12,28,5952.655,5.0,1190.531,SBEITLA
1,3,153630,18-Jun,12,28,19384.072,14.0,1384.5765714285715,SBEITLA
1,2,153630,19-Aug,12,28,56737.126,34.0,1668.7389999999998,SBEITLA
1,2,153630,19-Jul,12,28,43410.325,26.0,1669.6278846153846,SBEITLA
