NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
3,1,155010,18-Aug,12,23,4762.124,4.0,1190.531,SBIBA
2,2,155010,18-Jul,12,23,3112.772,2.0,1556.386,SBIBA
2,1,155010,19-Jul,12,23,17315.927,13.0,1331.9943846153847,SBIBA
2,2,155010,18-May,12,23,2986.722,2.0,1493.361,SBIBA
2,1,155010,18-Jul,12,23,4762.124,4.0,1190.531,SBIBA
2,1,155010,18-Nov,12,23,7541.418,6.0,1256.903,SBIBA
2,1,155010,19-Jan,12,23,7531.86,6.0,1255.31,SBIBA
2,1,155010,19-Aug,12,23,7985.838,6.0,1330.973,SBIBA
2,1,155010,19-Mar,12,23,13808.41,11.0,1255.31,SBIBA
2,1,155010,18-Apr,12,23,6744.954,6.0,1124.1589999999999,SBIBA
1,1,155010,18-Sep,12,23,6284.515,5.0,1256.903,SBIBA
1,1,155010,19-Apr,12,23,7999.116,6.0,1333.186,SBIBA
2,2,155010,19-Jul,12,23,5006.217,3.0,1668.7389999999998,SBIBA
2,2,155010,18-Mar,12,23,2902.688,2.0,1451.344,SBIBA
2,1,155010,18-May,12,23,5620.795,5.0,1124.159,SBIBA
3,2,155010,18-Dec,12,23,3213.614,2.0,1606.807,SBIBA
2,1,155010,19-Sep,12,23,9316.811,7.0,1330.973,SBIBA
2,1,155010,18-Aug,12,23,4762.124,4.0,1190.531,SBIBA
1,2,155010,18-Oct,12,23,3213.614,2.0,1606.807,SBIBA
2,1,155010,18-Mar,12,23,5399.555,5.0,1079.911,SBIBA
3,2,155010,18-Aug,12,23,7781.93,5.0,1556.386,SBIBA
2,1,155010,19-Feb,12,23,7531.86,6.0,1255.31,SBIBA
2,6,155010,19-May,12,23,4671.771,3.0,1557.2569999999998,SBIBA
1,2,155010,19-Apr,12,23,3341.68,2.0,1670.84,SBIBA
3,1,155010,18-Dec,12,23,5027.612,4.0,1256.903,SBIBA
3,1,155010,18-Jun,12,23,6744.954,6.0,1124.1589999999999,SBIBA
2,6,155010,19-Mar,12,23,5952.92,4.0,1488.23,SBIBA
2,1,155010,19-Dec,12,23,7985.838,6.0,1330.973,SBIBA
2,1,155010,19-Oct,12,23,7985.838,6.0,1330.973,SBIBA
2,1,155010,19-Nov,12,23,6654.865,5.0,1330.973,SBIBA
2,2,155010,18-Aug,12,23,3112.772,2.0,1556.386,SBIBA
1,1,155010,18-Oct,12,23,6284.515,5.0,1256.903,SBIBA
2,1,155010,18-Jan,12,23,6479.466,6.0,1079.911,SBIBA
3,3,155010,18-Aug,12,23,2873.452,2.0,1436.726,SBIBA
3,3,155010,18-Jun,12,23,2740.708,2.0,1370.354,SBIBA
2,1,155010,19-May,12,23,7999.116,6.0,1333.186,SBIBA
