NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
3,2,153920,18-Apr,6,38,8960.166,6.0,1493.3609999999999,SEJNENE
3,2,153920,19-Feb,6,38,6421.176,4.0,1605.294,SEJNENE
3,6,153920,19-Mar,6,38,5952.92,4.0,1488.23,SEJNENE
2,1,153920,18-May,6,38,4496.636,4.0,1124.159,SEJNENE
3,1,153920,18-Jul,6,38,53573.895,45.0,1190.531,SEJNENE
3,1,153920,18-Nov,6,38,45248.508,36.0,1256.903,SEJNENE
3,3,153920,19-Feb,6,38,8929.38,6.0,1488.2299999999998,SEJNENE
3,3,153920,18-Jan,6,38,2652.212,2.0,1326.106,SEJNENE
3,1,153920,18-Mar,6,38,28077.686,26.0,1079.911,SEJNENE
3,3,153920,18-Sep,6,38,8938.938,6.0,1489.823,SEJNENE
3,2,153920,19-Jul,6,38,16699.996,10.0,1669.9995999999999,SEJNENE
3,6,153920,19-Dec,6,38,9330.264,6.0,1555.0439999999999,SEJNENE
3,2,153920,18-Aug,6,38,15563.86,10.0,1556.386,SEJNENE
3,2,153920,18-Oct,6,38,9640.842,6.0,1606.807,SEJNENE
3,1,153920,19-Jun,6,38,49327.882,37.0,1333.186,SEJNENE
3,6,153920,19-Jun,6,38,9343.542,6.0,1557.2569999999998,SEJNENE
3,2,153920,19-Oct,6,38,10012.434,6.0,1668.7389999999998,SEJNENE
3,1,153920,19-Sep,6,38,77196.434,58.0,1330.973,SEJNENE
3,3,153920,18-May,6,38,6851.77,5.0,1370.354,SEJNENE
3,1,153920,18-May,6,38,34848.929,31.0,1124.1589999999999,SEJNENE
3,1,153920,18-Dec,6,38,42720.365,34.0,1256.4813235294116,SEJNENE
3,1,153920,19-Jan,6,38,40169.92,32.0,1255.31,SEJNENE
3,2,153920,18-Dec,6,38,9640.842,6.0,1606.807,SEJNENE
3,2,153920,18-Sep,6,38,9640.842,6.0,1606.807,SEJNENE
3,1,153920,18-Sep,6,38,46173.551,37.0,1247.9338108108109,SEJNENE
3,2,153920,19-May,6,38,3341.68,2.0,1670.84,SEJNENE
3,2,153920,19-Mar,6,38,12842.352,8.0,1605.294,SEJNENE
3,1,153920,18-Feb,6,38,17278.576,16.0,1079.911,SEJNENE
3,1,153920,19-Jul,6,38,77260.611,58.0,1332.0795,SEJNENE
3,3,153920,18-Apr,6,38,5481.416,4.0,1370.354,SEJNENE
3,2,153920,19-Jun,6,38,10025.04,6.0,1670.8400000000001,SEJNENE
3,1,153920,19-Mar,6,38,37659.3,30.0,1255.3100000000002,SEJNENE
3,2,153920,18-Feb,6,38,5805.376,4.0,1451.344,SEJNENE
3,3,153920,18-Aug,6,38,11493.808,8.0,1436.726,SEJNENE
3,1,153920,18-Aug,6,38,46430.709,39.0,1190.5310000000002,SEJNENE
3,1,153920,18-Oct,6,38,46505.411,37.0,1256.903,SEJNENE
3,6,153920,19-Sep,6,38,6220.176,4.0,1555.044,SEJNENE
3,1,153920,18-Feb,6,38,9719.199,9.0,1079.911,SEJNENE
3,2,153920,18-Nov,6,38,6427.228,4.0,1606.807,SEJNENE
3,6,153920,19-Oct,6,38,9330.264,6.0,1555.0439999999999,SEJNENE
3,2,153920,19-Sep,6,38,16687.39,10.0,1668.739,SEJNENE
3,1,153920,19-Dec,6,38,61224.758,46.0,1330.973,SEJNENE
3,3,153920,18-Mar,6,38,5304.424,4.0,1326.106,SEJNENE
3,3,153920,19-Jan,6,38,8929.38,6.0,1488.2299999999998,SEJNENE
3,2,153920,19-Apr,6,38,10025.04,6.0,1670.8400000000001,SEJNENE
3,6,153920,19-Nov,6,38,10885.308,7.0,1555.044,SEJNENE
3,2,153920,19-Dec,6,38,13349.912,8.0,1668.739,SEJNENE
3,6,153920,19-May,6,38,9343.542,6.0,1557.2569999999998,SEJNENE
3,1,153920,19-Nov,6,38,54569.893,41.0,1330.973,SEJNENE
2,2,153920,18-May,6,38,2986.722,2.0,1493.361,SEJNENE
3,2,153920,18-Jul,6,38,12451.088,8.0,1556.386,SEJNENE
3,2,153920,19-Aug,6,38,20024.868,12.0,1668.7389999999998,SEJNENE
3,2,153920,18-May,6,38,5973.444,4.0,1493.361,SEJNENE
