NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,1,152640,18-Apr,17,67,240570.026,214.0,1124.159,SFAX GP1
1,1,152640,18-May,17,67,230452.595,205.0,1124.159,SFAX GP1
2,2,152640,18-Nov,17,67,6427.228,4.0,1606.807,SFAX GP1
3,4,152640,18-Aug,17,67,8496.22,5.0,1699.244,SFAX GP1
2,2,152640,18-Jul,17,67,14007.474,9.0,1556.386,SFAX GP1
3,2,152640,18-Aug,17,67,54473.51,35.0,1556.386,SFAX GP1
1,2,152640,18-Feb,17,67,121912.896,84.0,1451.3439999999998,SFAX GP1
1,3,152640,18-Jul,17,67,66089.396,46.0,1436.7259999999999,SFAX GP1
3,4,152640,18-Jul,17,67,13593.952,8.0,1699.244,SFAX GP1
3,1,152640,18-Aug,17,67,13095.841,11.0,1190.531,SFAX GP1
1,3,152640,18-Mar,17,67,66305.3,50.0,1326.106,SFAX GP1
1,3,152640,18-Sep,17,67,54964.16,37.0,1485.517837837838,SFAX GP1
3,3,152640,18-Feb,17,67,6630.53,5.0,1326.106,SFAX GP1
1,2,152640,18-May,17,67,132909.129,89.0,1493.3609999999999,SFAX GP1
3,3,152640,18-Aug,17,67,18677.438,13.0,1436.7259999999999,SFAX GP1
1,1,152640,18-Oct,17,67,238811.57,190.0,1256.903,SFAX GP1
1,3,152640,18-Oct,17,67,64062.389,43.0,1489.823,SFAX GP1
2,2,152640,18-Oct,17,67,12854.456,8.0,1606.807,SFAX GP1
1,1,152640,18-Jul,17,67,240487.262,202.0,1190.531,SFAX GP1
1,3,152640,18-Aug,17,67,57469.04,40.0,1436.726,SFAX GP1
1,2,152640,18-Nov,17,67,17674.877,11.0,1606.807,SFAX GP1
1,2,152640,18-Mar,17,67,140780.368,97.0,1451.3439999999998,SFAX GP1
1,2,152640,18-Apr,17,67,134402.49,90.0,1493.3609999999999,SFAX GP1
