NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,2,153180,18-Feb,17,67,194480.096,134.0,1451.3439999999998,SFAX TENIOUR
1,1,153180,18-Mar,17,67,107991.1,100.0,1079.911,SFAX TENIOUR
1,2,153180,18-Mar,17,67,219152.944,151.0,1451.3439999999998,SFAX TENIOUR
2,1,153180,18-Dec,17,67,46505.411,37.0,1256.903,SFAX TENIOUR
1,3,153180,19-Jan,17,67,71435.04,48.0,1488.2299999999998,SFAX TENIOUR
3,2,153180,18-Aug,17,67,24902.176,16.0,1556.386,SFAX TENIOUR
1,2,153180,19-Jan,17,67,207082.926,129.0,1605.294,SFAX TENIOUR
1,6,153180,19-Jun,17,67,104336.219,67.0,1557.257,SFAX TENIOUR
1,1,153180,19-Sep,17,67,110470.759,83.0,1330.973,SFAX TENIOUR
1,2,153180,19-Oct,17,67,313722.932,188.0,1668.7389999999998,SFAX TENIOUR
1,3,153180,18-Jan,17,67,68957.512,52.0,1326.106,SFAX TENIOUR
1,2,153180,18-Apr,17,67,186670.125,125.0,1493.361,SFAX TENIOUR
1,3,153180,18-Dec,17,67,83403.007,56.0,1489.3394107142856,SFAX TENIOUR
1,2,153180,18-Nov,17,67,191210.033,119.0,1606.807,SFAX TENIOUR
1,3,153180,18-Aug,17,67,76146.478,53.0,1436.726,SFAX TENIOUR
1,4,153180,19-Jun,17,67,7294.452,4.0,1823.613,SFAX TENIOUR
1,2,153180,19-Sep,17,67,255317.067,153.0,1668.739,SFAX TENIOUR
2,1,153180,19-Jun,17,67,49327.882,37.0,1333.186,SFAX TENIOUR
1,2,153180,19-Mar,17,67,263268.216,164.0,1605.294,SFAX TENIOUR
1,6,153180,19-Aug,17,67,96412.728,62.0,1555.044,SFAX TENIOUR
1,1,153180,19-Nov,17,67,122449.516,92.0,1330.973,SFAX TENIOUR
1,4,153180,19-Nov,17,67,3643.024,2.0,1821.512,SFAX TENIOUR
1,3,153180,18-Feb,17,67,58348.664,44.0,1326.106,SFAX TENIOUR
1,3,153180,18-May,17,67,80850.886,59.0,1370.354,SFAX TENIOUR
1,3,153180,18-Nov,17,67,73001.327,49.0,1489.823,SFAX TENIOUR
2,1,153180,19-Jan,17,67,11297.79,9.0,1255.3100000000002,SFAX TENIOUR
1,2,153180,19-Feb,17,67,258452.334,161.0,1605.294,SFAX TENIOUR
1,1,153180,19-Feb,17,67,115488.52,92.0,1255.31,SFAX TENIOUR
1,1,153180,19-Apr,17,67,131985.414,99.0,1333.186,SFAX TENIOUR
1,2,153180,19-Jul,17,67,300538.999,180.0,1669.6611055555557,SFAX TENIOUR
1,2,153180,18-Dec,17,67,247383.219,154.0,1606.384538961039,SFAX TENIOUR
1,3,153180,18-Jul,17,67,106317.724,74.0,1436.726,SFAX TENIOUR
1,1,153180,18-Sep,17,67,96910.11,78.0,1242.4373076923077,SFAX TENIOUR
1,2,153180,19-Jun,17,67,282371.96,169.0,1670.8400000000001,SFAX TENIOUR
1,1,153180,19-Dec,17,67,127773.408,96.0,1330.973,SFAX TENIOUR
1,1,153180,18-Jan,17,67,76673.681,71.0,1079.911,SFAX TENIOUR
3,3,153180,18-Jan,17,67,9282.742,7.0,1326.106,SFAX TENIOUR
1,1,153180,18-Jul,17,67,116672.038,98.0,1190.531,SFAX TENIOUR
1,1,153180,18-Oct,17,67,106836.755,85.0,1256.903,SFAX TENIOUR
1,1,153180,19-Mar,17,67,112977.9,90.0,1255.31,SFAX TENIOUR
1,1,153180,19-Oct,17,67,118456.597,89.0,1330.973,SFAX TENIOUR
1,3,153180,19-Feb,17,67,84829.11,57.0,1488.23,SFAX TENIOUR
1,4,153180,19-Oct,17,67,3643.024,2.0,1821.512,SFAX TENIOUR
1,2,153180,18-Aug,17,67,286375.024,184.0,1556.386,SFAX TENIOUR
1,1,153180,18-Aug,17,67,88099.294,74.0,1190.531,SFAX TENIOUR
1,2,153180,18-Oct,17,67,224952.98,140.0,1606.807,SFAX TENIOUR
2,1,153180,18-Oct,17,67,20110.448,16.0,1256.903,SFAX TENIOUR
3,3,153180,18-Feb,17,67,14587.166,11.0,1326.106,SFAX TENIOUR
4,3,153180,18-Mar,17,67,9282.742,7.0,1326.106,SFAX TENIOUR
1,3,153180,18-Apr,17,67,78110.178,57.0,1370.354,SFAX TENIOUR
1,1,153180,19-May,17,67,133318.6,100.0,1333.1860000000001,SFAX TENIOUR
1,1,153180,19-Aug,17,67,97161.029,73.0,1330.973,SFAX TENIOUR
1,1,153180,19-Jul,17,67,115885.384,87.0,1332.015908045977,SFAX TENIOUR
1,2,153180,18-Jan,17,67,187223.376,129.0,1451.3439999999998,SFAX TENIOUR
1,2,153180,18-May,17,67,195630.291,131.0,1493.3609999999999,SFAX TENIOUR
4,2,153180,18-Nov,17,67,11247.649,7.0,1606.807,SFAX TENIOUR
1,6,153180,19-Mar,17,67,87805.57,59.0,1488.23,SFAX TENIOUR
4,6,153180,19-Sep,17,67,4665.132,3.0,1555.0439999999999,SFAX TENIOUR
3,3,153180,18-Apr,17,67,8222.124,6.0,1370.354,SFAX TENIOUR
1,1,153180,18-Dec,17,67,85415.242,68.0,1256.1064999999999,SFAX TENIOUR
1,2,153180,18-Jul,17,67,235014.286,151.0,1556.386,SFAX TENIOUR
2,1,153180,18-Jul,17,67,8333.717,7.0,1190.5310000000002,SFAX TENIOUR
2,2,153180,18-Oct,17,67,25708.912,16.0,1606.807,SFAX TENIOUR
1,6,153180,19-May,17,67,105893.476,68.0,1557.2569999999998,SFAX TENIOUR
1,6,153180,19-Dec,17,67,96412.728,62.0,1555.044,SFAX TENIOUR
3,3,153180,19-Jan,17,67,8929.38,6.0,1488.2299999999998,SFAX TENIOUR
1,2,153180,18-Sep,17,67,237504.91,148.0,1604.7629054054055,SFAX TENIOUR
1,2,153180,19-Aug,17,67,285354.369,171.0,1668.739,SFAX TENIOUR
1,6,153180,19-Jul,17,67,102701.507,66.0,1556.0834393939394,SFAX TENIOUR
1,2,153180,19-Nov,17,67,270335.718,162.0,1668.739,SFAX TENIOUR
1,3,153180,18-Jun,17,67,91704.432,66.0,1389.461090909091,SFAX TENIOUR
1,1,153180,18-Jun,17,67,77571.136,68.0,1140.752,SFAX TENIOUR
1,3,153180,18-Sep,17,67,81780.974,55.0,1486.9268,SFAX TENIOUR
1,2,153180,19-Apr,17,67,300751.2,180.0,1670.8400000000001,SFAX TENIOUR
