NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,3,153300,18-Mar,17,67,64979.194,49.0,1326.106,SFAX  PIC VILLE
1,1,153300,18-Sep,17,67,113121.27,90.0,1256.903,SFAX  PIC VILLE
1,2,153300,18-Feb,17,67,164001.872,113.0,1451.344,SFAX  PIC VILLE
1,2,153300,18-Nov,17,67,184782.805,115.0,1606.807,SFAX  PIC VILLE
1,2,153300,18-Mar,17,67,162550.528,112.0,1451.3439999999998,SFAX  PIC VILLE
4,3,153300,18-Mar,17,67,14587.166,11.0,1326.106,SFAX  PIC VILLE
1,3,153300,18-Apr,17,67,68517.7,50.0,1370.354,SFAX  PIC VILLE
1,2,153300,18-Sep,17,67,187996.419,117.0,1606.807,SFAX  PIC VILLE
1,3,153300,18-Jan,17,67,68957.512,52.0,1326.106,SFAX  PIC VILLE
1,3,153300,18-Jul,17,67,76146.478,53.0,1436.726,SFAX  PIC VILLE
1,3,153300,18-Oct,17,67,62572.566,42.0,1489.8229999999999,SFAX  PIC VILLE
1,3,153300,18-Nov,17,67,71511.504,48.0,1489.823,SFAX  PIC VILLE
1,3,153300,18-Dec,17,67,40225.221,27.0,1489.8229999999999,SFAX  PIC VILLE
1,1,153300,18-Dec,17,67,49019.217,39.0,1256.903,SFAX  PIC VILLE
3,3,153300,18-Aug,17,67,8620.356,6.0,1436.7259999999999,SFAX  PIC VILLE
1,2,153300,18-Apr,17,67,141869.295,95.0,1493.361,SFAX  PIC VILLE
2,1,153300,18-Aug,17,67,5952.655,5.0,1190.531,SFAX  PIC VILLE
1,1,153300,18-Jan,17,67,98271.901,91.0,1079.911,SFAX  PIC VILLE
1,1,153300,18-Feb,17,67,117710.299,109.0,1079.911,SFAX  PIC VILLE
1,1,153300,18-Apr,17,67,96677.674,86.0,1124.1589999999999,SFAX  PIC VILLE
1,3,153300,18-Aug,17,67,57469.04,40.0,1436.726,SFAX  PIC VILLE
2,1,153300,18-Dec,17,67,31422.575,25.0,1256.903,SFAX  PIC VILLE
2,1,153300,18-Oct,17,67,12569.03,10.0,1256.903,SFAX  PIC VILLE
1,1,153300,18-Nov,17,67,121919.591,97.0,1256.903,SFAX  PIC VILLE
3,3,153300,18-Feb,17,67,14587.166,11.0,1326.106,SFAX  PIC VILLE
1,2,153300,18-Aug,17,67,188322.706,121.0,1556.386,SFAX  PIC VILLE
3,2,153300,18-Aug,17,67,10894.702,7.0,1556.386,SFAX  PIC VILLE
3,3,153300,18-Nov,17,67,5959.292,4.0,1489.823,SFAX  PIC VILLE
1,1,153300,18-Jul,17,67,128577.348,108.0,1190.531,SFAX  PIC VILLE
1,3,153300,18-Jun,17,67,64031.864,46.0,1391.9970434782608,SFAX  PIC VILLE
1,1,153300,18-Jun,17,67,106604.319,93.0,1146.2830000000001,SFAX  PIC VILLE
1,2,153300,18-Jul,17,67,185209.934,119.0,1556.386,SFAX  PIC VILLE
1,2,153300,18-Oct,17,67,186389.612,116.0,1606.807,SFAX  PIC VILLE
1,2,153300,18-Jan,17,67,146585.744,101.0,1451.344,SFAX  PIC VILLE
1,3,153300,18-Feb,17,67,55696.452,42.0,1326.106,SFAX  PIC VILLE
1,1,153300,18-May,17,67,119160.854,106.0,1124.159,SFAX  PIC VILLE
1,2,153300,18-May,17,67,165763.071,111.0,1493.3609999999999,SFAX  PIC VILLE
1,3,153300,18-Sep,17,67,64062.389,43.0,1489.823,SFAX  PIC VILLE
1,1,153300,18-Oct,17,67,106836.755,85.0,1256.903,SFAX  PIC VILLE
1,1,153300,18-Mar,17,67,115550.477,107.0,1079.911,SFAX  PIC VILLE
1,3,153300,18-May,17,67,71258.408,52.0,1370.3539999999998,SFAX  PIC VILLE
1,2,153300,18-Jun,17,67,167905.921,111.0,1512.665954954955,SFAX  PIC VILLE
