NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
2,2,155320,18-Jul,22,1,17120.246,11.0,1556.386,SIDGHEYNE
2,1,155320,18-Aug,22,1,8333.717,7.0,1190.5310000000002,SIDGHEYNE
1,2,155320,18-Nov,22,1,35349.754,22.0,1606.807,SIDGHEYNE
4,3,155320,19-Feb,22,1,55064.51,37.0,1488.23,SIDGHEYNE
3,3,155320,19-Jan,22,1,8929.38,6.0,1488.2299999999998,SIDGHEYNE
4,2,155320,19-Jan,22,1,6421.176,4.0,1605.294,SIDGHEYNE
4,2,155320,19-Jun,22,1,81871.16,49.0,1670.8400000000001,SIDGHEYNE
1,2,155320,19-Apr,22,1,140350.56,84.0,1670.84,SIDGHEYNE
1,6,155320,19-Sep,22,1,62201.76,40.0,1555.044,SIDGHEYNE
4,1,155320,19-Oct,22,1,117125.624,88.0,1330.973,SIDGHEYNE
1,2,155320,19-Oct,22,1,25031.085,15.0,1668.739,SIDGHEYNE
4,2,155320,18-Feb,22,1,13062.096,9.0,1451.344,SIDGHEYNE
2,2,155320,19-Jan,22,1,17658.234,11.0,1605.294,SIDGHEYNE
1,1,155320,18-Jun,22,1,49462.996,44.0,1124.1589999999999,SIDGHEYNE
4,6,155320,19-Jun,22,1,49832.224,32.0,1557.257,SIDGHEYNE
4,2,155320,19-Mar,22,1,78659.406,49.0,1605.294,SIDGHEYNE
4,2,155320,19-Sep,22,1,86774.428,52.0,1668.739,SIDGHEYNE
1,2,155320,19-Mar,22,1,19263.528,12.0,1605.2939999999999,SIDGHEYNE
4,2,155320,19-Nov,22,1,51730.909,31.0,1668.739,SIDGHEYNE
1,6,155320,19-Nov,22,1,32655.924,21.0,1555.0439999999999,SIDGHEYNE
4,1,155320,18-Dec,22,1,60331.344,48.0,1256.903,SIDGHEYNE
1,3,155320,18-Dec,22,1,56598.937,38.0,1489.4457105263157,SIDGHEYNE
1,3,155320,18-Oct,22,1,16388.053,11.0,1489.823,SIDGHEYNE
