NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,2,153480,18-Nov,18,22,12854.456,8.0,1606.807,SIDI AICH
1,3,153480,18-Jun,18,22,6984.514,5.0,1396.9028,SIDI AICH
1,3,153480,18-Mar,18,22,9282.742,7.0,1326.106,SIDI AICH
2,1,153480,18-Jul,18,22,4762.124,4.0,1190.531,SIDI AICH
1,1,153480,18-Oct,18,22,79184.889,63.0,1256.903,SIDI AICH
1,3,153480,18-Oct,18,22,14898.23,10.0,1489.8229999999999,SIDI AICH
1,6,153480,19-Sep,18,22,9330.264,6.0,1555.0439999999999,SIDI AICH
1,1,153480,18-Mar,18,22,73433.948,68.0,1079.911,SIDI AICH
1,1,153480,18-Sep,18,22,99295.337,79.0,1256.903,SIDI AICH
1,2,153480,19-Sep,18,22,23362.346,14.0,1668.739,SIDI AICH
1,1,153480,19-Nov,18,22,42591.136,32.0,1330.973,SIDI AICH
3,2,153480,18-Nov,18,22,3213.614,2.0,1606.807,SIDI AICH
2,1,153480,18-Oct,18,22,12569.03,10.0,1256.903,SIDI AICH
1,2,153480,19-Dec,18,22,28368.563,17.0,1668.7389999999998,SIDI AICH
1,2,153480,18-Jan,18,22,20318.816,14.0,1451.3439999999998,SIDI AICH
1,1,153480,19-Oct,18,22,55900.866,42.0,1330.973,SIDI AICH
1,2,153480,18-Feb,18,22,20318.816,14.0,1451.3439999999998,SIDI AICH
4,1,153480,18-Dec,18,22,6284.515,5.0,1256.903,SIDI AICH
1,1,153480,18-Jul,18,22,44049.647,37.0,1190.531,SIDI AICH
1,3,153480,18-Jul,18,22,8620.356,6.0,1436.7259999999999,SIDI AICH
1,1,153480,18-Aug,18,22,52383.364,44.0,1190.531,SIDI AICH
1,3,153480,18-Nov,18,22,20857.522,14.0,1489.823,SIDI AICH
1,1,153480,19-Sep,18,22,45253.082,34.0,1330.973,SIDI AICH
1,1,153480,18-Jan,18,22,59395.105,55.0,1079.911,SIDI AICH
1,1,153480,18-Nov,18,22,65358.956,52.0,1256.903,SIDI AICH
1,2,153480,18-Mar,18,22,29026.88,20.0,1451.344,SIDI AICH
1,3,153480,18-Apr,18,22,6851.77,5.0,1370.354,SIDI AICH
1,2,153480,18-Sep,18,22,33742.947,21.0,1606.807,SIDI AICH
2,2,153480,18-Nov,18,22,3213.614,2.0,1606.807,SIDI AICH
1,1,153480,18-Jun,18,22,49002.557,43.0,1139.5943488372093,SIDI AICH
1,2,153480,19-Oct,18,22,33374.78,20.0,1668.739,SIDI AICH
1,3,153480,18-Feb,18,22,5304.424,4.0,1326.106,SIDI AICH
1,3,153480,18-May,18,22,8222.124,6.0,1370.354,SIDI AICH
3,2,153480,18-Aug,18,22,10894.702,7.0,1556.386,SIDI AICH
1,6,153480,19-Nov,18,22,13995.396,9.0,1555.044,SIDI AICH
2,2,153480,18-Jul,18,22,3112.772,2.0,1556.386,SIDI AICH
1,2,153480,18-Aug,18,22,48247.966,31.0,1556.386,SIDI AICH
3,3,153480,18-Aug,18,22,2873.452,2.0,1436.726,SIDI AICH
1,2,153480,18-Apr,18,22,22400.415,15.0,1493.361,SIDI AICH
1,3,153480,19-Jan,18,22,8929.38,6.0,1488.2299999999998,SIDI AICH
1,3,153480,18-Jan,18,22,7956.636,6.0,1326.106,SIDI AICH
1,2,153480,18-Jul,18,22,21789.404,14.0,1556.386,SIDI AICH
1,1,153480,18-Dec,18,22,36431.071,29.0,1256.243827586207,SIDI AICH
1,2,153480,18-Oct,18,22,20888.491,13.0,1606.8070000000002,SIDI AICH
1,3,153480,18-Sep,18,22,8938.938,6.0,1489.823,SIDI AICH
1,2,153480,18-Jun,18,22,21033.104,14.0,1502.3645714285715,SIDI AICH
2,1,153480,18-Dec,18,22,12569.03,10.0,1256.903,SIDI AICH
1,2,153480,18-May,18,22,17920.332,12.0,1493.3609999999999,SIDI AICH
3,1,153480,18-Aug,18,22,13095.841,11.0,1190.531,SIDI AICH
1,2,153480,19-Nov,18,22,26699.824,16.0,1668.739,SIDI AICH
1,1,153480,18-Apr,18,22,65201.222,58.0,1124.159,SIDI AICH
3,1,153480,18-Nov,18,22,5027.612,4.0,1256.903,SIDI AICH
1,1,153480,19-Jan,18,22,28872.13,23.0,1255.31,SIDI AICH
1,2,153480,18-Dec,18,22,20880.926,13.0,1606.2250769230768,SIDI AICH
2,1,153480,19-Sep,18,22,7985.838,6.0,1330.973,SIDI AICH
1,6,153480,19-Oct,18,22,18660.528,12.0,1555.0439999999999,SIDI AICH
1,6,153480,19-Dec,18,22,20215.572,13.0,1555.044,SIDI AICH
1,1,153480,18-Feb,18,22,69114.304,64.0,1079.911,SIDI AICH
1,1,153480,18-May,18,22,44966.36,40.0,1124.159,SIDI AICH
1,3,153480,18-Dec,18,22,14898.23,10.0,1489.8229999999999,SIDI AICH
1,2,153480,19-Jan,18,22,16052.94,10.0,1605.294,SIDI AICH
1,3,153480,18-Aug,18,22,5746.904,4.0,1436.726,SIDI AICH
2,1,153480,18-Nov,18,22,6284.515,5.0,1256.903,SIDI AICH
1,1,153480,19-Dec,18,22,105146.867,79.0,1330.973,SIDI AICH
