NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
3,3,153340,18-Apr,16,15,8222.124,6.0,1370.354,SIDI ALOUENE
1,1,153340,19-Jan,16,15,153147.82,122.0,1255.31,SIDI ALOUENE
1,2,153340,19-Jan,16,15,75448.818,47.0,1605.294,SIDI ALOUENE
1,3,153340,18-Nov,16,15,44694.69,30.0,1489.823,SIDI ALOUENE
2,2,153340,19-Jan,16,15,11237.058,7.0,1605.294,SIDI ALOUENE
1,2,153340,19-Mar,16,15,83475.288,52.0,1605.294,SIDI ALOUENE
1,1,153340,19-Nov,16,15,137090.219,103.0,1330.9730000000002,SIDI ALOUENE
1,1,153340,19-Dec,16,15,228927.356,172.0,1330.973,SIDI ALOUENE
1,1,153340,18-Feb,16,15,169546.027,157.0,1079.911,SIDI ALOUENE
1,1,153340,18-Mar,16,15,197623.713,183.0,1079.9109999999998,SIDI ALOUENE
3,2,153340,18-Aug,16,15,31127.72,20.0,1556.386,SIDI ALOUENE
1,3,153340,18-Sep,16,15,66829.647,45.0,1485.1032666666665,SIDI ALOUENE
1,3,153340,18-Oct,16,15,43204.867,29.0,1489.8229999999999,SIDI ALOUENE
1,2,153340,19-May,16,15,98579.56,59.0,1670.84,SIDI ALOUENE
1,2,153340,19-Nov,16,15,93449.384,56.0,1668.739,SIDI ALOUENE
1,2,153340,18-Mar,16,15,79823.92,55.0,1451.344,SIDI ALOUENE
4,3,153340,18-Nov,16,15,5959.292,4.0,1489.823,SIDI ALOUENE
1,2,153340,18-Aug,16,15,133849.196,86.0,1556.386,SIDI ALOUENE
1,2,153340,18-Sep,16,15,94196.561,59.0,1596.5518813559322,SIDI ALOUENE
1,2,153340,18-Feb,16,15,63859.136,44.0,1451.344,SIDI ALOUENE
1,2,153340,18-Jul,16,15,91826.774,59.0,1556.3860000000002,SIDI ALOUENE
1,3,153340,18-Jul,16,15,63215.944,44.0,1436.726,SIDI ALOUENE
3,3,153340,19-Jan,16,15,8929.38,6.0,1488.2299999999998,SIDI ALOUENE
2,6,153340,19-Jun,16,15,4671.771,3.0,1557.2569999999998,SIDI ALOUENE
1,6,153340,19-Nov,16,15,43541.232,28.0,1555.044,SIDI ALOUENE
1,6,153340,19-Apr,16,15,54503.995,35.0,1557.257,SIDI ALOUENE
2,1,153340,19-Jul,16,15,39995.58,30.0,1333.1860000000001,SIDI ALOUENE
2,1,153340,19-Nov,16,15,26619.46,20.0,1330.973,SIDI ALOUENE
2,1,153340,19-Sep,16,15,7985.838,6.0,1330.973,SIDI ALOUENE
3,3,153340,18-Feb,16,15,9282.742,7.0,1326.106,SIDI ALOUENE
1,1,153340,18-Nov,16,15,147057.651,117.0,1256.903,SIDI ALOUENE
1,2,153340,19-Jun,16,15,78529.48,47.0,1670.84,SIDI ALOUENE
1,6,153340,19-Jun,16,15,42045.939,27.0,1557.2569999999998,SIDI ALOUENE
1,2,153340,19-Aug,16,15,155192.727,93.0,1668.739,SIDI ALOUENE
1,2,153340,19-Oct,16,15,96786.862,58.0,1668.7389999999998,SIDI ALOUENE
2,2,153340,19-Nov,16,15,11681.173,7.0,1668.739,SIDI ALOUENE
1,2,153340,18-Jan,16,15,65310.48,45.0,1451.344,SIDI ALOUENE
1,1,153340,18-May,16,15,149513.147,133.0,1124.1589999999999,SIDI ALOUENE
1,2,153340,18-Dec,16,15,88339.586,55.0,1606.1742909090908,SIDI ALOUENE
4,2,153340,18-Nov,16,15,9640.842,6.0,1606.807,SIDI ALOUENE
1,1,153340,18-Jun,16,15,148268.739,129.0,1149.370069767442,SIDI ALOUENE
1,2,153340,18-Oct,16,15,64272.28,40.0,1606.807,SIDI ALOUENE
1,1,153340,19-Jun,16,15,51994.254,39.0,1333.186,SIDI ALOUENE
1,6,153340,19-Oct,16,15,51316.452,33.0,1555.0439999999999,SIDI ALOUENE
1,6,153340,19-Dec,16,15,65311.848,42.0,1555.0439999999999,SIDI ALOUENE
1,3,153340,18-Feb,16,15,34478.756,26.0,1326.106,SIDI ALOUENE
1,2,153340,18-Jun,16,15,75613.425,50.0,1512.2685000000001,SIDI ALOUENE
2,1,153340,18-Dec,16,15,56560.635,45.0,1256.903,SIDI ALOUENE
1,1,153340,19-Feb,16,15,156913.75,125.0,1255.31,SIDI ALOUENE
1,2,153340,19-Apr,16,15,105262.92,63.0,1670.84,SIDI ALOUENE
2,2,153340,19-Jun,16,15,15037.56,9.0,1670.84,SIDI ALOUENE
1,1,153340,19-Jul,16,15,153145.989,115.0,1331.7042521739131,SIDI ALOUENE
1,2,153340,19-Jul,16,15,120216.44,72.0,1669.6727777777778,SIDI ALOUENE
1,1,153340,19-Oct,16,15,171695.517,129.0,1330.973,SIDI ALOUENE
1,3,153340,18-May,16,15,47962.39,35.0,1370.354,SIDI ALOUENE
1,2,153340,19-Feb,16,15,72238.23,45.0,1605.2939999999999,SIDI ALOUENE
1,1,153340,19-May,16,15,157315.948,118.0,1333.186,SIDI ALOUENE
1,6,153340,19-Aug,16,15,118183.344,76.0,1555.0439999999999,SIDI ALOUENE
2,1,153340,18-Aug,16,15,17857.965,15.0,1190.531,SIDI ALOUENE
2,1,153340,18-Nov,16,15,30165.672,24.0,1256.903,SIDI ALOUENE
1,1,153340,18-Aug,16,15,154769.03,130.0,1190.531,SIDI ALOUENE
1,2,153340,19-Dec,16,15,105130.557,63.0,1668.739,SIDI ALOUENE
1,1,153340,18-Apr,16,15,149513.147,133.0,1124.1589999999999,SIDI ALOUENE
1,2,153340,18-Apr,16,15,47787.552,32.0,1493.361,SIDI ALOUENE
1,3,153340,18-Aug,16,15,81893.382,57.0,1436.7259999999999,SIDI ALOUENE
3,3,153340,18-Aug,16,15,17240.712,12.0,1436.7259999999999,SIDI ALOUENE
1,1,153340,19-Aug,16,15,215617.626,162.0,1330.973,SIDI ALOUENE
1,2,153340,18-Nov,16,15,49811.017,31.0,1606.807,SIDI ALOUENE
1,3,153340,19-Feb,16,15,43158.67,29.0,1488.23,SIDI ALOUENE
1,1,153340,19-Sep,16,15,155723.841,117.0,1330.973,SIDI ALOUENE
1,1,153340,19-Apr,16,15,191978.784,144.0,1333.1860000000001,SIDI ALOUENE
1,1,153340,19-Mar,16,15,154403.13,123.0,1255.31,SIDI ALOUENE
1,3,153340,18-Mar,16,15,37130.968,28.0,1326.106,SIDI ALOUENE
