NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
2,2,154490,18-Dec,15,27,89938.828,56.0,1606.0504999999998,SIDI BENNOUR
3,1,154490,18-Dec,15,27,25138.06,20.0,1256.903,SIDI BENNOUR
3,3,154490,19-Jan,15,27,11905.84,8.0,1488.23,SIDI BENNOUR
1,1,154490,18-Jul,15,27,227391.421,191.0,1190.531,SIDI BENNOUR
1,2,154490,19-Apr,15,27,28404.28,17.0,1670.84,SIDI BENNOUR
1,2,154490,19-Mar,15,27,61001.172,38.0,1605.2939999999999,SIDI BENNOUR
2,2,154490,19-Sep,15,27,130161.642,78.0,1668.739,SIDI BENNOUR
2,6,154490,19-Aug,15,27,4665.132,3.0,1555.0439999999999,SIDI BENNOUR
2,6,154490,19-Oct,15,27,6220.176,4.0,1555.044,SIDI BENNOUR
1,2,154490,18-Mar,15,27,68213.168,47.0,1451.344,SIDI BENNOUR
2,1,154490,18-Jul,15,27,59526.55,50.0,1190.531,SIDI BENNOUR
2,1,154490,18-Sep,15,27,62376.381,51.0,1223.066294117647,SIDI BENNOUR
2,2,154490,18-Nov,15,27,86767.578,54.0,1606.8069999999998,SIDI BENNOUR
2,1,154490,18-Jun,15,27,53105.126,46.0,1154.4592608695652,SIDI BENNOUR
1,2,154490,19-Sep,15,27,18356.129,11.0,1668.739,SIDI BENNOUR
1,2,154490,19-May,15,27,35087.64,21.0,1670.84,SIDI BENNOUR
2,2,154490,19-Oct,15,27,118480.469,71.0,1668.739,SIDI BENNOUR
1,1,154490,19-Mar,15,27,144360.65,115.0,1255.31,SIDI BENNOUR
2,2,154490,19-Mar,15,27,56185.29,35.0,1605.294,SIDI BENNOUR
2,2,154490,19-Jul,15,27,188666.254,113.0,1669.612867256637,SIDI BENNOUR
2,2,154490,18-Jun,15,27,34977.553,23.0,1520.7631739130434,SIDI BENNOUR
1,1,154490,18-Jun,15,27,155075.9,136.0,1140.2639705882352,SIDI BENNOUR
2,1,154490,19-Jun,15,27,381291.196,286.0,1333.186,SIDI BENNOUR
1,3,154490,18-Jan,15,27,3978.318,3.0,1326.106,SIDI BENNOUR
2,1,154490,18-Aug,15,27,200009.208,168.0,1190.5310000000002,SIDI BENNOUR
2,2,154490,19-Feb,15,27,61001.172,38.0,1605.2939999999999,SIDI BENNOUR
2,1,154490,19-May,15,27,283968.618,213.0,1333.1860000000001,SIDI BENNOUR
2,2,154490,19-Jun,15,27,123642.16,74.0,1670.8400000000001,SIDI BENNOUR
2,1,154490,19-Jul,15,27,454224.725,341.0,1332.0373167155424,SIDI BENNOUR
2,1,154490,19-Dec,15,27,352707.845,265.0,1330.973,SIDI BENNOUR
1,2,154490,18-Dec,15,27,28922.526,18.0,1606.807,SIDI BENNOUR
1,2,154490,19-Jan,15,27,49764.114,31.0,1605.294,SIDI BENNOUR
1,3,154490,18-Aug,15,27,7183.63,5.0,1436.726,SIDI BENNOUR
2,2,154490,19-Aug,15,27,226948.504,136.0,1668.7389999999998,SIDI BENNOUR
2,2,154490,19-Dec,15,27,141842.815,85.0,1668.739,SIDI BENNOUR
2,2,154490,18-Apr,15,27,7466.805,5.0,1493.361,SIDI BENNOUR
2,2,154490,18-Aug,15,27,43578.808,28.0,1556.386,SIDI BENNOUR
2,1,154490,19-Feb,15,27,189551.81,151.0,1255.31,SIDI BENNOUR
1,2,154490,18-Apr,15,27,44800.83,30.0,1493.361,SIDI BENNOUR
2,2,154490,18-May,15,27,13440.249,9.0,1493.3609999999999,SIDI BENNOUR
1,2,154490,18-May,15,27,43307.469,29.0,1493.3609999999999,SIDI BENNOUR
1,1,154490,19-Jan,15,27,117999.14,94.0,1255.31,SIDI BENNOUR
1,2,154490,18-Jul,15,27,161864.144,104.0,1556.386,SIDI BENNOUR
1,1,154490,18-Sep,15,27,280289.369,223.0,1256.903,SIDI BENNOUR
1,2,154490,18-Sep,15,27,89981.192,56.0,1606.807,SIDI BENNOUR
2,2,154490,19-May,15,27,101921.24,61.0,1670.8400000000001,SIDI BENNOUR
2,1,154490,19-Nov,15,27,440552.063,331.0,1330.9730000000002,SIDI BENNOUR
3,2,154490,18-Dec,15,27,11247.649,7.0,1606.807,SIDI BENNOUR
1,2,154490,18-Jun,15,27,43622.594,29.0,1504.2273793103448,SIDI BENNOUR
1,1,154490,19-Feb,15,27,149381.89,119.0,1255.3100000000002,SIDI BENNOUR
1,1,154490,18-May,15,27,314764.52,280.0,1124.159,SIDI BENNOUR
2,2,154490,19-Jan,15,27,62606.466,39.0,1605.294,SIDI BENNOUR
2,2,154490,18-Jul,15,27,21789.404,14.0,1556.386,SIDI BENNOUR
3,2,154490,18-Nov,15,27,8034.035,5.0,1606.807,SIDI BENNOUR
1,3,154490,19-Feb,15,27,5952.92,4.0,1488.23,SIDI BENNOUR
1,1,154490,19-May,15,27,145317.274,109.0,1333.1860000000001,SIDI BENNOUR
2,1,154490,19-Aug,15,27,531058.227,399.0,1330.973,SIDI BENNOUR
1,2,154490,18-Jan,15,27,72567.2,50.0,1451.344,SIDI BENNOUR
1,1,154490,18-Mar,15,27,333692.499,309.0,1079.911,SIDI BENNOUR
2,1,154490,18-Dec,15,27,271393.875,216.0,1256.453125,SIDI BENNOUR
2,2,154490,18-Sep,15,27,46294.877,29.0,1596.3750689655174,SIDI BENNOUR
1,2,154490,19-Feb,15,27,43342.938,27.0,1605.294,SIDI BENNOUR
1,2,154490,19-Jun,15,27,30075.12,18.0,1670.84,SIDI BENNOUR
2,3,154490,19-May,15,27,4671.771,3.0,1557.2569999999998,SIDI BENNOUR
2,1,154490,19-Sep,15,27,421918.441,317.0,1330.973,SIDI BENNOUR
1,2,154490,19-Jul,15,27,18379.24,11.0,1670.8400000000001,SIDI BENNOUR
1,2,154490,19-Aug,15,27,11681.173,7.0,1668.739,SIDI BENNOUR
1,2,154490,19-Oct,15,27,10012.434,6.0,1668.7389999999998,SIDI BENNOUR
2,1,154490,18-Apr,15,27,37097.247,33.0,1124.159,SIDI BENNOUR
2,2,154490,19-Apr,15,27,96908.72,58.0,1670.84,SIDI BENNOUR
2,1,154490,19-Oct,15,27,425911.36,320.0,1330.973,SIDI BENNOUR
3,3,154490,18-Feb,15,27,9282.742,7.0,1326.106,SIDI BENNOUR
2,1,154490,18-May,15,27,25855.657,23.0,1124.1589999999999,SIDI BENNOUR
3,3,154490,18-Jul,15,27,8620.356,6.0,1436.7259999999999,SIDI BENNOUR
1,1,154490,18-Aug,15,27,161912.216,136.0,1190.531,SIDI BENNOUR
2,2,154490,18-Oct,15,27,32136.14,20.0,1606.807,SIDI BENNOUR
3,1,154490,18-Nov,15,27,33936.381,27.0,1256.903,SIDI BENNOUR
2,3,154490,19-Apr,15,27,9343.542,6.0,1557.2569999999998,SIDI BENNOUR
2,6,154490,19-Sep,15,27,9330.264,6.0,1555.0439999999999,SIDI BENNOUR
2,1,154490,19-Jan,15,27,213402.7,170.0,1255.3100000000002,SIDI BENNOUR
1,1,154490,18-Dec,15,27,41477.799,33.0,1256.903,SIDI BENNOUR
2,1,154490,19-Mar,15,27,247296.07,197.0,1255.31,SIDI BENNOUR
2,2,154490,18-Jan,15,27,29026.88,20.0,1451.344,SIDI BENNOUR
1,1,154490,18-Feb,15,27,300215.258,278.0,1079.9109999999998,SIDI BENNOUR
1,2,154490,18-Feb,15,27,120461.552,83.0,1451.344,SIDI BENNOUR
1,1,154490,18-Oct,15,27,208645.898,166.0,1256.903,SIDI BENNOUR
1,2,154490,18-Oct,15,27,70699.508,44.0,1606.807,SIDI BENNOUR
2,1,154490,18-Oct,15,27,72900.374,58.0,1256.903,SIDI BENNOUR
1,1,154490,19-Apr,15,27,105321.694,79.0,1333.1860000000001,SIDI BENNOUR
1,1,154490,18-Jan,15,27,251619.263,233.0,1079.911,SIDI BENNOUR
