NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,2,153100,18-Jan,14,9,17416.128,12.0,1451.344,SIDI BOUALI
1,3,153100,18-Feb,14,9,13261.06,10.0,1326.106,SIDI BOUALI
1,1,153100,18-Oct,14,9,22624.254,18.0,1256.903,SIDI BOUALI
2,6,153100,19-Jul,14,9,34239.737,22.0,1556.3516818181818,SIDI BOUALI
3,3,153100,18-Feb,14,9,11934.954,9.0,1326.106,SIDI BOUALI
2,1,153100,18-Jan,14,9,136068.786,126.0,1079.9109999999998,SIDI BOUALI
2,1,153100,19-Jan,14,9,230977.04,184.0,1255.31,SIDI BOUALI
1,1,153100,19-Mar,14,9,11297.79,9.0,1255.3100000000002,SIDI BOUALI
2,6,153100,19-Sep,14,9,38876.1,25.0,1555.0439999999999,SIDI BOUALI
2,2,153100,19-Oct,14,9,71755.777,43.0,1668.739,SIDI BOUALI
2,2,153100,18-Mar,14,9,60956.448,42.0,1451.3439999999998,SIDI BOUALI
2,1,153100,18-Mar,14,9,206263.001,191.0,1079.9109999999998,SIDI BOUALI
1,2,153100,18-Mar,14,9,5805.376,4.0,1451.344,SIDI BOUALI
2,1,153100,18-Aug,14,9,182151.243,153.0,1190.531,SIDI BOUALI
1,3,153100,19-Jan,14,9,5952.92,4.0,1488.23,SIDI BOUALI
2,3,153100,19-May,14,9,28030.626,18.0,1557.257,SIDI BOUALI
2,6,153100,19-Jun,14,9,34259.654,22.0,1557.257,SIDI BOUALI
2,1,153100,19-Sep,14,9,332743.25,250.0,1330.973,SIDI BOUALI
2,6,153100,19-Mar,14,9,5952.92,4.0,1488.23,SIDI BOUALI
1,1,153100,18-Aug,14,9,11905.31,10.0,1190.531,SIDI BOUALI
3,3,153100,18-Jun,14,9,20555.31,15.0,1370.354,SIDI BOUALI
2,3,153100,19-Apr,14,9,17129.827,11.0,1557.257,SIDI BOUALI
2,6,153100,19-May,14,9,6229.028,4.0,1557.257,SIDI BOUALI
2,1,153100,19-Jul,14,9,339683.592,255.0,1332.092517647059,SIDI BOUALI
2,2,153100,19-Dec,14,9,85105.689,51.0,1668.739,SIDI BOUALI
2,2,153100,18-Jan,14,9,29084.934,20.04,1451.344011976048,SIDI BOUALI
2,2,153100,18-Jul,14,9,70037.37,45.0,1556.386,SIDI BOUALI
1,2,153100,18-Oct,14,9,6427.228,4.0,1606.807,SIDI BOUALI
2,1,153100,18-Oct,14,9,173452.614,138.0,1256.903,SIDI BOUALI
1,3,153100,18-Jun,14,9,5746.904,4.0,1436.726,SIDI BOUALI
1,6,153100,19-Mar,14,9,5952.92,4.0,1488.23,SIDI BOUALI
3,3,153100,18-Jan,14,9,19891.59,15.0,1326.106,SIDI BOUALI
2,2,153100,18-Feb,14,9,44991.664,31.0,1451.3439999999998,SIDI BOUALI
1,1,153100,18-Feb,14,9,56155.372,52.0,1079.911,SIDI BOUALI
3,3,153100,18-Mar,14,9,13261.06,10.0,1326.106,SIDI BOUALI
2,1,153100,19-Apr,14,9,309299.152,232.0,1333.186,SIDI BOUALI
3,3,153100,18-May,14,9,26036.726,19.0,1370.354,SIDI BOUALI
3,3,153100,19-Feb,14,9,26788.14,18.0,1488.23,SIDI BOUALI
1,1,153100,18-Jun,14,9,63027.606,54.0,1167.177888888889,SIDI BOUALI
2,2,153100,18-Oct,14,9,8034.035,5.0,1606.807,SIDI BOUALI
2,2,153100,18-Nov,14,9,43383.789,27.0,1606.8069999999998,SIDI BOUALI
2,2,153100,19-Mar,14,9,32105.88,20.0,1605.294,SIDI BOUALI
3,3,153100,19-Jan,14,9,19346.99,13.0,1488.23,SIDI BOUALI
3,3,153100,18-Jul,14,9,28734.52,20.0,1436.726,SIDI BOUALI
2,1,153100,18-Nov,14,9,232527.055,185.0,1256.903,SIDI BOUALI
3,3,153100,18-Nov,14,9,16388.053,11.0,1489.823,SIDI BOUALI
2,2,153100,19-Feb,14,9,61001.172,38.0,1605.2939999999999,SIDI BOUALI
1,2,153100,19-Jan,14,9,6421.176,4.0,1605.294,SIDI BOUALI
2,2,153100,19-Jun,14,9,68504.44,41.0,1670.8400000000001,SIDI BOUALI
1,2,153100,19-Mar,14,9,24079.41,15.0,1605.294,SIDI BOUALI
2,1,153100,19-Dec,14,9,315440.601,237.0,1330.9730000000002,SIDI BOUALI
1,2,153100,18-Apr,14,9,22400.415,15.0,1493.361,SIDI BOUALI
3,6,153100,19-Mar,14,9,22323.45,15.0,1488.23,SIDI BOUALI
2,2,153100,19-Aug,14,9,95118.123,57.0,1668.739,SIDI BOUALI
2,6,153100,19-Nov,14,9,34210.968,22.0,1555.044,SIDI BOUALI
1,3,153100,18-Jan,14,9,3978.318,3.0,1326.106,SIDI BOUALI
2,1,153100,18-Sep,14,9,217045.987,173.0,1254.6010809248555,SIDI BOUALI
2,2,153100,18-Jun,14,9,42066.208,28.0,1502.3645714285715,SIDI BOUALI
2,1,153100,19-May,14,9,322631.012,242.0,1333.186,SIDI BOUALI
2,1,153100,19-Oct,14,9,331412.277,249.0,1330.973,SIDI BOUALI
1,1,153100,18-Apr,14,9,59580.427,53.0,1124.159,SIDI BOUALI
3,3,153100,18-Dec,14,9,28298.672,19.0,1489.4037894736841,SIDI BOUALI
2,1,153100,18-Feb,14,9,167386.205,155.0,1079.9109999999998,SIDI BOUALI
1,1,153100,18-Mar,14,9,51835.728,48.0,1079.911,SIDI BOUALI
1,3,153100,18-May,14,9,5481.416,4.0,1370.354,SIDI BOUALI
1,2,153100,18-Jun,14,9,25954.362,17.0,1526.7271764705883,SIDI BOUALI
2,6,153100,19-Aug,14,9,40431.144,26.0,1555.044,SIDI BOUALI
2,2,153100,19-Sep,14,9,55068.387,33.0,1668.739,SIDI BOUALI
2,1,153100,18-May,14,9,171996.327,153.0,1124.1589999999999,SIDI BOUALI
3,1,153100,18-Dec,14,9,12569.03,10.0,1256.903,SIDI BOUALI
2,2,153100,19-Jan,14,9,49764.114,31.0,1605.294,SIDI BOUALI
2,1,153100,19-Feb,14,9,246040.76,196.0,1255.31,SIDI BOUALI
1,1,153100,18-Jul,14,9,9524.248,8.0,1190.531,SIDI BOUALI
1,1,153100,18-Jan,14,9,86392.88,80.0,1079.911,SIDI BOUALI
2,2,153100,18-Apr,14,9,46294.191,31.0,1493.3609999999999,SIDI BOUALI
3,3,153100,18-Apr,14,9,24666.372,18.0,1370.354,SIDI BOUALI
2,2,153100,18-Dec,14,9,57820.844,36.0,1606.1345555555554,SIDI BOUALI
2,2,153100,19-May,14,9,71846.12,43.0,1670.84,SIDI BOUALI
2,1,153100,19-Jun,14,9,293300.92,220.0,1333.186,SIDI BOUALI
2,1,153100,19-Mar,14,9,253572.62,202.0,1255.31,SIDI BOUALI
2,1,153100,19-Nov,14,9,327419.358,246.0,1330.973,SIDI BOUALI
2,6,153100,19-Dec,14,9,32655.924,21.0,1555.0439999999999,SIDI BOUALI
2,1,153100,18-Apr,14,9,213590.21,190.0,1124.1589999999999,SIDI BOUALI
2,1,153100,18-Dec,14,9,224886.871,179.0,1256.3512346368716,SIDI BOUALI
2,2,153100,19-Apr,14,9,73516.96,44.0,1670.8400000000001,SIDI BOUALI
3,6,153100,19-Apr,14,9,14015.313,9.0,1557.257,SIDI BOUALI
2,1,153100,19-Aug,14,9,323426.439,243.0,1330.973,SIDI BOUALI
2,2,153100,19-Jul,14,9,78485.359,47.0,1669.901255319149,SIDI BOUALI
1,2,153100,19-Sep,14,9,18356.129,11.0,1668.739,SIDI BOUALI
2,6,153100,19-Oct,14,9,29545.836,19.0,1555.0439999999999,SIDI BOUALI
1,2,153100,18-Feb,14,9,10159.408,7.0,1451.3439999999998,SIDI BOUALI
2,2,153100,18-May,14,9,50774.274,34.0,1493.3609999999999,SIDI BOUALI
1,3,153100,18-Mar,14,9,15913.272,12.0,1326.106,SIDI BOUALI
1,2,153100,18-May,14,9,4480.083,3.0,1493.3609999999999,SIDI BOUALI
2,1,153100,18-Jul,14,9,223819.828,188.0,1190.531,SIDI BOUALI
1,1,153100,18-May,14,9,31476.452,28.0,1124.159,SIDI BOUALI
1,3,153100,18-Jul,14,9,5746.904,4.0,1436.726,SIDI BOUALI
2,2,153100,18-Aug,14,9,14007.474,9.0,1556.386,SIDI BOUALI
2,1,153100,18-Jun,14,9,151305.191,133.0,1137.6330150375939,SIDI BOUALI
2,2,153100,19-Nov,14,9,60074.604,36.0,1668.739,SIDI BOUALI
