NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
2,2,152930,18-Jan,1,40,248179.824,171.0,1451.344,SIDI BOUSAID
2,2,152930,18-Apr,1,40,307632.366,206.0,1493.3609999999999,SIDI BOUSAID
2,1,152930,18-Aug,1,40,50002.302,42.0,1190.5310000000002,SIDI BOUSAID
3,2,152930,18-Aug,1,40,35796.878,23.0,1556.386,SIDI BOUSAID
2,2,152930,18-Jun,1,40,308490.169,204.0,1512.2067107843136,SIDI BOUSAID
2,4,152930,18-Sep,1,40,6998.656,4.0,1749.664,SIDI BOUSAID
2,4,152930,18-Dec,1,40,5248.992,3.0,1749.664,SIDI BOUSAID
2,1,152930,19-Feb,1,40,57744.26,46.0,1255.31,SIDI BOUSAID
1,2,152930,19-Feb,1,40,20868.822,13.0,1605.294,SIDI BOUSAID
3,2,152930,19-May,1,40,3341.68,2.0,1670.84,SIDI BOUSAID
2,5,152930,19-Jul,1,40,3414.16,2.0,1707.08,SIDI BOUSAID
2,4,152930,19-Aug,1,40,3643.024,2.0,1821.512,SIDI BOUSAID
2,5,152930,19-Dec,1,40,3414.16,2.0,1707.08,SIDI BOUSAID
3,3,152930,18-Aug,1,40,67526.122,47.0,1436.726,SIDI BOUSAID
3,2,152930,18-Mar,1,40,8708.064,6.0,1451.344,SIDI BOUSAID
1,3,152930,19-Jan,1,40,7441.15,5.0,1488.23,SIDI BOUSAID
3,3,152930,19-Jan,1,40,59529.2,40.0,1488.23,SIDI BOUSAID
3,5,152930,18-Oct,1,40,3262.832,2.0,1631.416,SIDI BOUSAID
1,3,152930,19-Feb,1,40,2976.46,2.0,1488.23,SIDI BOUSAID
2,2,152930,19-Oct,1,40,325404.105,195.0,1668.7389999999998,SIDI BOUSAID
2,1,152930,19-Nov,1,40,63886.704,48.0,1330.973,SIDI BOUSAID
2,1,152930,19-Dec,1,40,61224.758,46.0,1330.973,SIDI BOUSAID
2,6,152930,19-Nov,1,40,66866.892,43.0,1555.044,SIDI BOUSAID
3,3,152930,18-Feb,1,40,26522.12,20.0,1326.106,SIDI BOUSAID
2,2,152930,18-Mar,1,40,287366.112,198.0,1451.344,SIDI BOUSAID
3,1,152930,18-Apr,1,40,6744.954,6.0,1124.1589999999999,SIDI BOUSAID
3,5,152930,18-Dec,1,40,3262.832,2.0,1631.416,SIDI BOUSAID
2,1,152930,18-Jul,1,40,69050.798,58.0,1190.531,SIDI BOUSAID
3,3,152930,19-Feb,1,40,66970.35,45.0,1488.23,SIDI BOUSAID
2,4,152930,19-Jan,1,40,3499.328,2.0,1749.664,SIDI BOUSAID
2,1,152930,19-May,1,40,67992.486,51.0,1333.1860000000001,SIDI BOUSAID
3,1,152930,19-May,1,40,7999.116,6.0,1333.186,SIDI BOUSAID
1,6,152930,19-Mar,1,40,11905.84,8.0,1488.23,SIDI BOUSAID
3,2,152930,19-Sep,1,40,15018.651,9.0,1668.739,SIDI BOUSAID
1,3,152930,18-Feb,1,40,31826.544,24.0,1326.106,SIDI BOUSAID
3,3,152930,18-May,1,40,73999.116,54.0,1370.3539999999998,SIDI BOUSAID
3,3,152930,18-Nov,1,40,71511.504,48.0,1489.823,SIDI BOUSAID
1,2,152930,18-Dec,1,40,19281.684,12.0,1606.807,SIDI BOUSAID
2,5,152930,19-Oct,1,40,3414.16,2.0,1707.08,SIDI BOUSAID
2,5,152930,19-Nov,1,40,3414.16,2.0,1707.08,SIDI BOUSAID
2,6,152930,19-Dec,1,40,71532.024,46.0,1555.044,SIDI BOUSAID
3,5,152930,18-Sep,1,40,3262.832,2.0,1631.416,SIDI BOUSAID
3,1,152930,18-Jun,1,40,3372.477,3.0,1124.1589999999999,SIDI BOUSAID
2,6,152930,19-May,1,40,6229.028,4.0,1557.257,SIDI BOUSAID
2,6,152930,19-Mar,1,40,10417.61,7.0,1488.23,SIDI BOUSAID
3,6,152930,19-Aug,1,40,4665.132,3.0,1555.0439999999999,SIDI BOUSAID
2,2,152930,19-Dec,1,40,298704.281,179.0,1668.739,SIDI BOUSAID
2,2,152930,18-May,1,40,309125.727,207.0,1493.361,SIDI BOUSAID
2,2,152930,18-Dec,1,40,276292.128,172.0,1606.3495813953489,SIDI BOUSAID
1,3,152930,18-Oct,1,40,23837.168,16.0,1489.823,SIDI BOUSAID
1,1,152930,18-Dec,1,40,3770.709,3.0,1256.903,SIDI BOUSAID
2,2,152930,19-Feb,1,40,250425.864,156.0,1605.294,SIDI BOUSAID
2,2,152930,19-Apr,1,40,317459.6,190.0,1670.84,SIDI BOUSAID
6,1,152930,19-Dec,1,40,-1360.973,-1.0,1360.973,SIDI BOUSAID
2,6,152930,19-Aug,1,40,77752.2,50.0,1555.0439999999999,SIDI BOUSAID
3,6,152930,19-Nov,1,40,6220.176,4.0,1555.044,SIDI BOUSAID
1,1,152930,18-Feb,1,40,5399.555,5.0,1079.911,SIDI BOUSAID
3,3,152930,18-Mar,1,40,71609.724,54.0,1326.106,SIDI BOUSAID
1,1,152930,19-Jan,1,40,10042.48,8.0,1255.31,SIDI BOUSAID
1,2,152930,19-Jan,1,40,51369.408,32.0,1605.294,SIDI BOUSAID
2,4,152930,18-Jul,1,40,5097.732,3.0,1699.244,SIDI BOUSAID
2,1,152930,18-Sep,1,40,67673.646,54.0,1253.2156666666665,SIDI BOUSAID
2,6,152930,19-Jun,1,40,70076.565,45.0,1557.257,SIDI BOUSAID
1,2,152930,19-Mar,1,40,77054.112,48.0,1605.2939999999999,SIDI BOUSAID
2,4,152930,19-Jul,1,40,9111.762,5.0,1822.3524000000002,SIDI BOUSAID
2,1,152930,19-Sep,1,40,73203.515,55.0,1330.973,SIDI BOUSAID
1,3,152930,18-Dec,1,40,7449.115,5.0,1489.8229999999999,SIDI BOUSAID
3,3,152930,18-Jul,1,40,76146.478,53.0,1436.726,SIDI BOUSAID
3,5,152930,18-Jul,1,40,6313.276,4.0,1578.319,SIDI BOUSAID
1,3,152930,18-Aug,1,40,8620.356,6.0,1436.7259999999999,SIDI BOUSAID
2,2,152930,18-Oct,1,40,300472.909,187.0,1606.807,SIDI BOUSAID
3,2,152930,18-Oct,1,40,22495.298,14.0,1606.807,SIDI BOUSAID
6,1,152930,18-Dec,1,40,-1286.903,-1.0,1286.903,SIDI BOUSAID
1,1,152930,19-Feb,1,40,3765.93,3.0,1255.31,SIDI BOUSAID
2,1,152930,19-Jun,1,40,69325.672,52.0,1333.1860000000001,SIDI BOUSAID
2,6,152930,19-Sep,1,40,76197.156,49.0,1555.044,SIDI BOUSAID
2,1,152930,19-Aug,1,40,71872.542,54.0,1330.973,SIDI BOUSAID
2,5,152930,19-Sep,1,40,3414.16,2.0,1707.08,SIDI BOUSAID
2,1,152930,19-Jan,1,40,51467.71,41.0,1255.31,SIDI BOUSAID
2,4,152930,18-Oct,1,40,6998.656,4.0,1749.664,SIDI BOUSAID
2,1,152930,18-Nov,1,40,47762.314,38.0,1256.903,SIDI BOUSAID
2,4,152930,19-Apr,1,40,9118.065,5.0,1823.613,SIDI BOUSAID
3,1,152930,18-May,1,40,2248.318,2.0,1124.159,SIDI BOUSAID
