NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,1,150810,18-Feb,13,25,356370.63,330.0,1079.911,SIDI BOUZID
1,2,150810,18-Mar,13,25,175612.624,121.0,1451.344,SIDI BOUZID
1,1,150810,18-Apr,13,25,296777.976,264.0,1124.159,SIDI BOUZID
4,1,150810,18-Dec,13,25,22624.254,18.0,1256.903,SIDI BOUZID
2,1,150810,19-Jan,13,25,46446.47,37.0,1255.31,SIDI BOUZID
1,3,150810,18-Nov,13,25,113226.548,76.0,1489.8229999999999,SIDI BOUZID
3,2,150810,18-Aug,13,25,38909.65,25.0,1556.386,SIDI BOUZID
1,3,150810,18-Oct,13,25,120675.663,81.0,1489.823,SIDI BOUZID
3,3,150810,18-Nov,13,25,10428.761,7.0,1489.823,SIDI BOUZID
1,1,150810,19-Jun,13,25,95989.392,72.0,1333.1860000000001,SIDI BOUZID
1,2,150810,19-Jun,13,25,222221.72,133.0,1670.84,SIDI BOUZID
2,1,150810,19-Jul,13,25,34662.836,26.0,1333.1860000000001,SIDI BOUZID
4,2,150810,19-Sep,13,25,11681.173,7.0,1668.739,SIDI BOUZID
3,3,150810,18-Mar,13,25,19891.59,15.0,1326.106,SIDI BOUZID
1,3,150810,18-May,13,25,127442.922,93.0,1370.354,SIDI BOUZID
2,2,150810,18-Jul,13,25,18676.632,12.0,1556.3860000000002,SIDI BOUZID
1,6,150810,19-Mar,13,25,126499.55,85.0,1488.23,SIDI BOUZID
1,2,150810,19-Jul,13,25,218743.475,131.0,1669.7975190839695,SIDI BOUZID
1,1,150810,18-May,13,25,273170.637,243.0,1124.1589999999999,SIDI BOUZID
1,2,150810,18-Dec,13,25,176691.276,110.0,1606.2843272727273,SIDI BOUZID
1,3,150810,19-Jan,13,25,117570.17,79.0,1488.23,SIDI BOUZID
2,1,150810,18-Dec,13,25,43991.605,35.0,1256.903,SIDI BOUZID
2,2,150810,19-Jan,13,25,33711.174,21.0,1605.2939999999999,SIDI BOUZID
1,3,150810,18-Aug,13,25,107754.45,75.0,1436.7259999999999,SIDI BOUZID
1,1,150810,18-Nov,13,25,276518.66,220.0,1256.9029999999998,SIDI BOUZID
4,3,150810,18-Jul,13,25,10057.082,7.0,1436.726,SIDI BOUZID
1,6,150810,19-Apr,13,25,143267.644,92.0,1557.257,SIDI BOUZID
2,1,150810,19-Sep,13,25,15971.676,12.0,1330.973,SIDI BOUZID
2,1,150810,18-Oct,13,25,17596.642,14.0,1256.903,SIDI BOUZID
1,3,150810,18-Apr,13,25,124702.214,91.0,1370.354,SIDI BOUZID
1,2,150810,18-Jul,13,25,157194.986,101.0,1556.386,SIDI BOUZID
1,1,150810,18-Jul,13,25,234534.607,197.0,1190.531,SIDI BOUZID
1,1,150810,18-Sep,13,25,281546.272,224.0,1256.903,SIDI BOUZID
4,2,150810,18-Nov,13,25,9640.842,6.0,1606.807,SIDI BOUZID
1,1,150810,19-Oct,13,25,290152.114,218.0,1330.973,SIDI BOUZID
1,1,150810,19-Nov,13,25,344722.007,259.0,1330.973,SIDI BOUZID
1,2,150810,18-Feb,13,25,168355.904,116.0,1451.344,SIDI BOUZID
1,3,150810,18-Sep,13,25,124932.744,84.0,1487.2945714285715,SIDI BOUZID
1,6,150810,19-Jun,13,25,151053.929,97.0,1557.257,SIDI BOUZID
3,3,150810,19-Jan,13,25,10417.61,7.0,1488.23,SIDI BOUZID
3,3,150810,18-Aug,13,25,30171.246,21.0,1436.7259999999999,SIDI BOUZID
1,3,150810,18-Jun,13,25,134517.266,97.0,1386.77593814433,SIDI BOUZID
1,2,150810,19-Apr,13,25,220550.88,132.0,1670.8400000000001,SIDI BOUZID
1,1,150810,19-Dec,13,25,351376.872,264.0,1330.973,SIDI BOUZID
1,6,150810,19-May,13,25,133924.102,86.0,1557.257,SIDI BOUZID
1,1,150810,19-Aug,13,25,312778.655,235.0,1330.9730000000002,SIDI BOUZID
1,2,150810,18-Nov,13,25,133364.981,83.0,1606.807,SIDI BOUZID
1,2,150810,19-Feb,13,25,174977.046,109.0,1605.294,SIDI BOUZID
2,1,150810,19-Jun,13,25,126652.67,95.0,1333.186,SIDI BOUZID
1,2,150810,19-Dec,13,25,203586.158,122.0,1668.739,SIDI BOUZID
1,2,150810,19-Nov,13,25,215267.331,129.0,1668.739,SIDI BOUZID
