NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,1,154010,18-Feb,14,21,200863.446,186.0,1079.911,SIDI EL HENI
1,2,154010,18-Jul,14,21,34240.492,22.0,1556.386,SIDI EL HENI
2,2,154010,18-Nov,14,21,78733.543,49.0,1606.807,SIDI EL HENI
3,3,154010,18-Dec,14,21,10417.61,7.0,1488.23,SIDI EL HENI
2,2,154010,19-Jun,14,21,75187.8,45.0,1670.8400000000001,SIDI EL HENI
1,2,154010,19-Mar,14,21,41737.644,26.0,1605.294,SIDI EL HENI
2,2,154010,19-Jul,14,21,80149.896,48.0,1669.7894999999999,SIDI EL HENI
2,2,154010,18-Jan,14,21,11610.752,8.0,1451.344,SIDI EL HENI
3,3,154010,18-Feb,14,21,9282.742,7.0,1326.106,SIDI EL HENI
2,2,154010,18-Feb,14,21,8708.064,6.0,1451.344,SIDI EL HENI
1,2,154010,18-Mar,14,21,44991.664,31.0,1451.3439999999998,SIDI EL HENI
1,3,154010,18-Dec,14,21,17877.876,12.0,1489.823,SIDI EL HENI
2,1,154010,18-Dec,14,21,244952.715,195.0,1256.1677692307692,SIDI EL HENI
1,2,154010,19-Feb,14,21,35316.468,22.0,1605.294,SIDI EL HENI
2,2,154010,19-May,14,21,73516.96,44.0,1670.8400000000001,SIDI EL HENI
2,2,154010,19-Sep,14,21,73424.516,44.0,1668.739,SIDI EL HENI
2,1,154010,18-Feb,14,21,28077.686,26.0,1079.911,SIDI EL HENI
2,1,154010,19-Apr,14,21,195978.342,147.0,1333.186,SIDI EL HENI
2,2,154010,19-Aug,14,21,103461.818,62.0,1668.739,SIDI EL HENI
2,6,154010,19-Nov,14,21,32655.924,21.0,1555.0439999999999,SIDI EL HENI
2,1,154010,18-Jan,14,21,49675.906,46.0,1079.911,SIDI EL HENI
3,3,154010,18-Mar,14,21,17239.378,13.0,1326.106,SIDI EL HENI
2,2,154010,18-Apr,14,21,16426.971,11.0,1493.361,SIDI EL HENI
2,1,154010,18-Aug,14,21,265488.413,223.0,1190.531,SIDI EL HENI
2,1,154010,18-May,14,21,128154.126,114.0,1124.159,SIDI EL HENI
1,1,154010,18-Sep,14,21,247609.891,197.0,1256.903,SIDI EL HENI
2,2,154010,18-Sep,14,21,12854.456,8.0,1606.807,SIDI EL HENI
1,1,154010,18-Dec,14,21,35193.284,28.0,1256.903,SIDI EL HENI
1,2,154010,19-Aug,14,21,13349.912,8.0,1668.739,SIDI EL HENI
2,1,154010,19-Dec,14,21,310116.709,233.0,1330.973,SIDI EL HENI
2,1,154010,18-Feb,14,21,11879.021,11.0,1079.911,SIDI EL HENI
2,2,154010,18-Aug,14,21,35796.878,23.0,1556.386,SIDI EL HENI
1,3,154010,18-Aug,14,21,17240.712,12.0,1436.7259999999999,SIDI EL HENI
2,1,154010,19-Feb,14,21,155658.44,124.0,1255.31,SIDI EL HENI
1,1,154010,19-Feb,14,21,111722.59,89.0,1255.31,SIDI EL HENI
3,6,154010,19-Apr,14,21,7786.285,5.0,1557.257,SIDI EL HENI
3,6,154010,19-Mar,14,21,19346.99,13.0,1488.23,SIDI EL HENI
1,6,154010,19-Mar,14,21,8929.38,6.0,1488.2299999999998,SIDI EL HENI
2,6,154010,19-May,14,21,6229.028,4.0,1557.257,SIDI EL HENI
1,3,154010,18-Feb,14,21,7956.636,6.0,1326.106,SIDI EL HENI
1,2,154010,18-May,14,21,31360.581,21.0,1493.3609999999999,SIDI EL HENI
1,1,154010,18-Jul,14,21,88099.294,74.0,1190.531,SIDI EL HENI
1,3,154010,18-Jul,14,21,8620.356,6.0,1436.7259999999999,SIDI EL HENI
3,2,154010,18-Aug,14,21,9338.316,6.0,1556.3860000000002,SIDI EL HENI
2,2,154010,19-Apr,14,21,68504.44,41.0,1670.8400000000001,SIDI EL HENI
2,6,154010,19-Sep,14,21,20215.572,13.0,1555.044,SIDI EL HENI
1,2,154010,18-Jan,14,21,62407.792,43.0,1451.344,SIDI EL HENI
1,1,154010,18-Apr,14,21,184362.076,164.0,1124.159,SIDI EL HENI
2,2,154010,18-May,14,21,41814.108,28.0,1493.361,SIDI EL HENI
2,2,154010,18-Jul,14,21,48247.966,31.0,1556.386,SIDI EL HENI
1,6,154010,19-May,14,21,6229.028,4.0,1557.257,SIDI EL HENI
2,6,154010,19-Aug,14,21,57536.628,37.0,1555.0439999999999,SIDI EL HENI
3,2,154010,19-Jul,14,21,6674.956,4.0,1668.739,SIDI EL HENI
2,2,154010,19-Dec,14,21,100124.34,60.0,1668.739,SIDI EL HENI
2,1,154010,18-Mar,14,21,91792.435,85.0,1079.911,SIDI EL HENI
