NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
3,1,154400,18-Apr,7,81,26979.816,24.0,1124.1589999999999,SIDI SMAIL
2,2,154400,19-Jan,7,81,20868.822,13.0,1605.294,SIDI SMAIL
3,1,154400,18-Dec,7,81,16339.739,13.0,1256.903,SIDI SMAIL
3,2,154400,19-Jan,7,81,4815.882,3.0,1605.2939999999999,SIDI SMAIL
2,2,154400,18-Jun,7,81,45242.005,30.0,1508.0668333333333,SIDI SMAIL
2,3,154400,19-Apr,7,81,26473.369,17.0,1557.2569999999998,SIDI SMAIL
2,2,154400,19-Sep,7,81,46724.692,28.0,1668.739,SIDI SMAIL
2,2,154400,18-Feb,7,81,17416.128,12.0,1451.344,SIDI SMAIL
3,3,154400,18-Jun,7,81,22124.78,16.0,1382.79875,SIDI SMAIL
2,1,154400,19-Oct,7,81,347383.953,261.0,1330.973,SIDI SMAIL
2,1,154400,19-Mar,7,81,112977.9,90.0,1255.31,SIDI SMAIL
2,6,154400,19-Sep,7,81,23325.66,15.0,1555.044,SIDI SMAIL
2,2,154400,18-Jan,7,81,31929.568,22.0,1451.344,SIDI SMAIL
3,3,154400,18-Feb,7,81,5304.424,4.0,1326.106,SIDI SMAIL
3,3,154400,18-Aug,7,81,21550.89,15.0,1436.7259999999999,SIDI SMAIL
2,1,154400,18-Dec,7,81,144468.974,115.0,1256.2519478260867,SIDI SMAIL
2,1,154400,18-Sep,7,81,154599.069,123.0,1256.903,SIDI SMAIL
3,3,154400,18-Sep,7,81,16388.053,11.0,1489.823,SIDI SMAIL
3,3,154400,18-Nov,7,81,20857.522,14.0,1489.823,SIDI SMAIL
3,2,154400,18-Nov,7,81,6427.228,4.0,1606.807,SIDI SMAIL
2,1,154400,19-Jul,7,81,255799.098,192.0,1332.28696875,SIDI SMAIL
2,2,154400,19-Aug,7,81,70087.038,42.0,1668.739,SIDI SMAIL
3,3,154400,18-Jan,7,81,26522.12,20.0,1326.106,SIDI SMAIL
3,1,154400,18-Jan,7,81,6479.466,6.0,1079.911,SIDI SMAIL
2,2,154400,18-Nov,7,81,36956.561,23.0,1606.807,SIDI SMAIL
2,1,154400,19-Jan,7,81,94148.25,75.0,1255.31,SIDI SMAIL
1,1,154400,18-Oct,7,81,8798.321,7.0,1256.903,SIDI SMAIL
1,1,154400,19-Mar,7,81,27616.82,22.0,1255.31,SIDI SMAIL
2,1,154400,19-Aug,7,81,271518.492,204.0,1330.9730000000002,SIDI SMAIL
2,6,154400,19-Oct,7,81,18660.528,12.0,1555.0439999999999,SIDI SMAIL
2,1,154400,19-Dec,7,81,167702.598,126.0,1330.973,SIDI SMAIL
2,1,154400,18-Jul,7,81,191675.491,161.0,1190.531,SIDI SMAIL
1,2,154400,19-Jan,7,81,6421.176,4.0,1605.294,SIDI SMAIL
2,1,154400,19-May,7,81,217309.318,163.0,1333.186,SIDI SMAIL
2,1,154400,19-Apr,7,81,159982.32,120.0,1333.1860000000001,SIDI SMAIL
2,2,154400,19-Mar,7,81,28895.292,18.0,1605.294,SIDI SMAIL
3,2,154400,18-Apr,7,81,5973.444,4.0,1493.361,SIDI SMAIL
