NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
2,2,153130,18-May,10,31,83628.216,56.0,1493.361,SILIANA
3,1,153130,18-May,10,31,58456.268,52.0,1124.1589999999999,SILIANA
3,2,153130,18-Sep,10,31,20888.491,13.0,1606.8070000000002,SILIANA
2,2,153130,18-Oct,10,31,73913.122,46.0,1606.807,SILIANA
1,3,153130,18-Oct,10,31,50653.982,34.0,1489.823,SILIANA
2,2,153130,19-Feb,10,31,89896.464,56.0,1605.294,SILIANA
2,2,153130,19-Apr,10,31,108604.6,65.0,1670.8400000000001,SILIANA
2,6,153130,19-Jun,10,31,87206.392,56.0,1557.257,SILIANA
1,2,153130,19-Mar,10,31,27289.998,17.0,1605.2939999999999,SILIANA
2,2,153130,18-Feb,10,31,50797.04,35.0,1451.344,SILIANA
1,3,153130,18-Feb,10,31,31826.544,24.0,1326.106,SILIANA
3,1,153130,18-Jan,10,31,12958.932,12.0,1079.911,SILIANA
3,3,153130,18-Apr,10,31,64406.638,47.0,1370.354,SILIANA
3,3,153130,19-Jan,10,31,80364.42,54.0,1488.23,SILIANA
2,2,153130,19-Jan,10,31,93107.052,58.0,1605.2939999999999,SILIANA
1,1,153130,18-Sep,10,31,90497.016,72.0,1256.903,SILIANA
1,2,153130,18-Jun,10,31,32853.942,22.0,1493.361,SILIANA
2,1,153130,19-Feb,10,31,246040.76,196.0,1255.31,SILIANA
1,2,153130,19-Feb,10,31,20868.822,13.0,1605.294,SILIANA
1,6,153130,19-May,10,31,14015.313,9.0,1557.257,SILIANA
2,6,153130,19-Oct,10,31,83972.376,54.0,1555.044,SILIANA
3,1,153130,19-May,10,31,42661.952,32.0,1333.186,SILIANA
1,1,153130,19-Mar,10,31,69042.05,55.0,1255.31,SILIANA
3,1,153130,19-Aug,10,31,29281.406,22.0,1330.973,SILIANA
2,2,153130,19-Nov,10,31,143511.554,86.0,1668.739,SILIANA
2,1,153130,18-Feb,10,31,190064.336,176.0,1079.911,SILIANA
1,1,153130,18-May,10,31,98925.992,88.0,1124.1589999999999,SILIANA
2,1,153130,18-Jul,10,31,351206.645,295.0,1190.5310000000002,SILIANA
1,2,153130,18-Jul,10,31,14007.474,9.0,1556.386,SILIANA
