NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,3,154340,18-Feb,17,55,30500.438,23.0,1326.106,SKHIRA
1,3,154340,18-Mar,17,55,39783.18,30.0,1326.106,SKHIRA
1,2,154340,18-May,17,55,32853.942,22.0,1493.361,SKHIRA
1,3,154340,18-Jan,17,55,30500.438,23.0,1326.106,SKHIRA
1,2,154340,18-Feb,17,55,56602.416,39.0,1451.3439999999998,SKHIRA
2,1,154340,19-Jan,17,55,21340.27,17.0,1255.31,SKHIRA
1,1,154340,18-Oct,17,55,103066.046,82.0,1256.903,SKHIRA
3,3,154340,18-Jan,17,55,6630.53,5.0,1326.106,SKHIRA
1,1,154340,18-Aug,17,55,141673.189,119.0,1190.5310000000002,SKHIRA
1,2,154340,18-Sep,17,55,41776.982,26.0,1606.8070000000002,SKHIRA
1,2,154340,18-Oct,17,55,36956.561,23.0,1606.807,SKHIRA
1,2,154340,18-Nov,17,55,25708.912,16.0,1606.807,SKHIRA
1,2,154340,19-Mar,17,55,64211.76,40.0,1605.294,SKHIRA
1,2,154340,18-Apr,17,55,34347.303,23.0,1493.361,SKHIRA
2,2,154340,19-Jan,17,55,6421.176,4.0,1605.294,SKHIRA
1,1,154340,18-Mar,17,55,181425.048,168.0,1079.911,SKHIRA
1,2,154340,18-Dec,17,55,57825.383,36.0,1606.260638888889,SKHIRA
1,1,154340,19-Feb,17,55,104190.73,83.0,1255.31,SKHIRA
1,2,154340,18-Mar,17,55,65310.48,45.0,1451.344,SKHIRA
1,2,154340,19-Jan,17,55,41737.644,26.0,1605.294,SKHIRA
2,1,154340,18-Aug,17,55,8333.717,7.0,1190.5310000000002,SKHIRA
4,1,154340,18-Jul,17,55,9524.248,8.0,1190.531,SKHIRA
2,1,154340,18-Oct,17,55,26394.963,21.0,1256.903,SKHIRA
2,2,154340,18-Nov,17,55,9640.842,6.0,1606.807,SKHIRA
1,2,154340,19-Feb,17,55,51369.408,32.0,1605.294,SKHIRA
1,1,154340,19-Mar,17,55,124275.69,99.0,1255.31,SKHIRA
1,1,154340,18-Jan,17,55,225701.399,209.0,1079.911,SKHIRA
1,3,154340,18-Apr,17,55,26036.726,19.0,1370.354,SKHIRA
1,3,154340,18-Dec,17,55,28298.672,19.0,1489.4037894736841,SKHIRA
1,3,154340,18-Sep,17,55,17877.876,12.0,1489.823,SKHIRA
2,1,154340,18-Dec,17,55,15082.836,12.0,1256.903,SKHIRA
1,1,154340,18-Dec,17,55,76632.851,61.0,1256.2762459016392,SKHIRA
1,1,154340,19-Jan,17,55,104190.73,83.0,1255.31,SKHIRA
1,3,154340,18-Jun,17,55,29242.038,21.0,1392.478,SKHIRA
