NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
2,2,155780,18-Feb,7,57,62407.792,43.0,1451.344,SLOUGUIA
3,2,155780,18-Dec,7,57,16068.07,10.0,1606.807,SLOUGUIA
3,3,155780,18-Aug,7,57,37354.876,26.0,1436.7259999999999,SLOUGUIA
3,3,155780,18-Oct,7,57,31286.283,21.0,1489.8229999999999,SLOUGUIA
1,2,155780,19-Jan,7,57,9631.764,6.0,1605.2939999999999,SLOUGUIA
2,1,155780,19-Aug,7,57,248891.951,187.0,1330.973,SLOUGUIA
2,1,155780,19-Dec,7,57,187667.193,141.0,1330.973,SLOUGUIA
2,2,155780,18-Apr,7,57,62721.162,42.0,1493.3609999999999,SLOUGUIA
2,2,155780,18-May,7,57,55254.357,37.0,1493.361,SLOUGUIA
2,1,155780,18-Dec,7,57,152031.101,121.0,1256.4553801652892,SLOUGUIA
3,1,155780,19-Jan,7,57,16319.03,13.0,1255.31,SLOUGUIA
3,3,155780,18-Dec,7,57,26804.07,18.0,1489.115,SLOUGUIA
3,1,155780,18-Sep,7,57,32679.478,26.0,1256.903,SLOUGUIA
2,2,155780,19-May,7,57,76858.64,46.0,1670.84,SLOUGUIA
2,1,155780,18-Jan,7,57,228941.132,212.0,1079.911,SLOUGUIA
1,3,155780,18-Feb,7,57,7956.636,6.0,1326.106,SLOUGUIA
2,3,155780,19-Apr,7,57,32702.397,21.0,1557.257,SLOUGUIA
2,2,155780,19-Nov,7,57,86774.428,52.0,1668.739,SLOUGUIA
2,6,155780,19-Nov,7,57,37321.056,24.0,1555.0439999999999,SLOUGUIA
2,2,155780,19-Jan,7,57,52974.702,33.0,1605.2939999999999,SLOUGUIA
3,1,155780,18-Aug,7,57,38096.992,32.0,1190.531,SLOUGUIA
2,2,155780,18-Aug,7,57,48247.966,31.0,1556.386,SLOUGUIA
3,2,155780,18-Jul,7,57,9338.316,6.0,1556.3860000000002,SLOUGUIA
2,2,155780,18-Sep,7,57,69092.701,43.0,1606.807,SLOUGUIA
3,1,155780,18-Dec,7,57,42723.551,34.0,1256.5750294117647,SLOUGUIA
2,6,155780,19-Jun,7,57,37374.168,24.0,1557.2569999999998,SLOUGUIA
2,1,155780,18-Feb,7,57,213822.378,198.0,1079.911,SLOUGUIA
2,2,155780,18-Jan,7,57,49345.696,34.0,1451.344,SLOUGUIA
2,2,155780,18-Jun,7,57,81712.919,54.0,1513.2022037037036,SLOUGUIA
3,2,155780,18-Sep,7,57,9640.842,6.0,1606.807,SLOUGUIA
2,1,155780,18-Aug,7,57,213105.049,179.0,1190.531,SLOUGUIA
2,1,155780,18-Sep,7,57,214930.413,171.0,1256.903,SLOUGUIA
2,1,155780,18-Jun,7,57,276165.707,241.0,1145.9157966804978,SLOUGUIA
1,2,155780,19-Sep,7,57,11681.173,7.0,1668.739,SLOUGUIA
